country;main color;leader language;ArmyNationalitySprite;END
RSI;LightBrown;ITA;ITA;X
RUS;Red;SOV;SOV;X
SAF;Red;ENG;ENG;X
SAL;DarkGray;ENG;USA;X
SAR;DarkOrange;ENG;MIN;X
SAU;DarkOrange;ENG;ENG;X
SCA;LightGreen;SWE;MIN;X
SCH;Red;GER;MIN;X
SCO;LightBrown;ENG;ENG;X
SER;LightGray;ENG;GER;X
SIA;LightGreen;ENG;JAP;X
SIB;LightGray;SOV;SOV;X
SIE;LightYellow;ENG;ENG;X
SIK;Brown;CHI;MIN;X
SLO;LightGreen;ENG;GER;X
SLV;LightBrown;ENG;MIN;X
SOM;LightYellow;ENG;MIN;X
SOV;DarkRed;SOV;SOV;X
SPA;DarkGray;SPA;GER;X
SPR;DarkYellow;SPA;SOV;X
SUD;DarkYellow;ENG;MIN;X
SWE;LightBlue;SWE;MIN;X
SYR;LightYellow;ENG;MIN;X
TAJ;DarkOrange;SOV;SOV;X
TAN;DarkBrown;CHI;SOV;X
TEX;Yellow;USA;USA;X
TIB;LightGray;ENG;ENG;X
TRA;LightOrange;SOV;SOV;X
TRK;DarkBrown;SOV;SOV;X
TUN;Brown;FRA;FRA;X
TUR;LightGreen;TUR;MIN;X
UKR;DarkGreen;SOV;SOV;X
URU;DarkGray;SPA;USA;X
USA;DarkBlue;USA;USA;X
UZB;LightGreen;SOV;SOV;X
VEN;LightGreen;SPA;USA;X
VIC;White;FRA;FRA;X
VIE;DarkBlue;CHI;USA;X
WLL;LightBrown;FRA;GER;X
YEM;LightGray;TUR;ENG;X
YUG;LightYellow;YUG;FRA;X
ALS;DarkGreen;ENG;USA;X
AXI;Gray;GER;GER;X
ALI;White;ALI;ALI;X
U00;DarkGray;ENG;MIN;X
U01;DarkOrange;ENG;MIN;X
U02;DarkYellow;ENG;MIN;X
U03;DarkGreen;ENG;MIN;X
U04;Brown;ENG;MIN;X
U05;White;ENG;MIN;X
U06;Red;ENG;MIN;X
U07;LightYellow;ENG;MIN;X
U08;LightBrown;ENG;MIN;X
U09;LightGray;ENG;MIN;X
U10;LightGreen;ENG;MIN;X
U11;LightBrown;ENG;MIN;X
U12;Blue;ENG;MIN;X
U13;DarkBlue;ENG;MIN;X
U14;DarkRed;ENG;MIN;X
U15;Gray;ENG;MIN;X
U16;Green;ENG;MIN;X
U17;LightRed;ENG;MIN;X
U18;LightOrange;ENG;MIN;X
U19;Yellow;ENG;MIN;X
U20;DarkGray;ENG;MIN;X
U21;DarkOrange;ENG;MIN;X
U22;DarkYellow;ENG;MIN;X
U23;DarkGreen;ENG;MIN;X
U24;Brown;ENG;MIN;X
U25;White;ENG;MIN;X
U26;Red;ENG;MIN;X
U27;LightYellow;ENG;MIN;X
U28;LightBrown;ENG;MIN;X
U29;LightGray;ENG;MIN;X
U30;LightGreen;ENG;MIN;X
U31;LightBlue;ENG;MIN;X
U32;Blue;ENG;MIN;X
U33;DarkBlue;ENG;MIN;X
U34;DarkRed;ENG;MIN;X
U35;Gray;ENG;MIN;X
U36;Green;ENG;MIN;X
U37;LightRed;ENG;MIN;X
U38;LightOrange;ENG;MIN;X
U39;Yellow;ENG;MIN;X
U40;DarkGray;ENG;MIN;X
U41;DarkOrange;ENG;MIN;X
U42;DarkYellow;ENG;MIN;X
U43;DarkGreen;ENG;MIN;X
U44;Brown;ENG;MIN;X
U45;White;ENG;MIN;X
U46;Red;ENG;MIN;X
U47;LightYellow;ENG;MIN;X
U48;LightBrown;ENG;MIN;X
U49;LightGray;ENG;MIN;X
U50;LightGreen;ENG;MIN;X
U51;LightBlue;ENG;MIN;X
U52;Blue;ENG;MIN;X
U53;DarkBlue;ENG;MIN;X
U54;DarkRed;ENG;MIN;X
U55;Gray;ENG;MIN;X
U56;Green;ENG;MIN;X
U57;LightRed;ENG;MIN;X
U58;LightOrange;ENG;MIN;X
U59;Yellow;ENG;MIN;X
U60;DarkGray;ENG;MIN;X
U61;DarkOrange;ENG;MIN;X
U62;DarkYellow;ENG;MIN;X
U63;DarkGreen;ENG;MIN;X
U64;Brown;ENG;MIN;X
U65;White;ENG;MIN;X
U66;Red;ENG;MIN;X
U67;LightYellow;ENG;MIN;X
U68;LightBrown;ENG;MIN;X
U69;LightGray;ENG;MIN;X
U70;DarkGreen;ENG;ENG;X
U71;LightBlue;ENG;ENG;X
U72;DarkRed;CHI;SOV;X
U73;DarkBlue;ENG;MIN;X
U74;DarkRed;ENG;MIN;X
U75;Gray;ENG;MIN;X
U76;Green;ENG;MIN;X
U77;LightRed;ENG;MIN;X
U78;LightOrange;ENG;MIN;X
U79;Yellow;ENG;MIN;X
U80;Yellow;ENG;ENG;X
U81;Gray;FRA;FRA;X
U82;Green;FRA;FRA;X
U83;Orange;ENG;ENG;X
U84;Brown;FRA;FRA;X
U85;LightYellow;FRA;FRA;X
U86;LightBlue;ENG;ENG;X
U87;Yellow;ENG;ENG;X
U88;LightOrange;FRA;FRA;X
U89;Green;ENG;ENG;X
U90;LightBrown;ENG;ENG;X
U91;DarkGreen;TUR;ENG;X
U92;White;ITA;ENG;X
U93;LightGreen;SPA;MIN;X
U94;Orange;FRA;FRA;X
U95;Gray;FRA;FRA;X
U96;LightYellow;ENG;ENG;X
U97;DarkGreen;ENG;ENG;X
U98;DarkRed;ENG;ENG;X
U99;Yellow;ENG;ENG;X
USN;DarkBlue;USA;USA;X
UAU;LightGray;AST;ENG;X
UCH;DarkBrown;CHI;MIN;X
UBO;Blue;FRA;FRA;X
UTC;DarkOrange;ROM;GER;X
UGS;LightBlue;SWE;MIN;X
UCS;DarkGray;USA;USA;X
UIC;LightGreen;ENG;JAP;X
UPR;Gray;GER;GER;X
UER;Red;SOV;SOV;X
UTO;Green;TUR;MIN;X
UIR;DarkYellow;ENG;ENG;X
UTL;LightBrown;POR;USA;X
UPS;LightOrange;JAP;JAP;X
UES;LightRed;ENG;ENG;X
URO;DarkGreen;ITA;ITA;X
UAP;LightYellow;ENG;ENG;X
UPE;DarkRed;ENG;ENG;X
END;DarkRed;ENG;ENG;X
