BOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
43129;Minister of Security;Mamerto U. Harriaque;46;SL;Prince of Terror;Medium;M43129;x
43130;Minister of Security;Felix A. Arromayo;36;SC;Silent Lawyer;Medium;M43127;x
43131;Minister of Security;José Santos Quinteros;39;SC;Compassionate Gentleman;High;M43005;x
43132;Minister of Security;Eduardo Anze Matienzo;44;SC;Crooked Kleptocrat;High;M43076;x
43133;Minister of Security;Fabian Vaca Chavez;45;SC;Prince of Terror;Low;M43082;x
43134;Minister of Security;Carlos Blanco Galindo;47;SC;Crooked Kleptocrat;Medium;M43134;x
43135;Minister of Security;Moritz Hochschild;39;PA;Compassionate Gentleman;Medium;M43004;x
43136;Minister of Security;Simon I. Patino;40;PA;Crime Fighter;Medium;M43038;x
43137;Minister of Security;Alberto Ostria Gutierrez;42;PA;Back Stabber;Medium;M43075;x
43138;Minister of Security;Carlos Salinas Aramayo;43;PA;Prince of Terror;Medium;M43068;x
43139;Minister of Security;Edwin Möller;36;FA;Prince of Terror;High;M43015;x
43141;Minister of Security;Victor Paz Estenssorro;37;LWR;Man of the People;Medium;M43042;x
43142;Minister of Security;Luis Guachalla Solares;43;LWR;Back Stabber;High;M43066;x
43143;Minister of Security;Walter Guevera;43;LWR;Prince of Terror;High;M43096;x
43144;Minister of Security;Alberto Diez de Medina;44;LWR;Crooked Kleptocrat;Medium;M43086;x
43145;Minister of Security;Enrique Baldivieso Aparicio;46;LWR;Efficient Sociopath;Medium;M43067;x
43146;Minister of Security;Gunnar Mendoza Loza;47;LWR;Compassionate Gentleman;Medium;M43146;x
43147;Minister of Security;Juan Lechin Oquendo;36;ST;Back Stabber;Medium;M43025;x
43149;Head of Military Intelligence;Victor Paz Estenssorro;36;SD;Political Specialist;Medium;M43042;x
43150;Head of Military Intelligence;José Maria Gutierrez;36;SL;Industrial Specialist;High;M43003;x
43151;Head of Military Intelligence;Francesco Pierini;43;SL;Political Specialist;Medium;M43071;x
43152;Head of Military Intelligence;Aniceto Solares;46;SL;Dismal Enigma;Medium;M43092;x
43153;Head of Military Intelligence;Carlos Victor Arramayo;36;SC;Technical Specialist;Very High;M43068;x
43154;Head of Military Intelligence;Eduardo Anze Matienzo;39;SC;Political Specialist;High;M43076;x
43155;Head of Military Intelligence;Simon I. Patino;44;SC;Industrial Specialist;Medium;M43038;x
43156;Head of Military Intelligence;Juan Lopez y Lopez;45;SC;Logistics Specialist;Medium;M43156;x
43157;Head of Military Intelligence;José Santos Quinteros;40;PA;Dismal Enigma;High;M43005;x
43158;Head of Military Intelligence;Juan Sanjines;36;FA;Industrial Specialist;Medium;M43016;x
43159;Head of Military Intelligence;Alberto Ostria Gutierrez;43;FA;Dismal Enigma;Medium;M43075;x
43160;Head of Military Intelligence;Fabian Vaca Chavez;43;PA;Naval Intelligence Specialist;Medium;M43082;x
43161;Head of Military Intelligence;Alberto Diez de Medina;43;LWR;Technical Specialist;Medium;M43086;x
43162;Head of Military Intelligence;Walter Guevera;46;LWR;Technical Specialist;High;M43096;x
43163;Head of Military Intelligence;Guillermo Lora;36;ST;Logistics Specialist;Very Low;M43021;x
43164;Head of Military Intelligence;Werner Guttenberg;44;ST;Logistics Specialist;Medium;M43123;x
43165;Head of Military Intelligence;Luis Guachalla Solares;46;LE;Political Specialist;High;M43066;x
43166;Chief of Staff;German Busch Beccera;36;SD;School of Manoeuvre;Low;M43032;x
43168;Chief of Staff;Waldo Belmonte Pool;36;SL;School of Psychology;Medium;M43034;x
43170;Chief of Staff;Carlos Quintanilla Quiroga;36;SC;School of Defence;Medium;M43037;x
43171;Chief of Staff;Rafael Franco Rafél;40;SC;School of Fire Support;Medium;M43033;x
43172;Chief of Staff;Tomas Monje Gutierrez;47;SC;School of Mass Combat;Very High;M43039;x
43173;Chief of Staff;Enrique Penaranda Castillo;40;PA;School of Mass Combat;Medium;M43045;x
43174;Chief of Staff;Carlos Blanco Galindo;42;PA;School of Psychology;Medium;M43134;x
43175;Chief of Staff;Carlos Altamirano;36;FA;School of Fire Support;High;M43006;x
43176;Chief of Staff;José Pastor Baldiviseo;43;LWR;School of Mass Combat;Medium;M43167;x
43177;Chief of Staff;Gustavo Chacón Morales;45;LWR;School of Defence;Medium;M43090;x
43178;Chief of Staff;Roberto Hinojosa;36;LE;School of Psychology;High;M43024;x
43179;Chief of Staff;Gunnar Mendoza Loza;44;ST;School of Mass Combat;Medium;M43146;x
43180;Chief of Army;David Toro Ruilova;36;SD;Decisive Battle Doctrine;High;M43048;x
43181;Chief of Army;Mamerto U. Harriaque;37;SD;Guns and Butter Doctrine;Medium;M43129;x
43182;Chief of Army;Rodolfo Montalvo Ruiz;37;SL;Elastic Defence Doctrine;Medium;M43182;x
43185;Chief of Army;Carlos Blanco Galindo;44;SC;Decisive Battle Doctrine;Medium;M43134;x
43187;Chief of Army;Enrique Penaranda Castillo;39;PA;Static Defence Doctrine;Medium;M43045;x
43188;Chief of Army;Gualberto Villarroel Lopez;43;PA;Elastic Defence Doctrine;Low;M43188;x
43189;Chief of Army;Mariano Baptista;36;FA;Armoured Spearhead Doctrine;Medium;M43018;x
43190;Chief of Army;Gualberto Villarroel Lopez;43;LWR;Static Defence Doctrine;Low;M43188;x
43191;Chief of Army;Tomas Monje Gutierrez;45;LWR;Armoured Spearhead Doctrine;Very High;M43039;x
43192;Chief of Army;Enrique Baldivieso Aparicio;46;LWR;Guns and Butter Doctrine;Medium;M43067;x
43193;Chief of Army;Roberto Hinojosa;36;LE;Guns and Butter Doctrine;High;M43024;x
43195;Chief of Navy;Eusebio Ayala;36;SL;Decisive Naval Battle Doctrine;Medium;M43040;x
43197;Chief of Navy;Felix A. Arromayo;46;SL;Indirect Approach Doctrine;Medium;M43127;x
43198;Chief of Navy;Alberto Ostria Gutierrez;36;SC;Power Projection Doctrine;Medium;M43075;x
43199;Chief of Navy;Aniceto Solares;42;SC;Open Seas Doctrine;Medium;M43092;x
43200;Chief of Navy;Guillermo Arancha Basutto;47;SC;Indirect Approach Doctrine;Medium;M43200;x
43201;Chief of Navy;Luis Arandos Villa;40;PA;Power Projection Doctrine;Medium;M43019;x
43202;Chief of Navy;Juan Mechin;36;FA;Base Control Doctrine;Low;M43013;x
43203;Chief of Navy;Julian Montellano Carrasco;43;LWR;Base Control Doctrine;Medium;M43056;x
43204;Chief of Navy;Alberto Diez de Medina;46;LWR;Open Seas Doctrine;Medium;M43086;x
43205;Chief of Navy;Daniel Sanchez Bustamante;36;LE;Base Control Doctrine;High;M43023;x
43206;Chief of Navy;Roberto Hinojosa;44;LE;Open Seas Doctrine;High;M43024;x
43207;Chief of Air Force;David Toro Ruilova;36;SD;Air Superiority Doctrine;Medium;M43048;x
43208;Chief of Air Force;Walter Guevera;37;SD;Naval Aviation Doctrine;High;M43096;x
43209;Chief of Air Force;José Maria Gutierrez;36;SL;Army Aviation Doctrine;High;M43003;x
43210;Chief of Air Force;Francesco Pierini;43;SL;Naval Aviation Doctrine;Medium;M43071;x
43211;Chief of Air Force;Julian Montellano Carrasco;46;SL;Air Superiority Doctrine;Medium;M43056;x
43212;Chief of Air Force;José Santos Quinteros;36;SC;Army Aviation Doctrine;High;M43005;x
43213;Chief of Air Force;Mario Torres;44;SC;Vertical Envelopment Doctrine;High;M43014;x
43214;Chief of Air Force;Alberto Ostria Gutierrez;47;SC;Air Superiority Doctrine;Medium;M43075;x
43215;Chief of Air Force;Jorge Jordan;40;PA;Carpet Bombing Doctrine;Low;M43020;x
43216;Chief of Air Force;Fabian Vaca Chavez;36;FA;Naval Aviation Doctrine;Medium;M43082;x
43217;Chief of Air Force;Enrique Baldivieso Aparicio;43;LWR;Army Aviation Doctrine;Medium;M43067;x
43218;Chief of Air Force;Hector Bilbao Roja;44;LWR;Army Aviation Doctrine;Medium;M43010;x
43219;Chief of Air Force;Alberto Saralegui Sanchéz;36;LE;Vertical Envelopment Doctrine;Medium;M43030;x
43220;Head of State;Edwin Möller;44;PA;Popular Figurehead;High;M43015;x
43221;Chief of Army;Tomas Monje Gutierrez;44;PA;Armoured Spearhead Doctrine;Very High;M43039;x
43222;Head of State;Enrique Hertzog Garaizabal;47;SC;Barking Buffoon;High;M43053;x
43223;Head of State;Mamerto U. Harriaque;49;ML;Autocratic Charmer;High;M43129;x
43224;Head of State;Hugo Ballivián Rojas;51;SL;Resigned Generalissimo;High;M43077;x
43225;Head of Government;Hernan Silas Zuazo;52;SD;Ambitious Union Boss;High;M43225;x
43226;Foreign Minister;Nuflo Chavez Ortíz;52;SD;Iron Fisted Brute;Medium;M43226;x
43227;Head of Government;Hugo Ballivián Rojas;51;SL;Old General;Very High;M43077;x
