SOV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
4071;Minister of Armament;Nikolay Bulganin;53;ST;Resource Industrialist;High;M4071;x
4073;Minister of Armament;Iosif V. Stalin;36;ST;Military Entrepreneur;Very High;M4002;x
4083;Head of State;Kliment Y. Voroshilov;53;ST;Resigned Generalissimo;High;M4008;x
4081;Head of Government;Nikita Kruschev;58;ST;Flamboyant Tough Guy;High;M4075;x
4082;Minister of Armament;Aleksandr Vasilevsky;49;ST;Infantry Proponent;High;M4076;x
4077;Minister of Security;Sergey Kruglov;53;ST;Back Stabber;Very High;M4077;x
4078;Head of Military Intelligence;Viktor Abakumov;46;ST;Logistics Specialist;Very High;M4078;x
4079;Head of Military Intelligence;Semyon Ignatyev;51;ST;Political Specialist;Very High;M4079;x
4080;Head of Military Intelligence;Ivan Serov;53;ST;Technical Specialist;Very High;M4080;x
4084;Head of State;Leonid Brezhnev;60;ST;Stern Imperialist;High;M4084;x
4085;Head of Government;Georgiy Malenkov;53;ST;Political Protege;High;M4085;x
4086;Head of Government;Nikolay Bulganin;55;ST;Old General;High;M4071;x
4087;Foreign Minister;Dimitriy Shepilov;56;ST;Apologetic Clerk;Medium;M4087;x
4088;Foreign Minister;Andreyi Gromyko;57;ST;The Cloak N Dagger Schemer;Medium;M4088;x
4089;Minister of Armament;Georgiy K. Zhukov;55;ST;Military Entrepreneur;High;M4028;x
4090;Minister of Armament;Rodion Malinovskij;59;ST;Tank Proponent;High;L10102;x
4091;Minister of Security;Nikolay Dudorov;56;ST;Back Stabber;Very High;M4091;x
4092;Head of Military Intelligence;Aleksandr Shelepin;58;ST;Political Specialist;Very High;M4092;x
4093;Head of Military Intelligence;Vladimir Semichastnyi;61;ST;Dismal Enigma;Very High;M4093;x
