ARG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
35066;Foreign Minister;Marcelo T. Alvear;40;SL;Great Compromiser;Medium;M35035;x
35067;Foreign Minister;Robustiano Patrón Costas;44;SL;Iron Fisted Brute;Medium;M35036;x
35068;Foreign Minister;Gilbert A. Paez;46;SL;Biased Intellectual;Medium;M35068;x
35069;Foreign Minister;Raul Vicencio Guzmán;36;SD;Great Compromiser;High;M35069;x
35070;Foreign Minister;Eduardo Miya Bermudez;38;SD;Apologetic Clerk;Medium;M35070;x
35071;Foreign Minister;Daniel Capo Rodriguez;40;SD;The Cloak N Dagger Schemer;Medium;M35063;x
35072;Foreign Minister;José Maria Cantilo;38;PA;Biased Intellectual;Medium;M35072;x
35073;Foreign Minister;Julio A. Roca;40;PA;Apologetic Clerk;High;M35040;x
35074;Foreign Minister;Guillermo Rothe;41;PA;Iron Fisted Brute;Medium;M35074;x
35075;Foreign Minister;Alfonso Ruiz Guiñazu;40;PA;The Cloak N Dagger Schemer;High;M35075;x
35076;Foreign Minister;Orlando Peluffo;44;PA;General Staffer;High;M35076;x
35077;Foreign Minister;Hector Vernengo Lima;45;PA;Ideological Crusader;Medium;M35023;x
35078;Foreign Minister;Cesar Armeghino;46;PA;Great Compromiser;High;M35042;x
35079;Foreign Minister;Carlos Alberto Pueyrredon;36;FA;Apologetic Clerk;Medium;M35011;x
35081;Foreign Minister;Juan Bramuglia;45;LWR;Great Compromiser;Medium;M35081;x
35082;Foreign Minister;Juan Isaac Cooke;47;LWR;Iron Fisted Brute;Medium;M35082;x
35084;Minister of Armament;Lisandro de la Torre;37;SC;Resource Industrialist;High;M35084;x
35085;Minister of Armament;Luis Podesta Costa;38;SC;Air To Ground Proponent;Medium;M35014;x
35086;Minister of Armament;Pedro Aramburu;40;SC;Tank Proponent;High;M35062;x
35087;Minister of Armament;Agustin Rodriguez;44;SC;Administrative Genius;High;M35087;x
35088;Minister of Armament;Elpidio Gonzalez;36;SL;Resource Industrialist;High;M35088;x
35089;Minister of Armament;Jose Tamborni;38;SL;Administrative Genius;High;M35089;x
35090;Minister of Armament;Hortensio Quijano;39;SL;Strategic Air Proponent;Very Low;M35015;x
35091;Minister of Armament;Enrique Martinez;41;SL;Military Entrepreneur;High;M35091;x
35092;Minister of Armament;Jorge de la Torre;40;SL;Submarine Proponent;Medium;M35006;x
35093;Minister of Armament;Manuel A. Rodriguez;43;SL;Infantry Proponent;Very High;M35007;x
35094;Minister of Armament;Juan Domingo Peron;44;SL;Tank Proponent;High;M35021;x
35095;Minister of Armament;Bartolomeo de la Colina;46;SL;Air to Sea Proponent;Medium;M35095;x
35096;Minister of Armament;Humberto de Cejas Verda;36;SD;Theoretical Scientist;High;M35096;x
35097;Minister of Armament;Juan Oztero Medina;40;SD;Resource Industrialist;High;M35097;x
35098;Minister of Armament;Guillermo Rothe;38;PA;Corrupt Kleptocrat;Medium;M35074;x
35099;Minister of Armament;Federico Pinedo;39;PA;laissez-faire capitalist;High;M35099;x
35100;Minister of Armament;Julio A. Roca;40;PA;Battle Fleet Proponent;High;M35040;x
35101;Minister of Armament;Augusto Díaz Bustan;41;PA;Military Entrepreneur;High;M35101;x
35102;Minister of Armament;Antonio Parodi;40;PA;Air Superiority Proponent;Very High;M35010;x
35103;Minister of Armament;Edelmiro Farrell;43;PA;Infantry Proponent;Low;M35041;x
35104;Minister of Armament;José Maria Cantilo;44;PA;Submarine Proponent;High;M35072;x
35105;Minister of Armament;Juan Oztero Medina;46;PA;Resource Industrialist;Medium;M35097;x
35108;Minister of Armament;Hortensio Quijano;45;LWR;Strategic Air Proponent;Very Low;M35015;x
35109;Minister of Armament;Francisco López Martín;47;LWR;Air to Sea Proponent;Medium;M35109;x
35110;Minister of Armament;Alberto Valle;47;LWR;Theoretical Scientist;Medium;M35110;x
35111;Minister of Security;Manuel Maria de Iriondo;36;SC;Prince of Terror;Medium;M35034;x
35112;Minister of Security;Leopoldo Melo;38;SC;Compassionate Gentleman;Medium;M35112;x
35113;Minister of Security;Jorge Escobar Coll;40;SC;Prince of Terror;Medium;M35113;x
35114;Minister of Security;Alberto Gilbert;44;SC;Crooked Kleptocrat;High;M35061;x
35116;Minister of Security;Enrique Martinez;36;SL;Man of the People;High;M35091;x
35117;Minister of Security;Horacio Hoya San Arte;37;SL;Silent Lawyer;Medium;M35064;x
35118;Minister of Security;Agustin Rodriguez;38;SL;Compassionate Gentleman;High;M35087;x
35119;Minister of Security;Jose Tamborni;41;SL;Crime Fighter;High;M35089;x
35120;Minister of Security;Guillermo Rothe;40;SL;Crooked Kleptocrat;Medium;M35074;x
35121;Minister of Security;Hortensio Quijano;44;SL;Efficient Sociopath;High;M35015;x
35122;Minister of Security;Alberto Gilbert;46;SL;Crooked Kleptocrat;High;M35061;x
35123;Minister of Security;Roberto Tito Schiavezza;36;SD;Compassionate Gentleman;Medium;M35123;x
35124;Minister of Security;Gustavo Mendoza Curtín;40;SD;Man of the People;Medium;M35038;x
35125;Minister of Security;Tomas Alberto Le Breton;38;PA;Man of the People;Medium;M35125;x
35126;Minister of Security;Pedro Pablo Ramirez;39;PA;Efficient Sociopath;Low;M35126;x
35127;Minister of Security;Guillermo Rothe;44;PA;Crooked Kleptocrat;Medium;M35074;x
35129;Minister of Security;Eduardo Miya Bermudez;47;PA;Efficient Sociopath;Medium;M35070;x
35130;Minister of Security;Roberto M. Ortiz;36;FA;Back Stabber;Medium;M35039;x
35131;Minister of Security;Hortensio Quijano;38;FA;Efficient Sociopath;Very Low;M35015;x
35132;Minister of Security;Augusto Díaz Bustan;40;FA;Silent Lawyer;High;M35101;x
35133;Minister of Security;Antonio Ruis Díaz;45;LWR;Crooked Kleptocrat;Very Low;M35025;x
35134;Minister of Security;Eva Peron;47;LWR;Man of the People;Very High;M35134;x
35135;Head of Military Intelligence;Diogenes Taboada;36;SC;Industrial Specialist;Medium;M35135;x
35136;Head of Military Intelligence;Manuel Maria de Iriondo;40;SC;Political Specialist;Medium;M35034;x
35137;Head of Military Intelligence;Ramon Castillo;42;SC;Dismal Enigma;Medium;M35005;x
35139;Head of Military Intelligence;Agustin Rodriguez;36;SL;Political Specialist;High;M35087;x
35140;Head of Military Intelligence;Jorge de la Torre;38;SL;Dismal Enigma;Medium;M35006;x
35141;Head of Military Intelligence;Elpidio Gonzalez;40;SL;Technical Specialist;High;M35088;x
35142;Head of Military Intelligence;Alberto Gilbert;44;SL;Logistics Specialist;High;M35061;x
35143;Head of Military Intelligence;Bartolomeo de la Colina;46;SL;Industrial Specialist;Medium;M35095;x
35144;Head of Military Intelligence;Baldassare Baldí Jímenez;36;SD;Logistics Specialist;High;M35037;x
35145;Head of Military Intelligence;Oscar Benavides Perez;38;SD;Dismal Enigma;Medium;M35145;x
35146;Head of Military Intelligence;Humberto Jacinto Vasquez;40;SD;Industrial Specialist;Medium;M35138;x
35147;Head of Military Intelligence;Uribaldi Díaz Brittenberg;40;SD;Technical Specialist;Medium;M35147;x
35148;Head of Military Intelligence;Felipe Urdapilleta;38;PA;Logistics Specialist;Medium;M35148;x
35149;Head of Military Intelligence;Roberto M. Ortiz;39;PA;Industrial Specialist;Medium;M35039;x
35150;Head of Military Intelligence;Adolfo Rawson Bustamante;40;PA;Naval Intelligence Specialist;High;M35150;x
35151;Head of Military Intelligence;Humberto Jacinto Vasquez;43;PA;Industrial Specialist;Medium;M35138;x
35152;Head of Military Intelligence;Pedro Grosso Soto;36;FA;Dismal Enigma;Medium;M35016;x
35153;Head of Military Intelligence;Pedro S. Casal;45;LWR;Naval Intelligence Specialist;Medium;M35009;x
35154;Head of Military Intelligence;Jorge di Pascuale;47;LWR;Dismal Enigma;High;M35154;x
35155;Head of Military Intelligence;Gustavo Mendoza Curtín;47;LWR;Industrial Specialist;Medium;M35038;x
35156;Chief of Staff;Jose Maria Sarobe;36;SC;School of Fire Support;Medium;M35156;x
35157;Chief of Staff;Felipe Urdapilleta;40;SC;School of Psychology;Medium;M35148;x
35158;Chief of Staff;Pedro Pablo Ramirez;43;SC;School of Manoeuvre;Low;M35055;x
35160;Chief of Staff;Francisco M. Velez;36;SL;School of Fire Support;Low;M35160;x
35161;Chief of Staff;Thomas Martínez;38;SL;School of Manoeuvre;Very High;M35161;x
35164;Chief of Staff;Juan Blanco Carrera;46;SL;School of Defence;High;M35164;x
35165;Chief of Staff;Juan Domingo Peron;36;SD;School of Psychology;High;M35162;x
35166;Chief of Staff;Jorge Manni;40;SD;School of Mass Combat;High;M35159;x
35167;Chief of Staff;Carlos O. Marquez;38;PA;School of Mass Combat;Low;M35017;x
35168;Chief of Staff;Edelmiro Farrell;43;SC;School of Psychology;High;M35041;x
35169;Chief of Staff;Carlos von der Becke;46;PA;School of Defence;Low;M35169;x
35171;Chief of Staff;Pablo San Martín;45;LWR;School of Defence;Medium;M35027;x
35172;Chief of Staff;Paul Castex Lainford;47;LWR;School of Psychology;Medium;M35172;x
35173;Chief of Army;Agustín P. Justo;36;SC;Elastic Defence Doctrine;High;M35001;x
35174;Chief of Army;Laureano Anaya;38;SC;Armoured Spearhead Doctrine;Very High;M35174;x
35178;Chief of Army;Thomas Martínez;38;SL;Guns and Butter Doctrine;Very High;M35161;x
35179;Chief of Army;Juan Domingo Peron;40;SL;Decisive Battle Doctrine;Medium;M35028;x
35180;Chief of Army;Juan Blanco Carrera;44;SL;Static Defence Doctrine;High;M35164;x
35182;Chief of Army;Heriberto La Galíne;36;SD;Static Defence Doctrine;High;M35029;x
35183;Chief of Army;Francisco M. Velez;40;SD;Elastic Defence Doctrine;Low;M35160;x
35184;Chief of Army;Manuel Savio;38;PA;Static Defence Doctrine;High;M35176;x
35185;Chief of Army;Carlos O. Marquez;40;PA;Decisive Battle Doctrine;Very High;M35017;x
35186;Chief of Army;Pedro Pablo Ramirez;42;PA;Guns and Butter Doctrine;Low;M35055;x
35187;Chief of Army;Enrique Mosconi;44;PA;Armoured Spearhead Doctrine;Low;M35187;x
35189;Chief of Army;Juan Domingo Peron;45;LWR;Armoured Spearhead Doctrine;Medium;M35028;x
35190;Chief of Navy;Eleazar Videla;36;SC;Decisive Naval Battle Doctrine;High;M35190;x
35192;Chief of Navy;Luis Silva Carrasco;44;SC;Power Projection Doctrine;Low;M35192;x
35193;Chief of Navy;Elpidio Gonzalez;36;SL;Base Control Doctrine;High;M35088;x
35195;Chief of Navy;Heriberto La Galíne;40;SL;Indirect Approach Doctrine;High;M35029;x
35196;Chief of Navy;Juan P. Pedemonte;44;SL;Power Projection Doctrine;High;M35196;x
35197;Chief of Navy;Carlos Putalla Vignolo;46;SL;Open Seas Doctrine;High;M35197;x
35198;Chief of Navy;Luogo Cavalieri;36;SD;Base Control Doctrine;High;M35198;x
35200;Chief of Navy;Leon Sanchez Scasso;38;PA;Open Seas Doctrine;Very High;M35200;x
35201;Chief of Navy;Pedro Pablo Ramirez;40;PA;Base Control Doctrine;Low;M35126;x
35202;Chief of Navy;Pedro Grosso Soto;44;PA;Indirect Approach Doctrine;Low;M35016;x
35207;Chief of Air Force;Leopoldo Melo;38;SC;Naval Aviation Doctrine;Medium;M35112;x
35208;Chief of Air Force;Oscar Muratorio;40;SC;Vertical Envelopment Doctrine;Very High;M35208;x
35210;Chief of Air Force;Jose Tamborni;36;SL;Army Aviation Doctrine;High;M35089;x
35211;Chief of Air Force;Jorge Manni;38;SL;Air Superiority Doctrine;High;M35159;x
35212;Chief of Air Force;Hector del Riva;40;SL;Naval Aviation Doctrine;Medium;M35030;x
35214;Chief of Air Force;Bartolomeo de la Colina;46;SL;Vertical Envelopment Doctrine;Medium;M35095;x
35215;Chief of Air Force;Oscar Benavides Perez;36;SD;Naval Aviation Doctrine;Medium;M35145;x
35216;Chief of Air Force;Uribaldi Díaz Brittenberg;40;SD;Army Aviation Doctrine;Medium;M35147;x
35217;Chief of Air Force;Alberto Verdaquer;38;PA;Carpet Bombing Doctrine;Medium;M35213;x
35218;Chief of Air Force;Carlos O. Marquez;40;PA;Vertical Envelopment Doctrine;Very High;M35017;x
35219;Chief of Air Force;Carlos Maurino;44;PA;Army Aviation Doctrine;Medium;M35020;x
35220;Chief of Air Force;Gabriel A. Hermansson;46;PA;Air Superiority Doctrine;Medium;M35220;x
35223;Head of State;Adolfo Rawson Bustamante;43;SC;Barking Buffoon;High;M35150;x
35224;Head of Government;Adolfo Rawson Bustamante;43;SC;Old Admiral;High;M35150;x
35225;Foreign Minister;Segundo R. Storni;43;SC;Iron Fisted Brute;High;M35225;x
35226;Minister of Armament;Benito Sueyro;43;SC;laissez-faire capitalist;High;M35226;x
35227;Minister of Security;Diego Isidro Mason;43;SC;Silent Lawyer;Medium;M35227;x
35228;Head of Military Intelligence;Vicente Huidrabra Urribe;43;SC;Technical Specialist;Medium;M35228;x
35229;Chief of Army;Adolfo Rawson Bustamante;41;SC;Decisive Battle Doctrine;Very High;M35150;x
35230;Chief of Navy;Segundo R. Storni;43;SC;Open Seas Doctrine;High;M35225;x
35231;Head of State;Pedro Pablo Ramirez;43;PA;Stern Imperialist;High;M35055;x
35232;Foreign Minister;Hipolíto Jesús Paz;49;LWR;Apologetic Clerk;High;M35232;x
35233;Foreign Minister;Jeronimo Remorino;51;LWR;The Cloak N Dagger Schemer;High;M35233;x
35234;Head of Military Intelligence;Jeronimo Remorino;49;LWR;Political Specialist;High;M35233;x
35235;Head of Government;Alberto Podesta Castro;49;SC;Corporate Suit;High;M35235;x
35236;Foreign Minister;Alberto Podesta Castro;49;SC;Biased Intellectual;High;M35235;x
35237;Chief of Army;Jose Molina Gomez;50;LWR;Decisive Battle Doctrine;Medium;L120020;x
