PAR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
42113;Chief of Army;Amancio Pampliega;44;SC;Guns and Butter Doctrine;Medium;M42048;x
42114;Chief of Army;Alfred Stroessner Matiauda;46;SC;Armoured Spearhead Doctrine;Medium;M42114;x
42117;Chief of Navy;Juan Stefanich;39;SD;Power Projection Doctrine;Medium;M42049;x
42118;Chief of Navy;Enrico T. Rizzo;40;PA;Indirect Approach Doctrine;Medium;M42118;x
42119;Chief of Navy;Jesus G. Arraza;44;SC;Base Control Doctrine;Medium;M42119;x
42122;Chief of Air Force;Hernan Rojas Baltassare;39;SL;Vertical Envelopment Doctrine;Medium;M42050;x
42124;Chief of Air Force;Héctor Velasquez;44;SC;Army Aviation Doctrine;Medium;M42124;x
42041;Head of State;Luís Avelino Argaña;36;FA;Powerhungry Demagogue;High;M42041;x
42042;Head of Government;Luís Avelino Argaña;36;FA;old airmarshal;High;M42041;x
42051;Head of State;Riccardo Odriosola;36;LE;Weary Stiffneck;High;M42051;x
42052;Head of Government;Riccardo Odriosola;36;LE;Backroom Backstabber;High;M42051;x
42125;Head of State;Juan Manuel Frutos;48;PA;Resigned Generalissimo;High;M42006;x
42126;Head of State;Juan Natalicio Gonzalez;48;SC;Benevolent Gentleman;High;M42089;x
42127;Head of State;Raimundo Rolon Villasanti;49;PA;Benevolent Gentleman;High;M42069;x
42128;Head of State;Felipe Molas Lopez;49;ML;Benevolent Gentleman;High;M42128;x
42129;Head of State;Federico Chaves;49;SC;Popular Figurehead;High;M42004;x
42130;Head of Government;Alfred Stroessner Matiauda;49;SC;Old General;High;M42114;x
42131;Chief of Staff;Raimundo Rolon Villasanti;44;SC;School of Defence;Medium;L240022;x
42132;Head of Military Intelligence;Felipe Molas Lopez;46;ML;Technical Specialist;Medium;M42128;x
42133;Minister of Armament;Remigio Bastia Martín;48;SC;Resource Industrialist;Medium;M42133;x
42134;Minister of Security;Tomas Romero Pereira;50;PA;Prince of Terror;Medium;M42134;x
