SIA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
62073;Minister of Security;Luang Phibunsongkhram;38;FA;Efficient Sociopath;High;M62007;x
62074;Minister of Security;Phot Bhahalyodin;39;SC;Crime Fighter;Medium;M62002;x
62075;Minister of Security;Srisena Sampatisiri;43;FA;Silent Lawyer;Medium;M62075;x
62076;Minister of Security;Ha Samptasiri;44;PA;Back Stabber;Medium;M62003;x
62077;Minister of Security;Seni Pramoja;44;SC;Compassionate Gentleman;Medium;M62012;x
62078;Minister of Security;Thawee Punyaketu;45;SC;Man of the People;Medium;M62015;x
62079;Minister of Security;Chit Munsilpa Sinadyodharaksa;45;SC;Prince of Terror;Medium;M62079;x
62081;Minister of Security;Chuang Chawengsangsongkram;46;PA;Silent Lawyer;Medium;M62081;x
62082;Minister of Security;Thawon Thamrongnawasawat;46;PA;Crime Fighter;Medium;M62029;x
62083;Minister of Security;Bung Suphachahlasai;46;PA;Compassionate Gentleman;Medium;M62083;x
62084;Head of Military Intelligence;A.G. Ellis;37;SC;Technical Specialist;Medium;M62016;x
62085;Head of Military Intelligence;Luang Phibunsongkhram;38;FA;Logistics Specialist;Medium;M62007;x
62086;Head of Military Intelligence;Sawat Phutianands;43;FA;Naval Intelligence Specialist;Medium;M62086;x
62087;Head of Military Intelligence;Serm Khrishnamra;44;PA;Industrial Specialist;Medium;M62057;x
62088;Head of Military Intelligence;Phraya Chitnasongkhla;45;SC;Political Specialist;Medium;M62026;x
62089;Head of Military Intelligence;Chuang Chawengsangsongkram;45;ML;Dismal Enigma;Medium;M62081;x
62091;Chief of Staff;Mangkon Phromyothi;38;FA;School of Mass Combat;Medium;M62025;x
62092;Chief of Staff;Sindhu Kamalanavin;44;PA;School of Psychology;Low;M62017;x
62093;Chief of Staff;Chit Munsilpa Sinadyodharaksa;45;SC;School of Defence;Low;M62079;x
62094;Chief of Staff;Jiri Wichitsongkram;45;ML;School of Manoeuvre;Low;M62094;x
62095;Chief of Staff;Suk Nakrob;46;PA;School of Fire Support;Medium;M62095;x
62096;Chief of Staff;Thawon Thamrongnawasawat;46;PA;School of Manoeuvre;Medium;M62029;x
62097;Chief of Army;Manphya Khanphialong;38;FA;Static Defence Doctrine;Medium;M62097;x
62098;Chief of Army;Thawi Bunyaket;44;PA;Guns and Butter Doctrine;Very High;M62098;x
62099;Chief of Army;Sindhu Kamalanavin;45;SC;Elastic Defence Doctrine;Low;M62017;x
62100;Chief of Army;Phraya Chitnasongkhla;45;ML;Decisive Battle Doctrine;Low;M62026;x
62101;Chief of Army;Tianliang Huntrakool;46;PA;Armoured Spearhead Doctrine;Medium;M62051;x
62102;Chief of Navy;Sawat Phutianands;38;FA;Power Projection Doctrine;Medium;M62086;x
62103;Chief of Navy;Phraya Wichcitcholathai;44;PA;Decisive Naval Battle Doctrine;Medium;M62055;x
62104;Chief of Navy;Phraya Preechacholayudha;45;SC;Indirect Approach Doctrine;Medium;M62019;x
62105;Chief of Navy;Luang Chamnanarthayutha;45;ML;Base Control Doctrine;Medium;M62105;x
62106;Chief of Navy;Thawon Thamrongnawasawat;46;PA;Open Seas Doctrine;Medium;M62029;x
62107;Chief of Air Force;Luang Sinthusongkhramchai;38;FA;Naval Aviation Doctrine;Medium;M62069;x
62108;Chief of Air Force;Phraya Chalermarkiart;44;PA;Carpet Bombing Doctrine;Medium;M62061;x
62109;Chief of Air Force;Phraya Thayarnpikart;45;SC;Air Superiority Doctrine;Medium;M62063;x
62110;Chief of Air Force;Phra Silpasakrakorn;45;ML;Vertical Envelopment Doctrine;Medium;M62110;x
62111;Chief of Air Force;Luang Kajsongkram;46;PA;Army Aviation Doctrine;Medium;M62111;x
62112;Head of State;Rama VIII;36;FA;Popular Figurehead;High;M62001;x
62113;Head of Government;Luang Phibunsongkhram;48;SC;BAckroom Backstabber;High;M62007;x
62114;Foreign Minister;Pote Sarasin;48;SC;Great Compromiser;Medium;M62114;x
