SAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
70073;Chief of Staff;C. de Weenburg du Toit;43;PA;School of Fire Support;Medium;M70015;x
70074;Chief of Staff;Jan C. Smuts;44;ML;School of Mass Combat;High;M70005;x
70075;Chief of Staff;Robert Palmer;44;SC;School of Psychology;High;M70075;x
70076;Chief of Army;Jozua F. Naude;36;SC;Guns and Butter Doctrine;Very High;M70076;x
70077;Chief of Army;James Mitchell-Baker;39;ML;Decisive Battle Doctrine;Medium;M70071;x
70078;Chief of Army;C. de Weenburg du Toit;42;PA;Armoured Spearhead Doctrine;Medium;M70015;x
70079;Chief of Army;Leonard Beyers;43;SC;Static Defence Doctrine;Medium;M70072;x
70080;Chief of Army;Pierre van Ryneveld;43;ML;Elastic Defence Doctrine;Very High;M70007;x
70081;Chief of Army;Francois Theron;46;SC;Armoured Spearhead Doctrine;Medium;M70081;x
70082;Chief of Navy;Jeannot de la Tourier;36;SC;Decisive Naval Battle Doctrine;Very High;M70066;x
70083;Chief of Navy;Cornelis van Zuigenbrogge;38;SC;Indirect Approach Doctrine;Very High;M70050;x
70084;Chief of Air Force;Christoffel Venter;40;ML;Vertical Envelopment Doctrine;Very High;M70084;x
70085;Chief of Air Force;Adolf Malan;41;SC;Army Aviation Doctrine;Low;M70047;x
70086;Chief of Air Force;Marinus van Osterkamp;41;SC;Naval Aviation Doctrine;Low;M70053;x
70087;Chief of Air Force;S.P. Le Roux;43;ML;Vertical Envelopment Doctrine;Low;M70043;x
70011;Head of State;J. F. van Rensburg;36;FA;Resigned Generalissimo;High;M70011;x
70012;Head of Government;J. F. van Rensburg;36;FA;Old General;High;M70011;x
70088;Head of State;E.G. Jansen;51;SL;Autocratic Charmer;High;M70036;x
70089;Head of State;E.G. Jansen;51;SC;Autocratic Charmer;High;M70036;x
70090;Minister of Armament;Jan C. Smuts;39;ML;Military Entrepreneur;Very High;M70005;x
70091;Minister of Armament;F.C. Erasmus;48;SC;Submarine Proponent;Very High;M70063;x
70092;Minister of Security;H.G. Lawrence;43;ML;Prince of Terror;High;M70092;x
70093;Head of State;C. R. Swart;59;SC;Pig-headed Isolationist;High;M70057;x
70094;Head of State;C. R. Swart;59;SL;Pig-headed Isolationist;High;M70057;x
70095;Head of Government;J. G. Strijdom;54;SC;Backroom Backstabber;High;M70041;x
70096;Head of Government;Hendrik F. Verwoerd;58;SC;Ambitious Union Boss;High;M70055;x
70097;Head of Government;Baron de Villiers Graaf;50;SL;Happy Amateur;High;M70097;x
70098;Foreign Minister;Jacobus de Beer;50;SL;Great Compromiser;Very High;M70098;x
70099;Minister of Armament;F.C. Erasmus;52;SC;laissez-faire capitalist;Low;M70063;x
70100;Minister of Armament;Johannes J. Fouche;59;SC;Resource Industrialist;Low;M70100;x
70101;Minister of Security;Jozua F. Naude;58;SC;Compassionate Gentleman;Low;M70076;x
70102;Minister of Security;Johannes de Klerk;61;SC;Silent Lawyer;Low;M70102;x
70103;Minister of Security;Jozua F. Naude;61;SL;Man of the People;High;M70076;x
