DEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
16060;Minister of Armament;Hans Hedtoft;42;SD;Resource Industrialist;Very High;M16049;x
16061;Minister of Armament;Gunnar Larsen;42;SL;Administrative Genius;Very High;M16061;x
16062;Minister of Armament;Viggo Kampmann;53;SD;Administrative Genius;Very High;M16062;x
16063;Minister of Armament;Søren Brorsen;38;SC;Theoretical Scientist;High;M16063;x
16064;Minister of Armament;Knud Kristensen;41;ML;Infantry Proponent;High;M16043;x
16065;Minister of Armament;Halfdan Henriksen;42;ML;Air to Ground Proponent;High;M16065;x
16066;Minister of Armament;Ole Bjørn Kraft;45;SC;Resource Industrialist;Medium;M16042;x
16067;Minister of Armament;Christen Nielsen Hauge;45;ML;laissez-faire capitalist;Medium;M16067;x
16068;Minister of Armament;Jørgen Sehested;38;NS;Infantry Proponent;High;M16014;x
16069;Minister of Armament;C.V. Bramsnæs;43;PA;laissez-faire capitalist;High;M16069;x
16070;Minister of Armament;Alfred Jensen;38;ST;Tank Proponent;High;M16024;x
16071;Minister of Armament;Niels Bohr;45;LWR;Theoretical Scientist;Very High;M16071;x
16072;Minister of Security;Thorvald Stauning;37;SD;Crime Fighter;Very High;M16002;x
16074;Minister of Security;Peter Christian Schou;40;SL;Back Stabber;High;M16074;x
16076;Minister of Security;Eigil Thune Jacobsen;41;SL;Compassionate Gentleman;High;M16076;x
16077;Minister of Security;J.C. Jørgensen;45;SL;Man of the People;High;M16077;x
16078;Minister of Security;Harald Petersen;38;SC;Crime Fighter;Very High;M16078;x
16079;Minister of Security;Didrik G. Nyholm;42;ML;Compassionate Gentleman;High;M16079;x
16080;Minister of Security;Ivar Stamm;45;ML;Crime Fighter;High;M16080;x
16081;Minister of Security;Svend Asbjørn Holten;46;SC;Prince of Terror;High;M16081;x
16082;Minister of Security;Knud Bach;38;NS;Prince of Terror;Very Low;M16015;x
16083;Minister of Security;Otto Bovensiepen;43;PA;Prince of Terror;Medium;M16045;x
16084;Minister of Security;Arthur Dahl;44;PA;Man of the People;Very High;M16084;x
16085;Minister of Security;Børge Houmann;38;LWR;Efficient Sociopath;High;M16025;x
16086;Minister of Security;Knud Jespersen;45;ST;Man of the People;High;M16086;x
16087;Head of Military Intelligence;Laust Jensen Moltesen;38;SL;Industrial Specialist;Very High;M16087;x
16088;Head of Military Intelligence;Ejnar Wærum;42;SD;Dismal Enigma;Very High;M16088;x
16089;Head of Military Intelligence;Halvor Peitersen;42;SL;Political Specialist;Very High;M16089;x
16090;Head of Military Intelligence;H.M. Lunding;45;SL;Logistics Specialist;High;M16090;x
16091;Head of Military Intelligence;H.C. Hansen;45;SD;Technical Specialist;Very High;M16091;x
16092;Head of Military Intelligence;Niels Frederiksen;38;ML;Political Specialist;High;M16092;x
16093;Head of Military Intelligence;Axel Linvald;42;ML;Dismal Enigma;High;M16093;x
16095;Head of Military Intelligence;Poul Sommer;38;NS;Dismal Enigma;High;M16016;x
16096;Head of Military Intelligence;Georg Frederiksen;43;PA;Industrial Specialist;High;M16096;x
16097;Head of Military Intelligence;Eigil Larsen;38;ST;Naval Intelligence Specialist;High;M16026;x
16098;Head of Military Intelligence;Niels Bohr;45;LWR;Technical Specialist;Very High;M16071;x
16100;Chief of Staff;Hans A. Rolsted;42;SD;School of Mass Combat;High;M16100;x
16101;Chief of Staff;William Nebendahl;42;SL;School of Manoeuvre;High;M16101;x
16102;Chief of Staff;Vilhelm La Cour;45;SD;School of Psychology;High;M16102;x
16103;Chief of Staff;Ebbe Gørtz;38;ML;School of Psychology;Very High;M16103;x
16105;Chief of Staff;C.P. Kryssing;38;NS;School of Fire Support;Medium;M16017;x
16106;Chief of Staff;William Nebendahl;44;PA;School of Manoeuvre;High;M16101;x
16107;Chief of Staff;Svend Wagner;38;LWR;School of Psychology;Low;M16027;x
16109;Chief of Army;Wilhelm W. Prior;39;SL;Elastic Defence Doctrine;Medium;M16007;x
16110;Chief of Army;Christian X;42;SD;Decisive Battle Doctrine;Low;M16001;x
16111;Chief of Army;Peter Christian Schou;45;SD;Guns and Butter Doctrine;High;M16074;x
16112;Chief of Army;Ebbe Gørtz;38;ML;Static Defence Doctrine;Very High;M16103;x
16114;Chief of Army;Henrik Kauffmann;45;SC;Guns and Butter Doctrine;Low;M16114;x
16115;Chief of Army;F. von Schalburg;38;NS;Guns and Butter Doctrine;Low;M16018;x
16116;Chief of Army;Arthur Dahl;43;PA;Guns and Butter Doctrine;Very High;M16084;x
16117;Chief of Army;Børge Thing;38;LWR;Elastic Defence Doctrine;High;M16028;x
16119;Chief of Navy;Aage H. Vedel;42;SL;Open Seas Doctrine;Very High;M16119;x
16120;Chief of Navy;E.B. de Crèvecoeur;43;SL;Power Projection Doctrine;High;M16120;x
16121;Chief of Navy;Carl Hammerich;38;ML;Decisive Naval Battle Doctrine;Very High;M16121;x
16123;Chief of Navy;Hjalmar Rechnitzer;38;PA;Indirect Approach Doctrine;High;M16009;x
16124;Chief of Navy;Søren Brorsen;43;PA;Open Seas Doctrine;High;M16063;x
16126;Chief of Navy;Knud Jespersen;45;ST;Power Projection Doctrine;High;M16086;x
16128;Chief of Air Force;Jens Otto Krag;42;SD;Vertical Envelopment Doctrine;Very High;M16128;x
16129;Chief of Air Force;Kaj Birksted;45;SD;Air Superiority Doctrine;Very High;M16129;x
16131;Chief of Air Force;Svend Asbjørn Holten;42;ML;Carpet Bombing Doctrine;High;M16081;x
16134;Chief of Air Force;Fritz Clausen;43;PA;Naval Aviation Doctrine;Very High;M16011;x
16135;Chief of Air Force;Aksel Larsen;38;ST;Air Superiority Doctrine;Very High;M16021;x
16137;Head of State;Christian X;36;ML;Weary Stiffneck;High;M16001;x
16138;Head of State;Frederik IX;47;SD;Autocratic Charmer;High;M16138;x
16139;Head of State;Frederik IX;47;ML;Autocratic Charmer;High;M16138;x
16140;Head of State;Knud Bach;45;FA;Pig-headed Isolationist;High;M16015;x
16141;Head of Government;Knud Bach;45;FA;Smiling Oilman;High;M16015;x
16142;Chief of Air Force;Poul Sommer;45;FA;Army Aviation Doctrine;Very Low;M16016;x
16143;Head of Government;Hans Hedtoft;47;SD;Happy Amateur;High;M16049;x
16144;Foreign Minister;Gustav Rasmussen;47;SD;Biased Intellectual;Medium;M16053;x
16145;Minister of Armament;H.C. Hansen;47;SD;Submarine Proponent;High;M16091;x
16146;Minister of Security;Alsing Andersen;47;SD;Compassionate Gentleman;High;M16004;x
16147;Head of Government;Erik Eriksen;50;ML;Naive Optimist;High;M16147;x
16148;Minister of Armament;Thorkild Kristensen;50;ML;Administrative Genius;High;M16148;x
16149;Minister of Security;Aksel Møller;50;SC;Silent Lawyer;High;M16149;x
16150;Foreign Minister;H.C. Hansen;53;SD;Ideological Crusader;Medium;M16091;x
16151;Minister of Armament;Johannes Kjærbøll;53;SD;Military Entrepreneur;High;M16151;x
