SAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
77067;Foreign Minister;Franco Amerigo Paz;48;PA;Iron Fisted Brute;Medium;M77067;x
77068;Minister of Armament;Humberto Costa;48;PA;Air Superiority Proponent;Medium;M77068;x
77069;Minister of Security;Manuel de Jesús Cordova;48;PA;Prince of Terror;Medium;M77069;x
77070;Head of Military Intelligence;Reinaldo Galindo Pohl;48;PA;Naval Intelligence Specialist;Medium;M77070;x
77071;Chief of Staff;Oscar A. Bolaños;48;PA;School of Defence;High;L360003;x
77072;Chief of Army;Oscar A. Osorio;48;PA;Decisive Battle Doctrine;High;M77065;x
77073;Chief of Navy;Reinaldo Galindo Pohl;48;PA;Open Seas Doctrine;Medium;M77070;x
77074;Chief of Air Force;Humberto Costa;48;PA;Air Superiority Doctrine;Medium;M77068;x
77075;Chief of Army;Manuel de Jesús Cordova;50;PA;Guns and Butter Doctrine;High;M77069;x
77076;Chief of Army;Manuel Jose Maria Lemus Lopez;51;PA;Armoured Spearhead Doctrine;High;M77076;x
77077;Chief of Staff;Manuel de Jesús Cordova;51;PA;School of Fire Support;High;M77069;x
