AST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
56086;Minister of Security;Herbert V. Evatt;41;SD;Back Stabber;High;M56050;x
56087;Minister of Security;James McCarthy;36;PA;Crime Fighter;Medium;M56015;x
56088;Minister of Security;J.H.A. Durant;39;PA;Compassionate Gentleman;High;M56012;x
56089;Minister of Security;James Culliton;43;PA;Back Stabber;High;M56089;x
56090;Minister of Security;John B. Miles;36;ST;Prince of Terror;High;M56025;x
56091;Minister of Security;Guido Barracchi;39;ST;Silent Lawyer;Very High;M56091;x
56092;Minister of Security;Philip Adams;42;ST;Man of the People;High;M56092;x
56093;Head of Military Intelligence;Cyril Bingham-White;37;SC;Logistics Specialist;High;M56093;x
56094;Head of Military Intelligence;Ragnar M. Colvin;36;SD;Naval Intelligence Specialist;Medium;M56009;x
56095;Head of Military Intelligence;Ben Chifley;41;SD;Political Specialist;Very High;M56039;x
56096;Head of Military Intelligence;Norman J. Makin;40;SC;Industrial Specialist;Medium;M56061;x
56097;Head of Military Intelligence;Hubert P. Lazzarini;42;SD;Dismal Enigma;Medium;M56085;x
56098;Head of Military Intelligence;John J. Dedman;44;SD;Technical Specialist;High;M56098;x
56099;Head of Military Intelligence;Ron Law;36;FA;Political Specialist;Medium;M56016;x
56100;Head of Military Intelligence;Tom Dale;36;ST;Dismal Enigma;Medium;M56026;x
56101;Head of Military Intelligence;Alf Bradley;41;LE;Logistics Specialist;High;M56101;x
56102;Head of Military Intelligence;Tony McGillick;45;ST;Technical Specialist;High;M56077;x
56103;Chief of Staff;James V. Fairbairn;39;SC;School of Fire Support;Medium;M56103;x
56104;Chief of Staff;Cyril Bingham-White;39;SC;School of Mass Combat;High;M56093;x
56105;Chief of Staff;E.K. Squires;38;SC;School of Defence;Medium;M56105;x
56106;Chief of Staff;John J. Curtin;40;SD;School of Psychology;Very High;M56038;x
56107;Chief of Staff;Leslie Beavis;44;SD;School of Manoeuvre;Medium;M56107;x
56108;Chief of Staff;George F. Langley;36;PA;School of Mass Combat;Medium;M56017;x
56109;Chief of Staff;James Cannan;36;ST;School of Mass Combat;Medium;M56027;x
56110;Chief of Army;Cyril Bingham-White;37;SC;Decisive Battle Doctrine;High;M56093;x
56111;Chief of Army;Leslie Morshead;40;SC;Guns and Butter Doctrine;Medium;M56066;x
56112;Chief of Army;Horace William Strutt;44;SC;Static Defence Doctrine;Medium;M56065;x
56113;Chief of Army;Vernon Sturdee;37;SD;Elastic Defence Doctrine;Medium;M56049;x
56114;Chief of Army;Sydney Rowell;41;SD;Guns and Butter Doctrine;Medium;M56066;x
56115;Chief of Army;Alan Ramsay;36;PA;Guns and Butter Doctrine;Medium;M56018;x
56116;Chief of Army;John Northcott;36;ST;Guns and Butter Doctrine;Medium;M56028;x
56117;Chief of Navy;Hector Waller;37;SC;Base Control Doctrine;Medium;M56117;x
56118;Chief of Navy;Victor Crutchley;41;SC;Open Seas Doctrine;Medium;M56019;x
56119;Chief of Navy;Guy C.C. Royle;37;SD;Indirect Approach Doctrine;Medium;M56068;x
56120;Chief of Navy;John Collins;41;SD;Power Projection Doctrine;Medium;M56068;x
56121;Chief of Navy;Henry Showers;44;SD;Decisive Naval Battle Doctrine;Medium;M56064;x
56123;Chief of Navy;F.E. Getting;36;ST;Decisive Naval Battle Doctrine;Medium;M56029;x
56124;Chief of Air Force;A.M. Charlesworth;37;SC;Vertical Envelopment Doctrine;Medium;M56124;x
56125;Chief of Air Force;W.D. Bostock;44;SC;Naval Aviation Doctrine;High;M56059;x
56126;Chief of Air Force;Stanley J. Goble;37;SD;Army Aviation Doctrine;Medium;M56067;x
56127;Chief of Air Force;Charles Burnett;41;SD;Air Superiority Doctrine;Medium;M56127;x
56128;Chief of Air Force;A.M.G. Jones;44;SD;Carpet Bombing Doctrine;High;M56063;x
56129;Chief of Air Force;John Lerew;36;PA;Army Aviation Doctrine;Medium;M56020;x
56130;Chief of Air Force;G.J.W. MacKinolty;36;ST;Air Superiority Doctrine;Medium;M56030;x
56131;Chief of Air Force;Lance Sharkey;41;ST;Army Aviation Doctrine;Very High;M56021;x
56132;Head of State;Alexander G. Arkwright;36;SD;Stern Imperialist;High;M56031;x
56133;Head of State;Henry Duke of Gloucester;45;SD;Autocratic Charmer;High;M56032;x
56134;Head of State;William John McKell;47;SD;Insignificant Layman;High;M56134;x
56135;Head of State;William John McKell;47;SC;Insignificant Layman;High;M56134;x
56136;Head of State;Alexander G. Arkwright;36;ML;Stern Imperialist;High;M56031;x
56137;Head of State;Henry Duke of Gloucester;45;ML;Autocratic Charmer;High;M56032;x
56138;Head of State;William John McKell;47;ML;Insignificant Layman;High;M56134;x
56139;Head of Government;Earle Page;36;ML;Naive Optimist;High;M56139;x
56140;Head of Government;Arthur W. Fadden;40;ML;Happy Amateur;High;M56140;x
56141;Head of Government;Francis M. Forde;45;SD;Silent Workhorse;High;M56141;x
56147;Chief of Staff;Ragnar M. Colvin;40;SC;School of Manoeuvre;Medium;M56009;x
56148;Foreign Minister;John McEwen;40;ML;Biased Intellectual;High;M56148;x
56149;Minister of Armament;Earle Page;42;ML;laissez-faire capitalist;Very High;M56139;x
56150;Foreign Minister;Percy C. Spender;49;SC;Apologetic Clerk;Very High;M56150;x
56151;Minister of Armament;John J. Dedman;46;SD;Theoretical Scientist;Medium;M56098;x
56152;Minister of Armament;Eric John Harrison;49;SC;Military Entrepreneur;Medium;M56152;x
56153;Minister of Security;Herbert V. Johnson;45;SD;Man of the People;High;M56153;x
56154;Minister of Security;Palmer A. McBride;49;SC;Silent Lawyer;High;M56042;x
56155;Minister of Security;Eric John Harrison;50;SC;Compassionate Gentleman;High;M56152;x
56156;Minister of Security;W.S.K. Hughes;51;SC;Prince of Terror;High;M56156;x
56157;Head of Military Intelligence;Herbert V. Evatt;41;SD;Political Specialist;High;M56050;x
56158;Head of Military Intelligence;John A. Spicer;49;SC;Dismal Enigma;High;M56158;x
56159;Head of State;Sir William Slim;53;SD;Resigned Generalissimo;High;M56159;x
56160;Head of State;Sir William Slim;53;SC;Resigned Generalissimo;High;M56159;x
56161;Head of State;William Lord Dunrossil;60;SD;Weary Stiffneck;High;M56161;x
56162;Head of State;William Lord Dunrossil;60;SC;Weary Stiffneck;High;M56161;x
56163;Head of State;William Lord De L'Isle;61;SD;Autocratic Charmer;High;M56163;x
56164;Head of State;William Lord De L'Isle;61;SC;Autocratic Charmer;High;M56163;x
56165;Head of Government;Herbert V. Evatt;51;SD;Silent Workhorse;High;M56050;x
56166;Head of Government;Arthur Colwell;60;SD;Naive Optimist;High;M56166;x
56167;Foreign Minister;Richard G. Casey;51;SC;Ideological Crusader;Very High;M56167;x
56168;Foreign Minister;Garfield E. Barwick;61;SC;Iron Fisted Brute;Very High;M56168;x
56169;Foreign Minister;Arthur Colwell;54;SD;Great Compromiser;Very High;M56166;x
56170;Foreign Minister;Gough Whitlam;60;SD;The Cloak N Dagger Schemer;Very High;M56170;x
56171;Minister of Armament;Philip A.M. McBride;50;SC;laissez-faire capitalist;Medium;M56171;x
56172;Minister of Armament;Athol G. Townley;58;SC;Resource Industrialist;Medium;M56172;x
56173;Minister of Armament;Malcolm Fraser;58;SD;Air Superiority Proponent;Medium;M56173;x
56174;Minister of Security;Allen Fairhall;56;SC;Silent Lawyer;High;M56174;x
56175;Minister of Security;Gordon Freeth;58;SC;Compassionate Gentleman;High;M56175;x
56176;Minister of Security;Peter J. Nixon;61;SD;Back Stabber;High;M56176;x
56177;Head of Military Intelligence;Neil O'Sullivan;56;SC;Industrial Specialist;High;M56177;x
56178;Head of Military Intelligence;Garfield E. Barwick;58;SC;Political Specialist;High;M56168;x
56179;Head of Military Intelligence;Lionel K. Murphy;61;SD;Technical Specialist;High;M56179;x
