SCA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
514063;Chief of Staff;Otto Ruge;38;SD;School of Defence;Medium;M14075;x
514064;Chief of Staff;Ebbe Gørtz;41;SD;School of Psychology;Very High;M16103;x
514065;Chief of Staff;Nils Swedlund;46;SD;School of Fire Support;Very High;M7077;x
514066;Chief of Staff;Oscar Nygren;36;ML;School of Defence;Medium;M7007;x
514067;Chief of Staff;Hans A. Rolsted;41;ML;School of Mass Combat;High;M16100;x
514068;Chief of Staff;Wilhelm von Tangen-Hansteen;46;ML;School of Fire Support;Very High;M14078;x
514069;Chief of Army;Wilhelm W. Prior;38;SD;Static Defence Doctrine;Medium;M16007;x
514070;Chief of Army;Olav av Norge;42;SD;Elastic Defence Doctrine;Very High;M14081;x
514071;Chief of Army;Helge Jung;44;SD;Armoured Spearhead Doctrine;Medium;M7006;x
514072;Chief of Army;Per Sylvan;36;ML;Static Defence Doctrine;Medium;M7079;x
514073;Chief of Army;Olav av Norge;41;ML;Elastic Defence Doctrine;Very High;M14081;x
514074;Chief of Army;Viggo Hjalf;45;ML;Guns and Butter Doctrine;Low;L9531;x
514075;Chief of Navy;Henry Diesen;37;SD;Decisive Naval Battle Doctrine;Medium;M14083;x
514076;Chief of Navy;Carl Hammerich;41;SD;Base Control Doctrine;Very High;M16121;x
514077;Chief of Navy;Gösta Ehrensvärd;43;SD;Indirect Approach Doctrine;Medium;M7087;x
514078;Chief of Navy;Erik Palmstierna;36;ML;Base Control Doctrine;Medium;M7050;x
514079;Chief of Navy;Hans Corneliussen;41;ML;Indirect Approach Doctrine;Medium;M14086;x
514080;Chief of Navy;E.B. de Crèvecoeur;45;ML;Power Projection Doctrine;High;M16120;x
514081;Chief of Air Force;Hjalmar Riiser-Larsen;37;SD;Air Superiority Doctrine;Medium;M14089;x
514082;Chief of Air Force;Jens Otto Krag;42;SD;Vertical Envelopment Doctrine;Very High;M16128;x
514083;Chief of Air Force;Axel Ljungdahl;44;SD;Naval Aviation Doctrine;Very High;M7092;x
514084;Chief of Air Force;Trygve Klingenberg;37;ML;Army Aviation Doctrine;Medium;M14093;x
514085;Chief of Air Force;Bengt Nordenskiöld;42;ML;Vertical Envelopment Doctrine;High;M7070;x
514086;Chief of Air Force;Kaj Birksted;45;ML;Air Superiority Doctrine;Very High;M16129;x
514011;Head of State;Vidkun Quisling;36;FA;Powerhungry Demagogue;High;M14012;x
514012;Head of Government;Martin Ekström;36;FA;Naive Optimist;High;M7011;x
514013;Foreign Minister;Erik von Rosen;36;FA;Ideological Crusader;Very High;M7013;x
514014;Minister of Armament;Fritz Clausen;36;FA;Infantry Proponent;High;M16011;x
514015;Minister of Security;Sven Hedín;36;FA;Back Stabber;Very High;M7015;x
514016;Head of Military Intelligence;Poul Sommer;36;FA;Dismal Enigma;High;M16016;x
514017;Chief of Staff;Konrad Sundlo;36;FA;School of Manoeuvre;High;M14018;x
514018;Chief of Army;Fritz von Schalburg;36;FA;Guns and Butter Doctrine;Low;M16018;x
514019;Chief of Navy;Bertel Bruun;36;FA;Open Seas Doctrine;Medium;M14019;x
514020;Chief of Air Force;Axel Gyllenkrok;36;FA;Army Aviation Doctrine;Low;M7020;x
514021;Head of State;Adam Egede Nissen;36;ST;Insignificant Layman;High;M14021;x
514022;Head of Government;Aksel Larsen;36;ST;Backroom Backstabber;High;M16021;x
514023;Foreign Minister;Peder Furubotn;36;ST;Ideological Crusader;Medium;M14023;x
514024;Minister of Armament;Alfred Jensen;36;ST;Tank Proponent;High;M16024;x
514025;Minister of Security;Knud Jespersen;36;ST;Man of the People;High;M16086;x
514026;Head of Military Intelligence;Sven Linderot;36;ST;Naval Intelligence Specialist;High;M7021;x
514027;Chief of Staff;Arne Gauslå;36;ST;School of Defence;High;M14027;x
514028;Chief of Army;Axel Pettersson;36;ST;Decisive Battle Doctrine;Very High;unknown;x
514029;Chief of Navy;Skule Storheil;36;ST;Decisive Naval Battle Doctrine;Medium;M14029;x
514030;Chief of Air Force;Krister Reuterswärd;36;LWR;Army Aviation Doctrine;Low;unknown;x
