BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
34090;Foreign Minister;Miguel Costas;37;FA;Iron Fisted Brute;Low;M34043;x
34091;Foreign Minister;Plinio Salgado;42;FA;Apologetic Clerk;Medium;M34041;x
34092;Foreign Minister;Newton Cavalcanti;44;FA;General Staffer;Medium;M34047;x
34093;Minister of Armament;Januario Coelho Neto;37;LWR;Tank Proponent;High;M34093;x
34094;Minister of Armament;José de Macedo Soares;39;LWR;laissez-faire capitalist;Medium;M34003;x
34095;Minister of Armament;Getulio Vargas;41;LWR;Administrative Genius;High;M34001;x
34096;Minister of Armament;Agustin Juarez Folhã;43;LWR;Corrupt Kleptocrat;Medium;M34096;x
34098;Minister of Armament;Henry Berger;41;ST;Air Superiority Proponent;Very Low;M34053;x
34099;Minister of Armament;Luis Carlos Prestes;45;SD;Strategic Air Proponent;Very Low;M34051;x
34101;Minister of Armament;Americo de Almeida;37;ML;Resource Industrialist;Medium;M34024;x
34103;Minister of Armament;Gastão da Cunha Bahiana;39;ML;Theoretical Scientist;Medium;M34103;x
34104;Minister of Armament;José Linhares Filho;40;ML;laissez-faire capitalist;High;M34104;x
34105;Minister of Armament;Eduardo Gomes;43;ML;Air to Ground Proponent;Medium;M34021;x
34106;Minister of Armament;Elyseu F. de Montarroyos;45;ML;Air Superiority Proponent;High;M34106;x
34107;Minister of Armament;Washington Luis Pereira;43;SC;Administrative Genius;Low;M34066;x
34108;Minister of Armament;Afranio de Mello Franco;42;SC;Battle Fleet Proponent;High;M34083;x
34109;Minister of Armament;Gastão Vidigal;45;SC;Resource Industrialist;High;M34014;x
34110;Minister of Armament;Gustavo Barroso;46;SC;Submarine Proponent;Medium;M34044;x
34111;Minister of Armament;Gustavo Barroso;37;FA;Military Entrepreneur;Medium;M34044;x
34112;Minister of Armament;Waldemar Costa Neto;41;FA;Infantry Proponent;High;M34112;x
34113;Minister of Armament;Carlos Ferreira de Camargo;43;FA;laissez-faire capitalist;High;M34113;x
34114;Minister of Security;Pedro Leão Veloso;37;LWR;Compassionate Gentleman;Medium;M34077;x
34115;Minister of Security;Manuel A. Venâncio;40;LWR;Man of the People;Low;M34035;x
34116;Minister of Security;Mario Pimentel Brandão;43;LWR;Crooked Kleptocrat;High;M34080;x
34117;Minister of Security;Carlos Abguar Bastos;39;ST;Prince of Terror;High;M34055;x
34119;Minister of Security;Ademar de Carvalho Gomes;44;ST;Man of the People;High;M34119;x
34120;Minister of Security;Guilherme Guinlé de Silvio;39;SD;Efficient Sociopath;High;M34118;x
34121;Minister of Security;Oscar Weinschenck;41;SD;Silent Lawyer;High;M34079;x
34122;Minister of Security;Carlos Abguar Bastos;45;SD;Back Stabber;Low;M34055;x
34124;Minister of Security;Costa Neto;37;ML;Compassionate Gentleman;Medium;M34015;x
34125;Minister of Security;Mesquito da Costa;39;ML;Silent Lawyer;High;M34025;x
34126;Minister of Security;Teotonio da Fonseca;43;ML;Prince of Terror;High;M34126;x
34127;Minister of Security;Raul Fernandes;43;SC;Back Stabber;High;M34013;x
34128;Minister of Security;Epitacio da Silva Pessoa;45;SC;Crime Fighter;Medium;M34128;x
34129;Minister of Security;Teotonio da Fonseca;46;SC;Prince of Terror;High;M34126;x
34130;Minister of Security;Carlos Almeida Neto;47;SC;Efficient Sociopath;High;M34130;x
34131;Minister of Security;Riccardo Cassiano;37;FA;Efficient Sociopath;Medium;M34045;x
34132;Minister of Security;Carlos Ferreira de Camargo;40;FA;Prince of Terror;High;M34113;x
34133;Minister of Security;Carlos Almeida Neto;43;FA;Back Stabber;High;M34130;x
34134;Head of Military Intelligence;Raulinho Volta Redondo;39;LWR;Logistics Specialist;High;M34134;x
34135;Head of Military Intelligence;Ahusto de Souza e Silva;43;LWR;Political Specialist;High;M34056;x
34137;Head of Military Intelligence;Ademar de Carvalho Gomes;43;ST;Naval Intelligence Specialist;High;M34119;x
34139;Head of Military Intelligence;Manuel A. Venâncio;45;SD;Technical Specialist;Low;M34035;x
34140;Head of Military Intelligence;Costa Neto;37;ML;Naval Intelligence Specialist;Medium;M34015;x
34141;Head of Military Intelligence;Mesquito da Costa;39;ML;Dismal Enigma;High;M34025;x
34143;Head of Military Intelligence;Rodrigo Octavio;45;ML;Political Specialist;High;M34143;x
34144;Head of Military Intelligence;Pedro Perotti;43;SC;Dismal Enigma;Medium;M34144;x
34146;Head of Military Intelligence;Riccardo Cassiano;37;FA;Political Specialist;Medium;M34045;x
34148;Head of Military Intelligence;Carlos Almeida Neto;44;FA;Logistics Specialist;High;M34130;x
34149;Chief of Staff;Magalhães Barata de Azevedo;43;LWR;School of Manoeuvre;Medium;M34037;x
34150;Chief of Staff;Luis Carlos Prestes;39;ST;School of Mass Combat;Undying;M34051;x
34152;Chief of Staff;Nero Fiuza de Castro;45;SD;School of Mass Combat;Medium;M34031;x
34153;Chief of Staff;Henrique Teixeira Lott;37;ML;School of Fire Support;Medium;M34027;x
34154;Chief of Staff;Argemiro Assis;39;ML;School of Defence;Medium;M34154;x
34155;Chief of Staff;Augusto da Gama Leiros;43;ML;School of Manoeuvre;Medium;M34155;x
34156;Chief of Staff;Mesquito da Costa;45;ML;School of Mass Combat;Medium;M34025;x
34157;Chief of Staff;Gaspar Dutra;43;SC;School of Mass Combat;Medium;M34011;x
34158;Chief of Staff;Joao Neves da Fontoura;45;SC;School of Defence;High;M34008;x
34160;Chief of Staff;Newton Cavalcanti;37;FA;School of Psychology;Medium;M34047;x
34161;Chief of Staff;Tomas Sebistao de Mendonca;43;FA;School of Mass Combat;Medium;M34161;x
34162;Chief of Army;Gaspar Dutra;37;LWR;Static Defence Doctrine;Medium;M34011;x
34163;Chief of Army;Silo Meireles;43;LWR;Elastic Defence Doctrine;Very Low;M34058;x
34165;Chief of Army;Mario da Silva Camargo;41;ST;Guns and Butter Doctrine;High;M34165;x
34166;Chief of Army;Magalhães Barata de Azevedo;39;SD;Armoured Spearhead Doctrine;Medium;M34037;x
34167;Chief of Army;Nero Fiuza de Castro;45;SD;Elastic Defence Doctrine;Medium;M34031;x
34168;Chief of Army;Henrique Teixeira Lott;37;ML;Decisive Battle Doctrine;Medium;M34027;x
34169;Chief of Army;Argemiro Assis;39;ML;Static Defence Doctrine;Medium;M34154;x
34170;Chief of Army;Augusto da Gama Leiros;43;ML;Armoured Spearhead Doctrine;Medium;M34155;x
34171;Chief of Army;Mesquito da Costa;45;ML;Elastic Defence Doctrine;Medium;M34025;x
34172;Chief of Army;Goes Monteiro;43;SC;Guns and Butter Doctrine;High;M34018;x
34173;Chief of Army;Gaspar Dutra;45;SC;Static Defence Doctrine;Medium;M34011;x
34174;Chief of Army;Tomas Sebistao de Mendonca;37;FA;Guns and Butter Doctrine;Medium;M34161;x
34175;Chief of Army;Newton Cavalcanti;43;FA;Decisive Battle Doctrine;Medium;M34047;x
34176;Chief of Navy;Alvaro de Souza;37;LWR;Indirect Approach Doctrine;Very Low;M34059;x
34179;Chief of Navy;Moreira Lima;39;SD;Power Projection Doctrine;Low;M34039;x
34180;Chief of Navy;Jorge Martins;37;ML;Base Control Doctrine;Medium;M34029;x
34181;Chief of Navy;Sylvio de Noronha;43;SC;Open Seas Doctrine;High;M34019;x
34182;Chief of Navy;Floriano Peixoto;45;SC;Decisive Naval Battle Doctrine;High;M34182;x
34183;Chief of Navy;Tarcisio Padilha;37;FA;Decisive Naval Battle Doctrine;Medium;M34049;x
34185;Chief of Air Force;Epaminondas dos Santos;43;LWR;Air Superiority Doctrine;Medium;M34040;x
34186;Chief of Air Force;Agliberto Vieira;39;ST;Naval Aviation Doctrine;Very High;M34060;x
34187;Chief of Air Force;Leonel Benevides de Rezende;44;ST;Vertical Envelopment Doctrine;Very High;M34187;x
34190;Chief of Air Force;Nero Moura;37;ML;Vertical Envelopment Doctrine;Medium;M34030;x
34191;Chief of Air Force;Figueira de Almeida;43;SC;Army Aviation Doctrine;Medium;M34020;x
34192;Chief of Air Force;Eduardo Gomés;45;SC;Army Aviation Doctrine;Medium;M34021;x
34193;Chief of Air Force;Mourão Filho;37;FA;Carpet Bombing Doctrine;Very High;M34050;x
34194;Head of State;José Linhares Filho;45;SC;Popular Figurehead;High;M34104;x
34013;Foreign Minister;Raoul Fernandes;36;SC;Great Compromiser;Medium;M34013;x
34195;Head of State;Getulio Vargas;51;SC;Die-hard Reformer;High;M34001;x
34196;Head of State;Afranio de Mello Franco;51;SD;Benevolent Gentleman;High;M34083;x
34197;Head of Government;Café Filho;51;SC;Silent Workhorse;High;M34004;x
34198;Head of Government;Afranio de Mello Franco;51;SD;Naive Optimist;High;M34083;x
34199;Foreign Minister;Manuel A. Venâncio;51;SD;Biased Intellectual;Medium;M34035;x
34200;Minister of Armament;Vicente Raõ;51;SC;laissez-faire capitalist;Medium;M34200;x
34201;Minister of Armament;S. Rauliono de Oliviera;51;SD;Resource Industrialist;Medium;M34201;x
34202;Minister of Security;José de Macedo Soares;51;SC;Compassionate Gentleman;Medium;M34202;x
34203;Minister of Security;Horacio Lafér;51;SD;Crime Fighter;Medium;M34203;x
34204;Head of Military Intelligence;Raoul Fernandes;51;SC;Political Specialist;High;M34013;x
34205;Head of Military Intelligence;Horacio Lafér;51;SD;Dismal Enigma;High;M34203;x
34206;Chief of Staff;Amaury Kruel;51;SC;School of Manoeuvre;Medium;L31091;x
34207;Chief of Army;Artur da Costa é Silva;51;SC;Decisive Battle Doctrine;Medium;L31012;x
34208;Chief of Air Force;Ismael Motta Paes;45;SC;Air Superiority Doctrine;Medium;L31078;x
