SPA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
10183;Chief of Staff;Francisco Franco Bahamonde;36;PA;School of Psychology;Very High;L3426;x
10184;Chief of Staff;Juan Yagüe Blanco;37;PA;School of Manoeuvre;Medium;M10184;x
10186;Chief of Staff;José Enrique Varela Iglesias;39;PA;School of Fire Support;High;M10014;x
10187;Chief of Staff;Carlos Asensio Cabanillas;45;PA;School of Mass Combat;High;M10187;x
10188;Chief of Staff;José Sanjurjo Sacanell;36;FA;School of Psychology;High;M10040;x
10189;Chief of Staff;Emilio Mola Vidal;36;FA;School of Manoeuvre;High;M10008;x
10190;Chief of Staff;Javier de Borbón-Parma;39;FA;School of Defence;High;M10034;x
10191;Chief of Staff;Ricardo de Rada;40;FA;School of Mass Combat;High;M10166;x
10193;Chief of Staff;Agustín Aznar Guerner;38;FA;School of Psychology;High;M10070;x
10194;Chief of Staff;Agustín Muñoz Grandes;39;FA;School of Fire Support;High;M10194;x
10196;Chief of Staff;Sancho Dávila;41;FA;School of Defence;Medium;M10109;x
10197;Chief of Staff;Onésimo Redondo Ortega;43;FA;School of Mass Combat;High;M10107;x
10200;Chief of Staff;Gonzalo Queipo de Llano;38;SC;School of Mass Combat;High;M10055;x
10202;Chief of Staff;Joaquin Fanjul Goñi;43;SC;School of Fire Support;Medium;M10202;x
10204;Chief of Staff;Miguel Cabanellas Ferrer;38;ML;School of Psychology;High;M10001;x
10206;Chief of Army;Fidel Dávila Arrondo;36;PA;Static Defence Doctrine;High;M10002;x
10207;Chief of Army;Rafael García Valiño;39;PA;Decisive Battle Doctrine;High;M10207;x
10208;Chief of Army;Carlos Asensio Cabanillas;39;PA;Armoured Spearhead Doctrine;High;M10208;x
10209;Chief of Army;Juan Yagüe Blanco;39;PA;Elastic Defence Doctrine;Medium;M10184;x
10210;Chief of Army;José Enrique Varela Iglesias;39;PA;Guns and Butter Doctrine;High;M10014;x
10211;Chief of Army;José Sanjurjo Sacanell;36;FA;Armoured Spearhead Doctrine;High;M10040;x
10214;Chief of Army;Ricardo de Rada;37;FA;Static Defence Doctrine;High;M10166;x
10216;Chief of Army;Agustín Aznar Guerner;38;FA;Guns and Butter Doctrine;High;M10070;x
10217;Chief of Army;Agustín Muñoz Grandes;39;FA;Armoured Spearhead Doctrine;High;M10194;x
10219;Chief of Army;Onésimo Redondo Ortega;41;FA;Static Defence Doctrine;High;M10107;x
10220;Chief of Army;Sancho Dávila;41;FA;Decisive Battle Doctrine;Medium;M10109;x
10225;Chief of Army;Antonio Aranda Mata;42;SC;Static Defence Doctrine;Low;M10018;x
10227;Chief of Army;Miguel Cabanellas Ferrer;38;ML;Static Defence Doctrine;High;M10001;x
10228;Chief of Army;Gonzalo Queipo de Llano;39;ML;Guns and Butter Doctrine;High;M10055;x
10229;Chief of Navy;Carlos Bareda Terry;36;PA;Indirect Approach Doctrine;High;M10229;x
10230;Chief of Navy;Salvador Moreno Fernández;38;PA;Decisive Naval Battle Doctrine;High;M10230;x
10231;Chief of Navy;Nicolás Franco Bahamonde;41;PA;Power Projection Doctrine;Very High;M10092;x
10232;Chief of Navy;Luis Carrero Blanco;44;PA;Base Control Doctrine;High;M10232;x
10233;Chief of Navy;Francisco Reglado Rodríguez;44;PA;Open Seas Doctrine;High;M10233;x
10235;Chief of Navy;José María Lammamié;42;FA;Indirect Approach Doctrine;Medium;M10102;x
10236;Chief of Navy;Tomás Domínguez Arévalo;43;FA;Base Control Doctrine;High;M10048;x
10237;Chief of Navy;J. de Areilza y Martínez-Rodas;36;FA;Decisive Naval Battle Doctrine;High;M10071;x
10239;Chief of Navy;José Millán Astray;41;SC;Base Control Doctrine;Medium;M10131;x
10240;Chief of Navy;Ramiro Ledesma Ramos;43;FA;Open Seas Doctrine;High;M10069;x
10242;Chief of Navy;Francisco Núñez de Olaneta;36;PA;Base Control Doctrine;High;M10019;x
10245;Chief of Navy;Antonio Azarola Gresillón;36;ML;Open Seas Doctrine;High;M11009;x
10246;Chief of Navy;Miguel Maura Gamazo;40;ML;Decisive Naval Battle Doctrine;High;M11073;x
10247;Chief of Air Force;Ramón Franco Bahamonde;36;PA;Naval Aviation Doctrine;High;M10089;x
10249;Chief of Air Force;Juan Yagüe Blanco;39;PA;Air Superiority Doctrine;Medium;M10184;x
10250;Chief of Air Force;Eduardo González Gallarza;44;PA;Vertical Envelopment Doctrine;High;M10250;x
10251;Chief of Air Force;Juan Vigón Suerodíaz;40;PA;Army Aviation Doctrine;High;M10118;x
10252;Chief of Air Force;J. de Clairac de la Colina;36;FA;Vertical Envelopment Doctrine;Medium;M10252;x
10254;Chief of Air Force;Tomás Domínguez Arévalo;41;FA;Air Superiority Doctrine;High;M10048;x
10255;Chief of Air Force;Manuel Fal Conde;42;FA;Naval Aviation Doctrine;High;M10049;x
10257;Chief of Air Force;José Luís Arrese Magra;38;FA;Army Aviation Doctrine;High;M10072;x
10258;Chief of Air Force;J. de Areilza y Martínez-Rodas;41;FA;Carpet Bombing Doctrine;High;M10071;x
10259;Chief of Air Force;Ramiro Ledesma Ramos;43;FA;Air Superiority Doctrine;High;M10069;x
10260;Chief of Air Force;Francisco Reglado Rodríguez;45;FA;Naval Aviation Doctrine;High;M10233;x
10262;Chief of Air Force;Juan I.L. de Tena García;38;SC;Vertical Envelopment Doctrine;Low;M10262;x
10263;Chief of Air Force;Juan Ansaldo Vejarano;37;SC;Air Superiority Doctrine;High;M10263;x
10266;Chief of Air Force;Andrés Saliquet Zumeta;36;ML;Naval Aviation Doctrine;High;M10266;x
10267;Chief of Air Force;Emilio Herrera;38;ML;Army Aviation Doctrine;High;M11145;x
10268;Chief of Air Force;Diego Hidalgo Dúran;40;ML;Air Superiority Doctrine;High;M11101;x
10269;Chief of Air Force;Rudolf von Moreau;42;ML;Carpet Bombing Doctrine;High;M10269;x
10270;Chief of Air Force;Camilo Alonso Vega;44;ML;Vertical Envelopment Doctrine;High;M10270;x
10272;Minister of Armament;Tomás Domínguez Arévalo;36;PA;Air to Ground Proponent;High;M10271;x
10273;Minister of Armament;Diego Hidalgo Durán;38;SC;Military Entrepreneur;High;M11101;x
10274;Minister of Security;Tomás Domínguez Arévalo;36;PA;Prince of Terror;High;M10271;x
10275;Minister of Security;Emilio Mola Vidal;37;PA;Prince of Terror;Medium;M10008;x
10276;Chief of Army;Francisco Franco Bahamonde;36;PA;Decisive Battle Doctrine;Very High;L3426;x
10277;Chief of Navy;J. de Clairac de la Colina;36;FA;Indirect Approach Doctrine;High;M10252;x
10278;Head of State;Emilio Mola Vidal;36;FA;Resigned Generalissimo;Very High;M10008;x
10279;Head of State;José Sanjurjo Sacanell;36;PA;Resigned Generalissimo;Very High;M10040;x
10280;Head of State;José Calvo-Sotelo;70;SC;Insignificant Layman;Very High;M11014;x
10281;Head of Government;José Sanjurjo Sacanell;36;PA;Old General;Very High;M10040;x
10282;Head of Government;José Antonio Primo de Rivera;36;FA;Silent Workhorse;Very High;M10036;x
10283;Minister of Security;José Antonio Primo de Rivera;36;FA;Man of the People;Very High;M10036;x
10013;Foreign Minister;Juan Beigbéder Atienza;36;PA;Apologetic Clerk;Medium;M10013;x
10017;Chief of Staff;Luís Orgaz Yoldi;36;PA;School of Defence;Medium;M10016;x
10019;Chief of Navy;Francisco Nunez de Olaneta;36;PA;Indirect Approach Doctrine;High;M10019;x
10021;Head of State;José Díaz Ramos;36;ST;Powerhungry Demagogue;High;M10021;x
10022;Head of Government;José Díaz Ramos;36;ST;Backroom Backstabber;High;M10021;x
10023;Foreign Minister;Julio Álvarez del Vayo;36;ST;Ideological Crusader;High;M10023;x
10024;Minister of Armament;Enrique Castro Delgado;36;ST;Infantry Proponent;High;M10024;x
10025;Minister of Security;Santiago Carrillo Solares;36;LE;Prince of Terror;Very High;M10025;x
10026;Head of Military Intelligence;José Díaz Ramos;36;LE;Technical Specialist;Medium;M10021;x
10027;Chief of Staff;Miguel Tagüeña Lacorte;36;LE;School of Manoeuvre;Very High;M10027;x
10028;Chief of Army;Enrique Líster Forján;36;LE;Decisive Battle Doctrine;Very High;M10028;x
10029;Chief of Navy;Francisco Galán Rodríguez;36;LE;Open Seas Doctrine;Medium;M10029;x
10030;Chief of Air Force;Ignacio Hidalgo de Cisneros;36;LE;Air Superiority Doctrine;High;M10030;x
