FIN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
29096;Minister of Armament;Edwin H. Linkomies;44;SC;Administrative Genius;Medium;M29063;x
29097;Minister of Armament;Georg A. de Gripenberg;46;SC;Strategic Air Proponent;High;M29097;x
29098;Minister of Armament;Karl R. Waldén;44;PA;Resource Industrialist;Medium;M29098;x
29099;Minister of Armament;Juho Niukkanen;36;FA;Tank Proponent;Medium;M29014;x
29100;Minister of Armament;Vihtori Kosola;41;FA;Infantry Proponent;Low;M29012;x
29101;Minister of Armament;Mauritz Rosenberg;39;ST;Resource Industrialist;Low;M29024;x
29102;Minister of Security;Urho K. Kekkonen;36;ML;Compassionate Gentleman;Medium;M29051;x
29103;Minister of Security;Hugo Emil Aattela;43;SD;Prince of Terror;Medium;M29103;x
29104;Minister of Security;Valfrid Eskola;44;SD;Back Stabber;Medium;M29104;x
29105;Minister of Security;Olavi I. Kojala;46;SD;Crime Fighter;Medium;M29105;x
29106;Minister of Security;Richard Lorentz;36;ML;Crime Fighter;Medium;M29106;x
29107;Minister of Security;Ernst V.L. von Born;41;ML;Silent Lawyer;Medium;M29107;x
29108;Minister of Security;Väinö L. Valve;43;ML;Compassionate Gentleman;Medium;M29009;x
29109;Minister of Security;Leo R. Ehrnrooth;44;ML;Man of the People;Medium;M29109;x
29110;Minister of Security;Yrjö K. Leino;45;ML;Efficient Sociopath;Medium;M29025;x
29111;Minister of Security;Kaarlo H. Hillilä;46;ML;Prince of Terror;Medium;M29111;x
29112;Minister of Security;Toivo J. Horelli;36;SC;Compassionate Gentleman;Medium;M29112;x
29113;Minister of Security;Esko Riekki;37;SC;Crime Fighter;High;M29006;x
29114;Minister of Security;Johan W. Rangell;39;SC;Man of the People;High;M29059;x
29115;Minister of Security;Kyosti Järvinen;43;SC;Silent Lawyer;Medium;M29062;x
29116;Minister of Security;Risto Ryti;46;SC;Back Stabber;High;M29033;x
29117;Minister of Security;Jouko Itälä;36;FA;Prince of Terror;Low;M29015;x
29118;Minister of Security;Bruno Salmiala;43;FA;Back Stabber;Medium;M29011;x
29119;Minister of Security;Yrjö Leino;39;ST;Man of the People;Low;M29025;x
29120;Head of Military Intelligence;Edvard Kajala;36;SD;Naval Intelligence Specialist;High;M29120;x
29121;Head of Military Intelligence;Bruno Suviranta;44;SD;Dismal Enigma;High;M29121;x
29123;Head of Military Intelligence;Hjalmar F. Procope;41;ML;Political Specialist;High;M29123;x
29124;Head of Military Intelligence;Berndt R. von Fieandt;43;ML;Technical Specialist;High;M29124;x
29125;Head of Military Intelligence;Yrjö W. Puhakka;36;SC;Dismal Enigma;Medium;M29005;x
29126;Head of Military Intelligence;Väinö Valve;39;SC;Naval Intelligence Specialist;High;M29009;x
29127;Head of Military Intelligence;Toivo M. Kivimäki;43;SC;Logistics Specialist;High;M29002;x
29128;Head of Military Intelligence;Georg A. de Gripenberg;44;SC;Industrial Specialist;High;M29097;x
29129;Head of Military Intelligence;Vilho Annala;36;FA;Dismal Enigma;Medium;M29016;x
29130;Head of Military Intelligence;Vihtori Kosola;44;FA;Industrial Specialist;Medium;M29012;x
29131;Head of Military Intelligence;Tuure Lehen;39;ST;Political Specialist;High;M29026;x
29132;Chief of Staff;Leonard Grandell;36;SD;School of Fire Support;Very High;M29093;x
29136;Chief of Staff;Hugo Österman;36;SC;School of Mass Combat;Medium;M29008;x
29137;Chief of Staff;Carl G. Mannerheim;40;SC;School of Defence;Very High;M29034;x
29138;Chief of Staff;Kurt Wallenius;36;FA;School of Psychology;High;M29017;x
29139;Chief of Staff;Akseli Anttila;39;ST;School of Mass Combat;Very High;M29027;x
29140;Chief of Army;Kaarle Voinonmaa;36;SD;Guns and Butter Doctrine;Very High;M29140;x
29144;Chief of Army;K.L. Oesch;36;SC;Elastic Defence Doctrine;High;M29007;x
29145;Chief of Army;Carl G. Mannerheim;40;SC;Decisive Battle Doctrine;Very High;M29034;x
29146;Chief of Army;Vilho Helanen;36;FA;Static Defence Doctrine;High;M29018;x
29147;Chief of Army;Akseli Anttila;39;ST;Guns and Butter Doctrine;Very High;M29027;x
29148;Chief of Navy;Claes Horola;36;SD;Open Seas Doctrine;High;M29148;x
29150;Chief of Navy;Eero Rahola;36;SC;Power Projection Doctrine;High;M29150;x
29151;Chief of Navy;Lauri Tiainen;36;FA;Decisive Naval Battle Doctrine;Medium;M29019;x
29152;Chief of Navy;Eero Rahola;39;ST;Indirect Approach Doctrine;Very High;M29029;x
29153;Chief of Air Force;Valio Porvari;36;SD;Army Aviation Doctrine;Very High;M29153;x
29155;Chief of Air Force;Toivo Somerto;36;SC;Air Superiority Doctrine;Very High;M29155;x
29156;Chief of Air Force;Tauno Viljanen;36;FA;Army Aviation Doctrine;Medium;M29020;x
29157;Chief of Air Force;Akseli Anttila;39;ST;Army Aviation Doctrine;Very High;M29027;x
29158;Foreign Minister;Carl J. Enckell;44;PA;Biased Intellectual;Medium;M29070;x
29160;Head of Government;Karl R. Waldén;40;SC;Happy Amateur;Medium;M29098;x
29161;Head of Government;Edwin H. Linkomies;43;PA;Naive Optimist;High;M29063;x
29162;Head of State;Kyösti Kallio;37;ML;Stern Imperialist;High;M29032;x
29163;Head of State;Carl G. Mannerheim;44;ML;Resigned Generalissimo;High;M29034;x
29164;Head of Government;Karl A. Fagerholm;48;SD;Ambitious Union Boss;High;M29083;x
29165;Minister of Armament;Ralf Johan Törngren;48;SD;Military Entrepreneur;Medium;M29165;x
29166;Minister of Security;Karl A. Fagerholm;48;SD;Man of the People;Medium;M29083;x
29167;Foreign Minister;Åke Henrik Gartz;50;ML;Apologetic Clerk;Medium;M29167;x
29168;Foreign Minister;Sakari S. Tuomioja;51;ML;Biased Intellectual;Medium;M29168;x
29169;Foreign Minister;Urho K. Kekkonen;52;ML;Iron Fisted Brute;Medium;M29051;x
29170;Minister of Armament;Onni A. Hiltunen;50;ML;Infantry Proponent;Very High;M29170;x
29171;Minister of Armament;Vaino J. Sukselainen;51;ML;Administrative Genius;Very High;M29171;x
29172;Minister of Armament;Viljo Rantala;52;ML;laissez-faire capitalist;Very High;M29172;x
29173;Chief of Staff;Johannes Sihvo;48;SL;School of Psychology;Very High;L9738;x
29174;Chief of Army;Kaarlo Malmberg;47;SL;Armoured Spearhead Doctrine;Very High;L9723;x
29175;Chief of Navy;Olavi Arho;48;SL;Indirect Approach Doctrine;Medium;L9757;x
29176;Chief of Air Force;Olavi Sarko;48;SL;Vertical Envelopment Doctrine;Very High;L9777;x
