GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
18051;Head of Government;Emmanouel Tsouderos;41;SC;Happy Amateur;High;M18051;x
18052;Head of Government;Sophocles Venizelos;44;SC;Naive Optimist;High;M18012;x
18053;Head of Government;Konstantinos Tsaldaris;46;SC;Old General;High;M18053;x
18054;Head of Government;Dimitrios Maximos;47;SC;Political Protege;High;M18054;x
18055;Head of Government;Panagis Tsaldaris;36;FA;Flamboyant Tough Guy;High;M18055;x
18056;Head of Government;Georgias Tsolakoglou;41;NS;Old General;High;M18056;x
18057;Head of Government;Konstantinos Logothetopoulos;42;NS;Corporate Suit;High;M18057;x
18058;Head of Government;Ioannis Rallis;43;NS;Naive Optimist;High;M18058;x
18059;Head of Government;Archbishop Damaskinos;45;PA;Flamboyant Tough Guy;High;M18032;x
18060;Head of Government;Nikolaos Plastiras;45;PA;Old General;High;M18060;x
18061;Head of Government;Petros Voulgaris;45;PA;Naive Optimist;High;M18061;x
18062;Head of Government;Panagiotis Kanellopoulos;45;PA;Smiling Oilman;High;M18062;x
18063;Head of Government;Militiades Porphyrogins;36;ST;Ambitious Union Boss;High;M18029;x
18064;Head of Government;Nikos Zahariadis;41;ST;Smiling Oilman;High;M18022;x
18065;Head of Government;Evripidis Bakirtris;44;ST;Happy Amateur;High;M18065;x
18066;Head of Government;Markos Vaphiadis;46;ST;Backroom Backstabber;High;M18066;x
18067;Foreign Minister;Georgios Papandreou;44;SL;Biased Intellectual;Very High;M18015;x
18068;Foreign Minister;Ioannis Safianopoulos;45;SL;Great Compromiser;Medium;M18068;x
18069;Foreign Minister;Constantinos Rentis;46;SL;Apologetic Clerk;Medium;M18069;x
18070;Foreign Minister;Ioannis Metaxas;36;SC;General Staffer;Very High;M18049;x
18071;Foreign Minister;Alexandros Korizis;41;SC;Great Compromiser;Medium;M18050;x
18072;Foreign Minister;Emmanouel Tsouderos;41;SC;Apologetic Clerk;Medium;M18051;x
18073;Foreign Minister;Sophocles Venizelos;44;SC;Great Compromiser;Very High;M18012;x
18074;Foreign Minister;Konstantinos Tsaldaris;46;ML;The Cloak N Dagger Schemer;Very High;M18053;x
18075;Foreign Minister;Demosthenes Nicoladis;36;FA;Ideological Crusader;Very High;M18075;x
18076;Foreign Minister;Georgias Tsolakoglou;41;NS;General Staffer;Very High;M18056;x
18077;Foreign Minister;Konstantinos Logothetopoulos;42;NS;Biased Intellectual;High;M18057;x
18078;Foreign Minister;Ioannis Rallis;43;NS;The Cloak N Dagger Schemer;Very High;M18058;x
18079;Foreign Minister;Georgios Papandreou;45;PA;Biased Intellectual;Very High;M18015;x
18080;Foreign Minister;Ioannes Socrates Politis;45;PA;Apologetic Clerk;Very High;M18080;x
18081;Foreign Minister;Panagiotis Kanellopoulos;45;PA;Great Compromiser;Medium;M18062;x
18082;Foreign Minister;Panagiotios Demestichas;46;PA;General Staffer;Very High;M18082;x
18083;Foreign Minister;Nikos Zahariadis;36;ST;Ideological Crusader;Very High;M18022;x
18084;Foreign Minister;Militiades Porphyrogins;46;ST;General Staffer;Very High;M18029;x
18085;Foreign Minister;Petros Rousos;47;ST;Biased Intellectual;Very High;M18085;x
18086;Minister of Armament;Markos Aganossos;36;SL;Corrupt Kleptocrat;Medium;M18086;x
18087;Minister of Armament;Theodoros Marsal;37;SL;Resource Industrialist;Medium;M18087;x
18088;Minister of Armament;Themistocles Sophoulis;41;SL;Administrative Genius;High;M18014;x
18089;Minister of Armament;Alexandros Svolos;44;SL;Resource Industrialist;High;M18089;x
18090;Minister of Armament;Demetrios Gousis;45;SL;Battle Fleet Proponent;High;M18090;x
18091;Minister of Armament;Alexiou Tsamotos;36;SC;Submarine Proponent;High;M18091;x
18092;Minister of Armament;Antoine Frangulis;38;SC;Air Superiority Proponent;Medium;M18092;x
18093;Minister of Armament;Thanassos Exaharis;39;SC;laissez-faire capitalist;Medium;M18093;x
18094;Minister of Armament;Takis Pipenelis;40;SC;Theoretical Scientist;Medium;M18094;x
18095;Minister of Armament;Eleftherios Venizelos;41;SC;Air to Ground Proponent;Medium;M18010;x
18096;Minister of Armament;Gaecia Geanados;42;SC;Strategic Air Proponent;Medium;M18096;x
18097;Minister of Armament;Anastassios Bardivilias;43;SC;Air to Sea Proponent;Medium;M18097;x
18098;Minister of Armament;Anatasios Kanellopoulos;44;SC;Administrative Genius;Very High;M18098;x
18099;Minister of Armament;Giorgios Lavdas;45;SC;Tank Proponent;Very High;M18099;x
18100;Minister of Armament;Alchibiades Stephanopoulos;46;SC;laissez-faire capitalist;Medium;M18100;x
18102;Minister of Armament;Panagis Tsaldaris;38;FA;Air to Sea Proponent;High;M18055;x
18103;Minister of Armament;Pavlos Milziadis;41;NS;Resource Industrialist;Medium;M18103;x
18104;Minister of Armament;Christos Tsigantes;42;NS;Resource Industrialist;Medium;M18104;x
18105;Minister of Armament;Nicholaos Voutsinaris;43;NS;Theoretical Scientist;High;M18105;x
18106;Minister of Armament;Ioannis Venizelos;44;PA;Military Entrepreneur;Medium;M18106;x
18107;Minister of Armament;Nikolaos Plastiras;45;PA;Infantry Proponent;Very High;M18060;x
18108;Minister of Armament;Giorgis Siantos;36;ST;Resource Industrialist;High;M18021;x
18109;Minister of Security;Georgios Papandreou;36;SL;Efficient Sociopath;High;M18015;x
18110;Minister of Security;Markos Aganossos;41;SL;Silent Lawyer;Medium;M18086;x
18111;Minister of Security;Elias Panakilis;44;SL;Crime Fighter;Medium;M18111;x
18112;Minister of Security;Evangelos Papanoutsos;45;SL;Compassionate Gentleman;Medium;M18112;x
18113;Minister of Security;Panagiolis Poulitsas;46;SL;Prince of Terror;High;M18048;x
18114;Minister of Security;Giorgios Nicolaidis;36;SC;Back Stabber;Medium;M18114;x
18115;Minister of Security;Raul Bibica Rosetti;41;SC;Compassionate Gentleman;Medium;M18115;x
18116;Minister of Security;Dimitrios Maximos;44;SC;Crime Fighter;High;M18054;x
18117;Minister of Security;Konstantinos Tsaldaris;44;SC;Man of the People;Medium;M18117;x
18118;Minister of Security;Thanassis Aghnides;45;SC;Efficient Sociopath;Medium;M18118;x
18119;Minister of Security;Panagiotis Kafantaris;46;SC;Silent Lawyer;Medium;M18119;x
18120;Minister of Security;Stephanos Lakiantos;47;SC;Crooked Kleptocrat;Medium;M18120;x
18122;Minister of Security;Christos Tsigantes;38;FA;Prince of Terror;Medium;M18104;x
18123;Minister of Security;Grigoriev Murnov;41;NS;Crime Fighter;Low;M18040;x
18124;Minister of Security;Mario Vercellino;42;NS;Back Stabber;Low;M18041;x
18125;Minister of Security;Reinhard Altenburg;43;NS;Crooked Kleptocrat;High;M18042;x
18126;Minister of Security;Archbishop Damaskinos;44;PA;Efficient Sociopath;Very High;M18032;x
18127;Minister of Security;Alchibiades Stephanopoulos;44;PA;Compassionate Gentleman;Medium;M18100;x
18128;Minister of Security;Christos Triantafyllidis;46;PA;Man of the People;Medium;M18128;x
18129;Minister of Security;Giannes Ioannides;36;ST;Prince of Terror;High;M18025;x
18130;Minister of Security;Markos Vaphiadis;41;ST;Silent Lawyer;High;M18066;x
18131;Minister of Security;Stratos Payioumtzis;45;ST;Efficient Sociopath;Medium;M18131;x
18132;Head of Military Intelligence;Georgios Papandreou;36;SL;Political Specialist;High;M18015;x
18133;Head of Military Intelligence;Costas Moulas;44;SL;Naval Intelligence Specialist;Medium;M18133;x
18134;Head of Military Intelligence;Anastassios Bardivilias;36;SC;Naval Intelligence Specialist;Medium;M18097;x
18135;Head of Military Intelligence;Georgios Drossopoulos;41;SC;Technical Specialist;High;M18135;x
18136;Head of Military Intelligence;Georgios Streit;44;SC;Industrial Specialist;High;M18136;x
18137;Head of Military Intelligence;Anatasios Kanellopoulos;46;SC;Dismal Enigma;Very High;M18098;x
18138;Head of Military Intelligence;Alexandros Propanis;47;SC;Logistics Specialist;Medium;M18138;x
18139;Head of Military Intelligence;Christos Triantafyllidis;36;FA;Dismal Enigma;Medium;M18128;x
18140;Head of Military Intelligence;Alchibiades Stephanopoulos;37;FA;Industrial Specialist;Medium;M18100;x
18141;Head of Military Intelligence;Christos Tsigantes;41;NS;Industrial Specialist;Medium;M18104;x
18142;Head of Military Intelligence;Sevastianos Foulidis;42;NS;Logistics Specialist;High;M18142;x
18143;Head of Military Intelligence;Napoleon Zervas;44;PA;Logistics Specialist;Low;M18143;x
18145;Head of Military Intelligence;Giannes Ioannides;36;ST;Political Specialist;High;M18025;x
18146;Head of Military Intelligence;Evripidis Bakirtris;41;ST;Industrial Specialist;High;M18065;x
18150;Chief of Staff;Alexandros Papagos;36;SC;School of Defence;Medium;M18007;x
18151;Chief of Staff;Giorgios Lavdas;39;SC;School of Manoeuvre;Medium;M18099;x
18152;Chief of Staff;Paraskos Melissinos;40;SC;School of Mass Combat;Medium;M18152;x
18153;Chief of Staff;Vassilios Tsounoukas;44;SC;School of Fire Support;Medium;M18153;x
18154;Chief of Staff;Anastassios Sakellariou;46;SC;School of Psychology;Medium;M18009;x
18155;Chief of Staff;Giorgios Kondylis;36;FA;School of Manoeuvre;Medium;M18155;x
18157;Chief of Staff;Georgias Tsolakoglou;41;NS;School of Manoeuvre;Very High;M18056;x
18158;Chief of Staff;Nikolaos Plastiras;44;PA;School of Psychology;Very High;M18060;x
18159;Chief of Staff;Leonidas Paraskevopoulos;46;PA;School of Mass Combat;Medium;M18159;x
18160;Chief of Staff;Stephanos Sarafis;36;ST;School of Mass Combat;High;M18027;x
18162;Chief of Army;Giorgios Roussoupoulos;41;SL;Elastic Defence Doctrine;Low;M18162;x
18165;Chief of Army;Vassilios Tsounoukas;41;SC;Decisive Battle Doctrine;Low;M18153;x
18166;Chief of Army;Georgios Streit;44;SC;Guns and Butter Doctrine;Low;M18136;x
18167;Chief of Army;Giorgios Lavdas;45;SC;Armoured Spearhead Doctrine;Low;M18099;x
18169;Chief of Army;Theodor Pangalos;38;FA;Static Defence Doctrine;Low;M18007;x
18170;Chief of Army;Georgias Tsolakoglou;41;NS;Decisive Battle Doctrine;Very High;M18056;x
18171;Chief of Army;Nikolaos Plastiras;44;PA;Guns and Butter Doctrine;Very High;M18060;x
18172;Chief of Army;Aris Velouchiotis;36;ST;Decisive Battle Doctrine;High;M18028;x
18173;Chief of Navy;Nikolaos Votsis;36;SL;Base Control Doctrine;High;M18019;x
18174;Chief of Navy;Demetrios Gousis;41;SL;Decisive Naval Battle Doctrine;High;M18090;x
18176;Chief of Navy;Alexiou Tsamotos;41;SC;Decisive Naval Battle Doctrine;High;M18091;x
18177;Chief of Navy;Petros Voulgaris;44;SC;Indirect Approach Doctrine;Low;M18061;x
18179;Chief of Navy;Alexandros Oikonomou;41;NS;Open Seas Doctrine;Very Low;M18179;x
18181;Chief of Navy;Militiades Porphyrogins;36;ST;Decisive Naval Battle Doctrine;High;M18029;x
18183;Chief of Air Force;Gaecia Geanados;41;SL;Carpet Bombing Doctrine;Medium;M18096;x
18184;Chief of Air Force;Euthanassos Perrikos;44;SL;Vertical Envelopment Doctrine;Medium;M18184;x
18185;Chief of Air Force;Panagotis Papanikolaou;36;SC;Carpet Bombing Doctrine;Medium;M18182;x
18186;Chief of Air Force;Antoine Frangulis;41;SC;Air Superiority Doctrine;Medium;M18092;x
18187;Chief of Air Force;Anastassios Bardivilias;44;SC;Naval Aviation Doctrine;Medium;M18097;x
18191;Chief of Air Force;Nikos Beloyannis;36;ST;Naval Aviation Doctrine;High;M18030;x
18192;Foreign Minister;Themistocles Sophoulis;36;SL;The Cloak N Dagger Schemer;high;M18014;x
18194;Head of State;Archbishop Damaskinos;46;SL;Barking Buffoon;High;M18032;x
18195;Head of State;Archbishop Damaskinos;46;SC;Barking Buffoon;High;M18032;x
18196;Head of State;Georgios II;46;SL;Insignificant Layman;High;M18001;x
18197;Head of State;Georgios II;46;SC;Insignificant Layman;High;M18001;x
18198;Head of Government;Themistocles Sophoulis;46;SL;Flamboyant Tough Guy;High;M18014;x
18199;Head of Government;Konstantinos Tsaldaris;47;SC;Corporate Suit;NA;M18053;x
18200;Foreign Minister;Ioannis Safianopoulos;45;PA;The Cloak N Dagger Schemer;Medium;M18068;x
18201;Foreign Minister;Petros Voulgaris;45;PA;Biased Intellectual;High;M18061;x
18202;Head of Government;Alexandros Diomidis;49;SL;Political Protege;High;M18202;x
18203;Head of Government;Ioannis Theotokis;50;SL;Happy Amateur;High;M18203;x
18204;Head of Government;Dimitrios Kiousopoulos;52;SC;Smiling Oilman;High;M18204;x
18205;Head of Government;Alexandros Papagos;52;SC;Old General;High;M18007;x
18206;Foreign Minister;Panaiotis Pipenelis;50;SC;Apologetic Clerk;Very High;M18206;x
18207;Foreign Minister;Stephanos Stephanopoulos;52;SC;Biased Intellectual;Very High;M18207;x
