IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
25118;Head of Military Intelligence;Patrick Sweeney;39;FA;Dismal Enigma;Medium;M25012;x
25119;Head of Military Intelligence;Sean Murray;36;LE;Naval Intelligence Specialist;High;M25026;x
25120;Head of Military Intelligence;Betty Sinclair;39;LE;Technical Specialist;High;M25104;x
25121;Chief of Staff;Norman Devlin;36;SD;School of Manoeuvre;Very Low;M25121;x
25122;Chief of Staff;Seán O'Grady;44;SD;School of Psychology;High;M25122;x
25123;Chief of Staff;Michael Brennan;36;ML;School of Defence;High;M25123;x
25124;Chief of Staff;Dan Bryan;39;ML;School of Fire Support;High;M25124;x
25125;Chief of Staff;Dan McKenna;42;ML;School of Mass Combat;High;M25125;x
25126;Chief of Staff;Richard Mulcahy;36;SC;School of Psychology;High;M25126;x
25127;Chief of Staff;Conor Maguire;41;SC;School of Mass Combat;High;M25127;x
25128;Chief of Staff;Liam Archer;47;SC;School of Fire Support;High;M25113;x
25129;Chief of Staff;Hubert de la Poer Gough;36;PA;School of Mass Combat;High;M25017;x
25130;Chief of Staff;Padraig O'Connor;36;LE;School of Psychology;High;M25027;x
25131;Chief of Staff;Frank Lynch;41;LWR;School of Mass Combat;High;M25131;x
25132;Chief of Army;Cecil Lavery;36;SD;Decisive Battle Doctrine;High;M25069;x
25133;Chief of Army;William Norton;41;SD;Guns and Butter Doctrine;High;M25044;x
25134;Chief of Army;Emmett Dalton;47;ML;Elastic Defence Doctrine;High;M25134;x
25135;Chief of Army;Frank Fahy;36;ML;Static Defence Doctrine;High;M25031;x
25136;Chief of Army;M.J. Costello;37;ML;Elastic Defence Doctrine;High;M25007;x
25137;Chief of Army;Liam Archer;36;SC;Armoured Spearhead Doctrine;High;M25113;x
25138;Chief of Army;Eoin O'Duffy;36;FA;Elastic Defence Doctrine;High;M25138;x
25139;Chief of Army;Seán MacEoin;36;LWR;Decisive Battle Doctrine;High;M25028;x
25140;Chief of Navy;A.T. Lawlor;36;SD;Open Seas Doctrine;High;M25140;x
25141;Chief of Navy;S. O'Muiris;41;SD;Decisive Naval Battle Doctrine;High;M25141;x
25142;Chief of Navy;Seán MacEntee;36;ML;Open Seas Doctrine;High;M25004;x
25143;Chief of Navy;Thomas Derrig;41;ML;Power Projection Doctrine;High;M25143;x
25144;Chief of Navy;Seán T. O'Ceallaigh;44;ML;Base Control Doctrine;High;M25036;x
25145;Chief of Navy;A.H.J. Jerome;47;ML;Indirect Approach Doctrine;High;M25145;x
25146;Chief of Navy;John O'Byrne;36;SC;Power Projection Doctrine;High;M25081;x
25148;Chief of Navy;Eamonn Broy;36;FA;Power Projection Doctrine;High;M25015;x
25149;Chief of Navy;William McCullough;36;LWR;Decisive Naval Battle Doctrine;High;M25029;x
25150;Chief of Air Force;Cearbhall O'Dalaigh;36;SD;Vertical Envelopment Doctrine;High;M25092;x
25151;Chief of Air Force;M.J. Costello;36;ML;Army Aviation Doctrine;High;M25007;x
25152;Chief of Air Force;Oscar Traynor;39;ML;Vertical Envelopment Doctrine;High;M25152;x
25153;Chief of Air Force;Charles Casey;41;ML;Air Superiority Doctrine;High;M25153;x
25154;Chief of Air Force;W. Delamere;44;ML;Naval Aviation Doctrine;High;M25154;x
25155;Chief of Air Force;H.T. Green;36;SC;Naval Aviation Doctrine;High;M25009;x
25156;Chief of Air Force;P. Quinn;44;SC;Carpet Bombing Doctrine;High;M25156;x
25157;Chief of Air Force;Jack White;36;FA;Army Aviation Doctrine;High;M25020;x
25158;Chief of Air Force;Pieras Beaslai;36;LWR;Air Superiority Doctrine;High;M25030;x
25159;Head of State;Seán T. O'Ceallaigh;47;SC;Autocratic Charmer;High;M25036;x
25160;Foreign Minister;Frank Aiken;51;ML;Great Compromiser;High;M25074;x
25161;Minister of Armament;Oscar Traynor;39;ML;Infantry Proponent;High;M25111;x
25162;Minister of Armament;Kevin O'Higgins;48;SC;Military Entrepreneur;High;M25058;x
