NIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
48012;Head of Government;Guillermo Cuadra;36;SD;Ambitious Union Boss;High;M48012;x
48013;Foreign Minister;Leon Cabrales;36;SL;Biased Intellectual;High;M48011;x
48015;Minister of Security;Guillermo Cuadra;36;SD;Crime Fighter;High;M48012;x
48021;Head of State;Luis Cardenal;36;LE;Weary Stiffneck;High;M48021;x
48022;Head of Government;Luis Cardenal;36;LE;Flamboyant Tough Guy;High;M48021;x
48023;Foreign Minister;Luis Cardenal;36;LE;Ideological Crusader;Very High;M48021;x
48024;Minister of Armament;Teophilo S. Grálles;36;ST;Strategic Air Proponent;Medium;M48024;x
48025;Minister of Security;Juan Y. Masquez;36;LE;Efficient Sociopath;Medium;M48025;x
48026;Head of Military Intelligence;Juan Pablo Esquerra;36;LWR;Dismal Enigma;Medium;M48026;x
48027;Chief of Staff;Juan Pablo Esquerra;36;LWR;School of Psychology;Medium;M48026;x
48028;Chief of Army;Manuel Corovél Kirsch;36;LWR;Static Defence Doctrine;Medium;M48018;x
48029;Chief of Navy;Noel Esto Niño Miranda;36;LWR;Open Seas Doctrine;Very High;M48019;x
48030;Chief of Air Force;Joel Garcia Zaldana;36;LWR;Army Aviation Doctrine;Medium;M48020;x
