ITA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
3167;Chief of Air Force;Luigi Gasparotto;45;SL;Army Aviation Doctrine;High;M3136;x
3014;Minister of Armament;A. de Marinis de Ricia;36;SL;Administrative Genius;High;M3014;x
3016;Head of Military Intelligence;Umberto Ricci;36;SC;Industrial Specialist;High;M3015;x
3018;Chief of Army;Enrico Mattei;36;SC;Decisive Battle Doctrine;High;M3018;x
3168;Head of State;Luigi Einaudi;48;SC;Insignificant Layman;High;M3085;x
3169;Head of State;Luigi Einaudi;48;SL;Insignificant Layman;High;M3085;x
3170;Head of Government;Giuseppe Pella;53;SC;Silent Workhorse;High;M3116;x
3171;Foreign Minister;Giuseppe Pella;53;SC;Ideological Crusader;High;M3116;x
3172;Minister of Armament;Randolfo Pacciardi;48;SC;Military Entrepreneur;High;M3133;x
3173;Minister of Armament;Emilio Paolo Taviani;53;SC;Theoretical Scientist;High;M3173;x
3174;Minister of Security;Amintore Fanfani;53;SC;Compassionate Gentleman;High;M3174;x
