FRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
2077;Minister of Armament;Charles de Gaulle;40;SC;Tank Proponent;High;M2027;x
2078;Minister of Armament;Georges Bonnet;41;SL;Resource Industrialist;Medium;M2053;x
2079;Minister of Armament;Jean Fabry;36;SC;Resource Industrialist;Medium;M2079;x
2080;Minister of Armament;Joseph Louis Avenol;37;SC;Battle Fleet Proponent;Medium;M2080;x
2081;Minister of Armament;Marie Emile Fayolle;38;SC;Infantry Proponent;Medium;M2081;x
2082;Minister of Armament;Edouard Herriot;39;ML;laissez-faire capitalist;Medium;M2042;x
2083;Minister of Armament;Paul Marchandeau;41;SC;Administrative Genius;Medium;M2083;x
2084;Minister of Armament;André Marie;41;ML;Air Superiority Proponent;Medium;M2041;x
2085;Minister of Armament;Antoine Henri Queuille;42;SC;Air to Ground Proponent;High;M2043;x
2086;Minister of Armament;Louis Armand;44;SC;Tank Proponent;Medium;M2086;x
2087;Minister of Armament;Jules Romains;47;SC;Submarine Proponent;Medium;M2087;x
2088;Minister of Armament;Robert Schumann;40;ML;Administrative Genius;Medium;M2088;x
2089;Minister of Armament;Edmond Michelet;44;SC;laissez-faire capitalist;Medium;M2089;x
2090;Minister of Armament;René Pleven;45;ML;Resource Industrialist;High;M2090;x
2091;Minister of Armament;George Lévy;36;ST;Administrative Genius;Medium;M2014;x
2092;Minister of Armament;Laurent Casenove;38;ST;Theoretical Scientist;Medium;M2064;x
2093;Minister of Armament;Jean Jerome;40;ST;laissez-faire capitalist;Medium;M2093;x
2094;Minister of Armament;Benoit Frachon;42;ST;Battle Fleet Proponent;Medium;M2094;x
2095;Minister of Armament;Auguste Lecoeur;44;ST;Military Entrepreneur;Medium;M2095;x
2096;Minister of Armament;Daniel Renoult;47;ST;Theoretical Scientist;Medium;M2096;x
2097;Minister of Armament;Jacques de Guillebon;38;PA;Resource Industrialist;Medium;M2097;x
2098;Minister of Security;Pierre Auguste Chardigny;36;SD;Prince of Terror;Low;M2098;x
2099;Minister of Security;Julien Luchaire;37;SD;Efficient Sociopath;Medium;M2099;x
2100;Minister of Security;Adrien Tixier;38;SD;Compassionate Gentleman;Very High;M2100;x
2101;Minister of Security;Henri Bonnet;38;SD;Back Stabber;Medium;M2101;x
2102;Minister of Security;Paul Ramadier;41;SD;Crime Fighter;High;M2035;x
2103;Minister of Security;Albert Lebrun;46;SD;Silent Lawyer;Medium;M2001;x
2104;Minister of Security;Jules Moch;47;SL;Man of the People;High;M2104;x
2105;Minister of Security;Pierre Pené;36;SL;Silent Lawyer;Medium;M2105;x
2106;Minister of Security;Arthur Fontaine;37;SL;Efficient Sociopath;Medium;M2106;x
2107;Minister of Security;Henri Roy;38;SL;Man of the People;Medium;M2107;x
2108;Minister of Security;Louis-Georges Mandel;40;SL;Crime Fighter;Low;M2108;x
2109;Minister of Security;Jean Maillet;47;SL;Back Stabber;High;M2109;x
2110;Minister of Security;Joseph Paganon;36;SC;Silent Lawyer;Medium;M2006;x
2111;Minister of Security;Gaston Alexandre Clauzel;38;SC;Man of the People;High;M2111;x
2112;Minister of Security;René Nicolau;41;SC;Compassionate Gentleman;High;M2112;x
2113;Minister of Security;André Marie;47;ML;Prince of Terror;Medium;M2041;x
2114;Minister of Security;Camille Chautemps;40;SC;Man of the People;Medium;M2036;x
2115;Minister of Security;Robert Schumann;44;ML;Crime Fighter;Medium;M2088;x
2116;Minister of Security;André Le Troquer;45;SC;Compassionate Gentleman;Medium;M2072;x
2117;Minister of Security;Lucien Micol;36;ST;Crime Fighter;High;M2015;x
2118;Minister of Security;Claudine Chomat;37;ST;Efficient Sociopath;Medium;M2118;x
2119;Minister of Security;Henri Gourdeaux;38;ST;Silent Lawyer;High;M2119;x
2120;Minister of Security;Jean-Marie Clamamus;40;ST;Man of the People;Medium;M2120;x
2121;Minister of Security;Maurice Thorez;44;ST;Prince of Terror;Very High;M2011;x
2122;Minister of Security;Eugene Dunoyer de Segonzac;38;PA;Compassionate Gentleman;Very High;M2122;x
2123;Head of Military Intelligence;Roger Salengro;36;SD;Industrial Specialist;Medium;M2123;x
2124;Head of Military Intelligence;Felix Gouin;37;SD;Technical Specialist;Medium;M2034;x
2125;Head of Military Intelligence;Daniel Mayer;41;SD;Logistics Specialist;Medium;M2023;x
2126;Head of Military Intelligence;André Le Troquer;47;SD;Dismal Enigma;Medium;M2072;x
2128;Head of Military Intelligence;Pierre Etienne Flandin;38;SL;Dismal Enigma;Low;M2003;x
2129;Head of Military Intelligence;Maurice Delage;41;SL;Technical Specialist;High;M2129;x
2130;Head of Military Intelligence;Aimé Lepercq;47;SL;Industrial Specialist;High;M2130;x
2131;Head of Military Intelligence;René Nicolau;36;SC;Dismal Enigma;High;M2112;x
2132;Head of Military Intelligence;Jacques Brunschwig;38;SC;Naval Intelligence Specialist;High;M2132;x
2133;Head of Military Intelligence;André Marie;40;ML;Technical Specialist;Medium;M2041;x
2134;Head of Military Intelligence;Charles Luizet;40;ML;Technical Specialist;High;M2134;x
2135;Head of Military Intelligence;André de Wawrin-Passy;42;SC;Logistics Specialist;High;M2135;x
2136;Head of Military Intelligence;Roger Lantenois;44;SC;Industrial Specialist;High;M2136;x
2137;Head of Military Intelligence;André Boulloche;46;SC;Dismal Enigma;High;M2137;x
2138;Head of Military Intelligence;Waldeck Rochet;36;ST;Dismal Enigma;High;M2016;x
2139;Head of Military Intelligence;Jean-Marie Clamamus;38;ST;Industrial Specialist;Medium;M2120;x
2140;Head of Military Intelligence;Henri Gourdeaux;41;ST;Logistics Specialist;High;M2119;x
2141;Head of Military Intelligence;Gustave Guéhenneux;47;ST;Technical Specialist;Medium;M2141;x
2142;Head of Military Intelligence;Paul Repiton-Preneuf;38;PA;Logistics Specialist;Medium;M2142;x
2144;Chief of Staff;Jean-Marie Lattre de Tassigny;36;SC;School of Mass Combat;Medium;M2047;x
2146;Chief of Staff;Maxime Weygand;40;SL;School of Defence;Very High;M2146;x
2148;Chief of Staff;Paul Le Gentilhomme;36;SC;School of Psychology;Medium;M2148;x
2150;Chief of Staff;Charles de Gaulle;40;SC;School of Manoeuvre;High;M2027;x
2151;Chief of Staff;Pierre-Armand Billotte;42;SC;School of Fire Support;Medium;M2151;x
2152;Chief of Staff;Pierre Bourges-Maunory;44;SC;School of Psychology;High;M2152;x
2154;Chief of Staff;Marcel Cachin;36;ST;School of Fire Support;Medium;M2017;x
2157;Chief of Army;Leon Victor Bourgeois;36;SD;Guns and Butter Doctrine;Medium;M2157;x
2158;Chief of Army;Jean-Marie Lattre de Tassigny;40;SC;Armoured Spearhead Doctrine;Medium;M2047;x
2160;Chief of Army;Pierre Auguste Chardigny;41;SL;Elastic Defence Doctrine;Medium;M2098;x
2164;Chief of Army;Jean Bertin-Boussus;40;SC;Elastic Defence Doctrine;Medium;M2164;x
2166;Chief of Army;André Marty;36;ST;Guns and Butter Doctrine;Medium;M2018;x
2167;Chief of Army;Pierre Fabien;40;ST;Decisive Battle Doctrine;Medium;M2167;x
2168;Chief of Army;Maxime Weygand;38;PA;Elastic Defence Doctrine;Medium;M2146;x
2170;Chief of Navy;Joseph Paul Boncour;38;SD;Base Control Doctrine;High;M2170;x
2171;Chief of Navy;Jean Gout;44;SD;Power Projection Doctrine;High;M2171;x
2173;Chief of Navy;César Campinchi;40;ML;Indirect Approach Doctrine;Very High;M2173;x
2176;Chief of Navy;Francois Pietri;40;SC;Indirect Approach Doctrine;Medium;M2176;x
2178;Chief of Navy;Etienne Schlumberger;40;SC;Decisive Naval Battle Doctrine;High;M2174;x
2179;Chief of Navy;André Marty;36;ST;Indirect Approach Doctrine;Medium;M2018;x
2180;Chief of Navy;Charles Tillon;44;ST;Base Control Doctrine;High;M2180;x
2181;Chief of Navy;Pierre Richard;38;PA;Decisive Naval Battle Doctrine;High;M2181;x
2183;Chief of Air Force;Marcel Deat;38;SD;Air Superiority Doctrine;Low;M2183;x
2184;Chief of Air Force;Pierre Cot;40;SD;Army Aviation Doctrine;Very High;M2184;x
2187;Chief of Air Force;Joseph Vuillemin;38;SL;Air Superiority Doctrine;Very High;M2187;x
2188;Chief of Air Force;Guy La Chambre;40;SL;Vertical Envelopment Doctrine;Medium;M2188;x
2191;Chief of Air Force;Robert Rossi;40;SC;Army Aviation Doctrine;Very High;M2191;x
2193;Chief of Air Force;Martial Valín;40;SC;Air Superiority Doctrine;Very High;M2185;x
2194;Chief of Air Force;Raymond Roques;44;SC;Carpet Bombing Doctrine;Very High;M2194;x
2195;Chief of Air Force;Marcel Gitton;36;ST;Air Superiority Doctrine;Medium;M2020;x
2196;Chief of Air Force;Charles Tillon;40;ST;Army Aviation Doctrine;High;M2180;x
2201;Head of Government;Robert Schumann;47;SL;Corporate Suit;High;M2088;x
2202;Foreign Minister;Maurice Dejean;40;ML;Great Compromiser;High;M2202;x
2203;Foreign Minister;René Pleven;42;ML;Biased Intellectual;High;M2090;x
2206;Chief of Army;Alphonse Georges;39;SC;Static Defence Doctrine;High;L24082;x
2207;Head of State;Albert Lebrun;36;SC;Barking Buffoon;Very High;M2001;x
2208;Head of State;Camille Chautemps;40;SL;Popular Figurehead;Very High;M2036;x
2209;Head of Government;Louis-Georges Mandel;40;SL;Backroom Backstabber;Medium;M2108;x
2210;Minister of Security;Yvon Delbos;40;SL;Silent Lawyer;High;M2048;x
2211;Head of State;Henri-Honoré Giraud;40;PA;Weary Stiffneck;Very High;L24084;x
2212;Head of Government;Henri-Honoré Giraud;40;PA;Old General;Very High;L24084;x
2213;Foreign Minister;Charles-Emmanuel Mast;40;PA;General Staffer;High;L24224;x
2214;Minister of Armament;Marie-Pierre Koenig;40;SC;Military Entrepreneur;Very High;L24107;x
2215;Chief of Staff;Henri-Honoré Giraud;40;PA;School of Fire Support;Very High;L24084;x
2216;Head of Government;Robert Schumann;47;ML;Corporate Suit;High;M2088;x
2218;Head of Government;René Pleven;50;ML;Political Protege;High;M2090;x
2219;Head of Government;Edgar Faure;52;SD;Backroom Backstabber;High;M2219;x
2220;Head of Government;Antoine Pinay;52;ML;Silent Workhorse;High;M2220;x
2221;Head of Government;René Mayer;53;SL;Naive Optimist;High;M2221;x
2222;Head of Government;Joseph Laniel;53;SC;Flamboyant Tough Guy;High;M2222;x
2223;Foreign Minister;Robert Schumann;48;ML;Biased Intellectual;High;M2088;x
2224;Minister of Armament;Pierre-Henri Teitgen;47;ML;laissez-faire capitalist;Medium;M2224;x
2225;Minister of Armament;René Mayer;48;SL;Tank Proponent;Medium;M2221;x
2226;Minister of Armament;Paul Ramadier;48;SL;Resource Industrialist;Medium;M2035;x
2227;Minister of Armament;Jules Moch;50;SD;Battle Fleet Proponent;Medium;M2104;x
2217;Minister of Armament;Georges Bidault;51;ML;Infantry Proponent;Medium;M2039;x
2228;Minister of Security;Antoine Henri Queuille;50;SC;Back Stabber;Medium;M2043;x
2229;Minister of Security;Charles Brune;51;SD;Silent Lawyer;Medium;M2229;x
2230;Minister of Security;Leon Martinaud-Deplat;53;SC;Compassionate Gentleman;Medium;M2230;x
2231;Head of Military Intelligence;Robert Lecourt;48;SC;Industrial Specialist;Medium;M2231;x
2232;Head of Military Intelligence;René Mayer;49;SL;Logistics Specialist;Medium;M2221;x
2233;Head of Military Intelligence;Edgar Faure;51;SD;Dismal Enigma;Medium;M2219;x
2234;Head of Military Intelligence;Leon Martinaud-Deplat;52;SC;Political Specialist;Medium;M2230;x
2235;Head of Military Intelligence;Paul Ribeyre;53;SC;Naval Intelligence Specialist;Medium;M2235;x
2236;Head of State;Vincent Auriol;47;SC;Autocratic Charmer;Medium;M2004;x
