CUB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
33062;Minister of Armament;Miguel Gómez y Arias;40;ML;laissez-faire capitalist;Medium;M33002;x
33063;Minister of Armament;Eduardo Chibas;44;ML;Theoretical Scientist;Low;M33013;x
33064;Minister of Armament;Fulgencio Batista;36;SD;Corrupt Kleptocrat;Medium;M33034;x
33065;Minister of Armament;José Orlando Ferrer;37;SD;Battle Fleet Proponent;Medium;M33065;x
33066;Minister of Armament;Porfirio Franca;40;SC;Corrupt Kleptocrat;Medium;M33066;x
33067;Minister of Armament;Federico L. Bru;41;SC;Infantry Proponent;Low;M33014;x
33068;Minister of Armament;A. de Aguero y Bethancourt;43;SC;Air to Ground Proponent;Medium;M33068;x
33069;Minister of Armament;Manuel Ferrara;44;PA;Corrupt Kleptocrat;Medium;M33006;x
33070;Minister of Armament;Alberto O'Farrill;46;PA;Administrative Genius;Medium;M33070;x
33071;Minister of Armament;Carlos Prio;36;LWR;Administrative Genius;High;M33004;x
33072;Minister of Armament;Juan Martines Villera;40;LWR;Submarine Proponent;Medium;M33021;x
33073;Minister of Armament;Miguel Campa y Caraveda;44;LWR;Air to Ground Proponent;Medium;M33051;x
33074;Minister of Security;Eugenio Molinet Castro;36;ML;Crooked Kleptocrat;Medium;M33040;x
33075;Minister of Security;Gerardo Machado;40;ML;Efficient Sociopath;Medium;M33032;x
33076;Minister of Security;Carlos Hevia;44;ML;Crime Fighter;High;M33015;x
33077;Minister of Security;P. de Jesús Candelier;36;SD;Back Stabber;Medium;M33077;x
33078;Minister of Security;A. Odero y Garcia;39;SD;Compassionate Gentleman;Medium;M33078;x
33079;Minister of Security;Porfirio Franca;40;SC;Crooked Kleptocrat;Medium;M33066;x
33080;Minister of Security;C. de la Torriente y Peraza;42;SC;Man of the People;Medium;M33080;x
33081;Minister of Security;Guillermo Portela;43;SC;Back Stabber;Medium;M33081;x
33082;Minister of Security;Fulgencio Batista;44;PA;Crooked Kleptocrat;High;M33034;x
33083;Minister of Security;Antonio S. de Bustamente;46;PA;Crime Fighter;Medium;M33083;x
33084;Minister of Security;Sandalio Junco;36;LWR;Prince of Terror;Very Low;M33025;x
33085;Minister of Security;Gabriel de la Campa y Cuffi;44;LWR;Man of the People;Low;M33085;x
33086;Head of Military Intelligence;José Barnet y Vinageras;36;ML;Political Specialist;Medium;M33001;x
33087;Head of Military Intelligence;Juan Valdéz Hilario;40;ML;Logistics Specialist;Medium;M33016;x
33088;Head of Military Intelligence;Rafael Martinez Ortiz;44;ML;Dismal Enigma;Medium;M33088;x
33089;Head of Military Intelligence;Ramon Grau San Martín;36;SD;Political Specialist;Low;M33011;x
33090;Head of Military Intelligence;Carlos Hevia;38;SD;Industrial Specialist;Low;M33015;x
33091;Head of Military Intelligence;Porfirio Franca;40;SC;Dismal Enigma;Medium;M33066;x
33092;Head of Military Intelligence;Federico Laredo Brú;44;PA;Technical Specialist;Medium;M33014;x
33093;Head of Military Intelligence;Juan Valdéz Hilario;46;PA;Logistics Specialist;Medium;M33016;x
33094;Head of Military Intelligence;Antonio G. Holmes;36;LWR;Dismal Enigma;Very Low;M33022;x
33095;Head of Military Intelligence;Fidél Castro;44;LWR;Political Specialist;Very Low;M33095;x
33097;Chief of Staff;Fulgencio Batista;36;SC;School of Mass Combat;Undying;M33097;x
33100;Chief of Staff;Juan Blas Hernandez;36;LWR;School of Manoeuvre;Medium;M33027;x
33101;Chief of Staff;Fidél Castro;44;LWR;School of Mass Combat;Very Low;M33095;x
33103;Chief of Army;Fulgencio Batista;36;SC;Decisive Battle Doctrine;Undying;M33097;x
33106;Chief of Army;Juan Blas Hernandez;36;LWR;Elastic Defence Doctrine;Medium;M33027;x
33107;Chief of Army;Raúl Castro;44;LWR;Static Defence Doctrine;Medium;M33107;x
33109;Chief of Navy;Angel Gonzalez;36;SC;Open Seas Doctrine;Medium;M33109;x
33112;Chief of Navy;Sandalio Junco;36;LWR;Open Seas Doctrine;Medium;M33025;x
33114;Chief of Air Force;Enrique C. Rolas;36;ML;Naval Aviation Doctrine;Medium;M33020;x
33115;Chief of Air Force;Sergio Carbo;44;ML;Vertical Envelopment Doctrine;Medium;M33005;x
33118;Chief of Air Force;Palaez Menendez;44;PA;Air Superiority Doctrine;High;M33118;x
33119;Chief of Air Force;Alvaro P. Quintana;36;LWR;Air Superiority Doctrine;High;M33030;x
33120;Head of Military Intelligence;Gabriel de la Campa y Cuffi;41;LWR;Technical Specialist;Low;M33085;x
33121;Head of Government;Raul Lopez y Castillo;47;SC;Happy Amateur;High;M33121;x
33122;Head of Government;Manuel de Varona Loredo;48;SC;Flamboyant Tough Guy;High;M33122;x
33123;Head of Government;Felix Lanchis Sanchez;50;SC;Political Protege;High;M33123;x
33124;Head of Government;Oscar y Lopez-Martinez;51;SC;Naive Optimist;High;M33124;x
33125;Foreign Minister;Carlos Prio Soccares;47;SC;Ideological Crusader;Medium;M33125;x
33126;Minister of Security;Andres Perez Chaumont;51;SC;Prince of Terror;Medium;M33126;x
