CAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
45159;Head of Military Intelligence;Donald M. Fleming;57;SC;Dismal Enigma;High;M45156;x
45160;Head of Military Intelligence;George Nowlan;63;ML;Technical Specialist;High;M45160;x
45161;Chief of Staff;Guy Simonds;51;ML;School of Manoeuvre;High;L52065;x
45162;Chief of Staff;Howard Graham;55;ML;School of Fire Support;High;M45162;x
45163;Chief of Staff;Geoffrey Walsh;58;SC;School of Mass Combat;High;M45163;x
45164;Chief of Army;Ralph Keefler;52;ML;Guns and Butter Doctrine;High;L52030;x
45165;Chief of Army;Edward Plow;56;ML;Static Defence Doctrine;High;L52054;x
45166;Chief of Army;Clarence Harpell;61;SC;Elastic Defence Doctrine;High;M45166;x
45167;Chief of Navy;Daniel Hanington;57;SC;Open Seas Doctrine;Medium;M45167;x
45168;Chief of Air Force;Lloyd Breadner;41;ML;Army Aviation Doctrine;Medium;M45168;x
45169;Chief of Air Force;Robert Leckie;53;ML;Naval Aviation Doctrine;Medium;M45169;x
