ENG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1162;Minister of Security;Leo Amery;40;SD;Crime Fighter;High;M1162;x
1163;Minister of Armament;Leslie Hore-Belisha;37;SC;Infantry Proponent;Low;M1163;x
1164;Chief of Army;Sir Harold Alexander;44;ML;Decisive Battle Doctrine;High;L1006;x
1165;Chief of Army;Miles Dempsey;44;ML;Armoured Spearhead Doctrine;High;L1099;x
1166;Chief of Staff;Hastings Ismay;45;ML;School of Defence;High;L1176;x
1167;Chief of Army;Lord Archibald Wavell;41;ML;Guns and Butter Doctrine;High;L1311;x
1168;Chief of Air Force;Sir Hugh Dowding;36;ML;Air Superiority Doctrine;Very High;L1435;x
1169;Chief of Air Force;Arthur Harris;41;ML;Carpet Bombing Doctrine;Very High;L1447;x
1170;Chief of Air Force;Sir Trafford Leigh-Mallory;42;ML;Air Superiority Doctrine;High;L1456;x
1171;Chief of Air Force;Sir William Sholto Douglas;44;SL;Air Superiority Doctrine;High;L1479;x
1172;Head of Military Intelligence;Sir Stewart Menzies;39;SC;Political Specialist;High;M1172;x
1173;Minister of Armament;Sir Ernle Chatfield;39;SC;Battle Fleet Proponent;High;M1009;x
1174;Minister of Armament;Sir Thomas Inskip;36;SC;Air Superiority Proponent;Very High;M1174;x
1175;Minister of Armament;Sir Andrew Duncan;40;SC;Resource Industrialist;High;M1175;x
1176;Minister of Armament;Sir John Moore-Brabazon;41;SC;Air Superiority Proponent;Medium;M1176;x
1177;Minister of Armament;Sir Hibbert Cross;39;SC;laissez-faire capitalist;High;M1177;x
1178;Minister of Armament;Alfred Duff Cooper;36;SC;Battle Fleet Proponent;Medium;M1178;x
1179;Minister of Armament;Oliver Stanley;40;SC;Military Entrepreneur;Very High;M1179;x
1180;Minister of Armament;Henry Margesson;40;SC;Resource Industrialist;Very High;M1180;x
1181;Minister of Armament;Sir Percy Grigg;42;SC;laissez-faire capitalist;High;M1181;x
1182;Head of State;Elisabeth II;52;SC;Popular Figurehead;High;M1182;x
1246;Head of State;Elisabeth II;52;SD;Popular Figurehead;High;M1182;x
1184;Minister of Armament;Albert V. Alexander;46;SD;Resource Industrialist;Medium;M1184;x
1185;Minister of Armament;Emanuel Shinwell;50;SD;Theoretical Scientist;Medium;M1185;x
1186;Minister of Armament;Winston Churchill;51;SC;Theoretical Scientist;Medium;M1038;x
1187;Minister of Armament;Sir Harold Alexander;52;SC;Tank Proponent;Medium;L1006;x
1188;Chief of Air Force;Sir Frederick Bowhill;36;ML;Naval Aviation Doctrine;High;L1417;x
1189;Head of State;George VI;36;SD;Benevolent Gentleman;High;M1033;x
1190;Head of State;Elisabeth II;52;SD;Popular Figurehead;High;M1182;x
1191;Head of Government;Anthony Eden;55;SC;Political Protege;High;M1003;x
1192;Head of Government;Harold MacMillan;57;SC;Corporate Suit;High;M1192;x
1193;Head of Government;Alec Douglas-Home;63;SC;Happy Amateur;High;M1193;x
1194;Head of Government;Hugh Gaitskell;54;SD;Naive Optimist;High;M1194;x
1195;Head of Government;Harold Wilson;63;SD;Ambitious Union Boss;High;M1195;x
1196;Foreign Minister;Harold MacMillan;55;SC;Biased Intellectual;Medium;M1192;x
1197;Foreign Minister;Alec Douglas-Home;60;SC;Great Compromiser;Medium;M1193;x
1198;Foreign Minister;Richard A. Butler;63;SC;The Cloak N Dagger Schemer;Medium;M1064;x
1199;Foreign Minister;Alfred Robens;53;SD;Apologetic Clerk;Medium;M1199;x
1200;Foreign Minister;Aneurin Bevan;56;SD;Ideological Crusader;Medium;M1021;x
1201;Foreign Minister;Denis Healey;59;SD;Iron Fisted Brute;Medium;M1201;x
1202;Foreign Minister;Harold Wilson;61;SD;Ideological Crusader;Medium;M1195;x
1203;Foreign Minister;Patrick Gordon Walker;63;SD;Apologetic Clerk;Medium;M1203;x
1204;Minister of Armament;Harold MacMillan;54;SC;Resource Industrialist;Medium;M1192;x
1205;Minister of Armament;Walter Monckton;55;SC;Air Superiority Proponent;Medium;M1205;x
1206;Minister of Armament;Antony Head;56;SC;Submarine Proponent;Medium;M1206;x
1207;Minister of Armament;Duncan Sandys;57;SC;laissez-faire capitalist;Medium;M1207;x
1208;Minister of Armament;Harold Watkinson;59;SC;Infantry Proponent;Medium;M1208;x
1209;Minister of Armament;Peter Thorneycroft;62;SC;Military Entrepreneur;Medium;M1209;x
1210;Minister of Armament;Harold Wilson;59;SD;Administrative Genius;Medium;M1195;x
1211;Minister of Armament;Denis Healey;61;SD;Resource Industrialist;Medium;M1201;x
1212;Minister of Security;Gwilym Lloyd-George;54;SC;Prince of Terror;High;M1212;x
1213;Minister of Security;Richard A. Butler;57;SC;Back Stabber;High;M1064;x
1214;Minister of Security;Henry Brooke;62;SC;Efficient Sociopath;High;M1214;x
1215;Minister of Security;Patrick Gordon Walker;56;SD;Silent Lawyer;High;M1203;x
1216;Minister of Security;Frank Pakenham;61;SD;Man of the People;High;M1216;x
1217;Head of Military Intelligence;Antony Head;51;SC;Industrial Specialist;High;M1206;x
1218;Head of Military Intelligence;John Hugh Hare;57;SC;Naval Intelligence Specialist;High;M1218;x
1219;Head of Military Intelligence;Christopher Soames;58;SC;Political Specialist;High;M1219;x
1220;Head of Military Intelligence;John Profumo;60;SC;Dismal Enigma;High;M1220;x
1221;Head of Military Intelligence;James Ramsden;63;SC;Technical Specialist;High;M1221;x
1222;Head of Military Intelligence;James Callaghan;52;SD;Industrial Specialist;Very High;M1222;x
1224;Chief of Staff;Sir William Slim;48;ML;School of Psychology;Medium;L1281;x
1225;Chief of Staff;Sir John Harding;52;ML;School of Manoeuvre;Medium;L1153;x
1226;Chief of Staff;Sir Gerald Templer;55;ML;School of Mass Combat;Medium;L1294;x
1227;Chief of Staff;Sir Francis Festing;58;ML;School of Defence;Medium;L1120;x
1228;Chief of Staff;Sir Richard Amyatt-Hull;61;ML;School of Fire Support;Medium;L1009;x
1229;Chief of Army;Sir William Slim;48;ML;Elastic Defence Doctrine;Medium;L1281;x
1230;Chief of Army;Sir John Harding;52;ML;Decisive Battle Doctrine;Medium;L1153;x
1231;Chief of Army;Sir Gerald Templer;55;ML;Guns and Butter Doctrine;Medium;L1294;x
1232;Chief of Army;Sir Francis Festing;58;ML;Static Defence Doctrine;Medium;L1120;x
1233;Chief of Army;Sir Richard Amyatt-Hull;61;ML;Armoured Spearhead Doctrine;Medium;L1009;x
1234;Chief of Navy;Sir R.B. Bruce-Fraser;48;ML;Base Control Doctrine;Very High;L1328;x
1235;Chief of Navy;Sir Rhoderick McGrigor;51;ML;Power Projection Doctrine;Very High;M1235;x
1236;Chief of Navy;Francis Earl Mountbatten;55;ML;Decisive Naval Battle Doctrine;Very High;M1236;x
1237;Chief of Navy;Sir David Luce;60;ML;Indirect Approach Doctrine;Very High;M1237;x
1239;Chief of Air Force;Sir John Slessor;48;ML;Air Superiority Doctrine;High;L1480;x
1240;Chief of Air Force;Sir William Dickson;53;ML;Carpet Bombing Doctrine;High;M1240;x
1241;Chief of Air Force;Sir Dermot Boyle;56;ML;Vertical Envelopment Doctrine;High;M1241;x
1242;Chief of Air Force;Sir Thomas Pike;59;ML;Naval Aviation Doctrine;High;M1242;x
1243;Chief of Air Force;Sir Charles Elworthy;63;ML;Army Aviation Doctrine;High;M1243;x
