GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
100;Minister of Armament;Albert Speer;42;PA;Administrative Genius;Medium;M43;x
101;Minister of Armament;Johannes Popitz;43;PA;Resource Industrialist;Very High;M101;x
102;Minister of Armament;Claus von Stauffenberg;44;PA;Infantry Proponent;High;M102;x
103;Minister of Armament;Fritz Schäffer;46;SC;Resource Industrialist;Very High;M103;x
104;Minister of Armament;Ludwig Erhard;47;SC;Administrative Genius;Very High;M104;x
105;Minister of Armament;Albert Kuntz;36;ST;Resource Industrialist;High;M105;x
106;Minister of Armament;Willie Munzenberg;42;ST;Administrative Genius;High;M24;x
108;Minister of Security;Heinrich Himmler;38;NS;Prince of Terror;Very High;M108;x
109;Minister of Security;Viktor Lutze;39;NS;Compassionate Gentleman;Very High;M109;x
110;Minister of Security;Joseph Goebbels;42;NS;Man of the People;Very High;M56;x
111;Minister of Security;Heinrich Müller;43;NS;Prince of Terror;Very Low;M26;x
112;Minister of Security;Arthur Seyss-Inquart;43;NS;Silent Lawyer;Very High;M58;x
113;Minister of Security;Karl Hanke;44;NS;Back Stabber;Very Low;M113;x
114;Minister of Security;Otto Georg Thierack;42;NS;Crime Fighter;Very High;M114;x
115;Minister of Security;Franz von Papen;46;NS;Compassionate Gentleman;Very High;M47;x
116;Minister of Security;Ernst Trendelenburg;36;PA;Compassionate Gentleman;Medium;M116;x
117;Minister of Security;Alfred Hugenberg;36;PA;Compassionate Gentleman;Medium;M117;x
118;Minister of Security;Heinrich Müller;39;PA;Efficient Sociopath;Very Low;M26;x
119;Minister of Security;Arthur Nebe;42;FA;Crime Fighter;Low;M119;x
120;Minister of Security;Arthur Axmann;45;FA;Man of the People;Low;M120;x
121;Minister of Security;Johann von Bernstorff;36;PA;Back Stabber;Medium;M121;x
122;Minister of Security;Karl Sack;36;PA;Silent Lawyer;Medium;M122;x
123;Minister of Security;Wilhelm von Gayl;38;PA;Prince of Terror;High;M15;x
124;Minister of Security;Walter Schellenberg;39;PA;Efficient Sociopath;Low;M124;x
125;Minister of Security;Josef Wirmer;42;PA;Man of the People;Medium;M125;x
126;Minister of Security;Fritz von Schulenburg;42;PA;Compassionate Gentleman;Very High;M126;x
127;Minister of Security;Henning von Tresckow;44;PA;Crime Fighter;Low;M127;x
128;Minister of Security;Franz von Papen;45;PA;Compassionate Gentleman;Very High;M47;x
129;Minister of Security;Karl Arnold;46;SC;Crime Fighter;High;M129;x
130;Minister of Security;Gustav Heinemann;47;SC;Man of the People;High;M130;x
131;Minister of Security;Ernst Toller;36;ST;Man of the People;Low;M25;x
132;Minister of Security;Ludwig Renn;39;ST;Efficient Sociopath;Very High;M21;x
133;Minister of Security;Julius Leber;42;ST;Compassionate Gentleman;High;M133;x
134;Minister of Security;Walter Ulbricht;44;ST;Prince of Terror;High;M53;x
136;Head of Military Intelligence;Hans-Georg von Friedeburg;42;NS;Naval Intelligence Specialist;Medium;M93;x
137;Head of Military Intelligence;Wilhelm Frick;44;NS;Technical Specialist;High;M5;x
138;Head of Military Intelligence;Ernst Kaltenbrunner;44;NS;Logistics Specialist;High;M138;x
139;Head of Military Intelligence;Martin Bormann;44;NS;Political Specialist;High;M42;x
140;Head of Military Intelligence;Hjalmar Schacht;45;NS;Industrial Specialist;Medium;M14;x
141;Head of Military Intelligence;Oskar von Hindenburg;36;PA;Political Specialist;Medium;M33;x
142;Head of Military Intelligence;Walter Schellenberg;40;FA;Dismal Enigma;Low;M124;x
143;Head of Military Intelligence;Baldur von Schirach;44;FA;Logistics Specialist;Low;M143;x
144;Head of Military Intelligence;Carl von Schubert;36;PA;Logistics Specialist;High;M144;x
145;Head of Military Intelligence;Otto Strasser;38;PA;Political Specialist;High;M145;x
146;Head of Military Intelligence;Hans Oster;39;PA;Industrial Specialist;High;M146;x
147;Head of Military Intelligence;Georg Hansen;40;PA;Technical Specialist;Medium;M147;x
148;Head of Military Intelligence;Wilhelm Canaris;44;PA;Dismal Enigma;High;M6;x
149;Head of Military Intelligence;Hans Ehard;46;SC;Political Specialist;High;M149;x
150;Head of Military Intelligence;Reinhard Gehlen;47;SC;Dismal Enigma;High;M150;x
151;Head of Military Intelligence;Ernst Thälmann;36;ST;Industrial Specialist;High;M22;x
152;Head of Military Intelligence;Erich Weinert;38;ST;Logistics Specialist;High;M152;x
153;Head of Military Intelligence;Heinrich Müller;43;ST;Political Specialist;Very High;M26;x
155;Chief of Staff;Franz Halder;38;FA;School of Fire Support;Medium;M155;x
156;Chief of Staff;Alfred Jodl;39;NS;School of Psychology;High;M156;x
157;Chief of Staff;Heinz Guderian;44;PA;School of Mass Combat;Medium;M157;x
158;Chief of Staff;Hans Krebs;45;NS;School of Defence;Medium;M158;x
159;Chief of Staff;Fritz Bayerlein;36;PA;School of Psychology;High;M159;x
160;Chief of Staff;Erich Hoepner;37;FA;School of Fire Support;Medium;M18;x
162;Chief of Staff;Erwin von Witzleben;41;PA;School of Fire Support;High;M17;x
163;Chief of Staff;Kurt Zeitzler;42;FA;School of Defence;Medium;M163;x
165;Chief of Staff;Erwin Rommel;43;PA;School of Manoeuvre;High;M165;x
166;Chief of Staff;Wilhelm Groener;36;PA;School of Defence;Medium;M166;x
168;Chief of Staff;Adolf Heusinger;42;PA;School of Mass Combat;Low;M168;x
169;Chief of Staff;Julius Ringel;44;PA;School of Manoeuvre;Medium;M169;x
170;Chief of Staff;Hans Speidel;46;SC;School of Mass Combat;High;M170;x
171;Chief of Staff;Ernst Wollweber;36;ST;School of Mass Combat;Very High;M27;x
172;Chief of Staff;Erich Weinert;44;ST;School of Psychology;High;M152;x
174;Chief of Army;Walther von Brauchitsch;38;FA;Armoured Spearhead Doctrine;High;M174;x
175;Chief of Army;Kurt von Hammerstein-Equord;39;FA;Guns and Butter Doctrine;High;M175;x
176;Chief of Army;Wilhelm Keitel;40;NS;Armoured Spearhead Doctrine;Very High;M176;x
177;Chief of Army;Adolf Hitler;42;NS;Decisive Battle Doctrine;Very High;M1;x
178;Chief of Army;Ferdinand Schörner;45;NS;Elastic Defence Doctrine;Very High;M178;x
179;Chief of Army;Erich Ludendorff;36;PA;Elastic Defence Doctrine;High;M179;x
180;Chief of Army;Werner von Blomberg;37;NS;Guns and Butter Doctrine;High;M4;x
182;Chief of Army;Fedor von Bock;39;FA;Decisive Battle Doctrine;High;M182;x
183;Chief of Army;Erich Hoepner;42;FA;Armoured Spearhead Doctrine;High;M18;x
184;Chief of Army;Erwin von Witzleben;43;PA;Static Defence Doctrine;High;M17;x
185;Chief of Army;Walter von Lüttwitz;36;PA;Decisive Battle Doctrine;Low;M185;x
187;Chief of Army;Julius Ringel;42;PA;Guns and Butter Doctrine;Medium;M169;x
188;Chief of Army;Theodor Blank;46;SC;Armoured Spearhead Doctrine;High;M188;x
189;Chief of Army;Hans Speidel;47;SC;Decisive Battle Doctrine;High;M170;x
190;Chief of Army;Hans Kahle;36;ST;Decisive Battle Doctrine;Very High;M28;x
192;Chief of Navy;Karl Dönitz;39;NS;Indirect Approach Doctrine;Very High;M32;x
193;Chief of Navy;Hans-Georg von Friedeburg;44;NS;Open Seas Doctrine;Medium;M93;x
194;Chief of Navy;Kurt Freiwald;45;NS;Base Control Doctrine;Medium;M194;x
195;Chief of Navy;Alfred Saalwächter;36;FA;Open Seas Doctrine;High;M195;x
197;Chief of Navy;Ludwig Fulda;36;PA;Decisive Naval Battle Doctrine;Medium;M45;x
198;Chief of Navy;Conrad Albrecht;39;PA;Open Seas Doctrine;Medium;M198;x
199;Chief of Navy;Gustav Kieseritzky;40;PA;Base Control Doctrine;Medium;M199;x
200;Chief of Navy;Erich Bey;46;SC;Open Seas Doctrine;High;M200;x
201;Chief of Navy;Fritz Scheelen;36;ST;Base Control Doctrine;Very High;M29;x
203;Chief of Air Force;Hugo Sperrle;39;NS;Carpet Bombing Doctrine;High;M203;x
204;Chief of Air Force;Robert Ritter von Greim;44;NS;Air Superiority Doctrine;Medium;M204;x
205;Chief of Air Force;Karl Koller;36;FA;Army Aviation Doctrine;Medium;M205;x
206;Chief of Air Force;Eberhard Milch;42;FA;Air Superiority Doctrine;Medium;M206;x
207;Chief of Air Force;Albert Kesselring;44;FA;Vertical Envelopment Doctrine;High;M207;x
208;Chief of Air Force;Carl Friedrich von Siemens;36;PA;Air Superiority Doctrine;High;M208;x
209;Chief of Air Force;Ernst Udet;40;PA;Army Aviation Doctrine;High;M20;x
210;Chief of Air Force;Wilhelm Oxenius;45;PA;Naval Aviation Doctrine;Medium;M210;x
23;Foreign Minister;Helmet Herzfelde;36;ST;Ideological Crusader;High;M23;x
214;Head of Government;Franz Xaver Ritter von Epp;36;NS;Old General;Very High;M214;x
216;Head of Government;Hans Heinrich Lammers;37;NS;Political Protege;Very High;M216;x
217;Head of Government;Friedrich Wilhelm Kritzinger;45;NS;Naive Optimist;Very High;M217;x
219;Minister of Armament;Franz Xaver Ritter von Epp;36;NS;Infantry Proponent;Very High;M214;x
220;Minister of Armament;Franz Seldte;36;NS;Military Entrepreneur;Very High;M220;x
221;Minister of Armament;Konstantin Hierl;36;NS;Resource Industrialist;Very High;M221;x
222;Minister of Armament;Xaver Dorsch;44;FA;Air Superiority Proponent;Very High;M222;x
223;Minister of Security;Franz Gürtner;36;FA;Silent Lawyer;Medium;M223;x
224;Minister of Security;Kurt Daluege;36;NS;Prince of Terror;Very High;M82;x
226;Minister of Security;Walter Buch;37;NS;Man of the People;High;M226;x
227;Minister of Security;Hans Frank;41;FA;Compassionate Gentleman;Medium;M227;x
228;Minister of Security;Roland Freisler;42;NS;Crime Fighter;Very High;M228;x
229;Chief of Staff;Erich von Manstein;42;PA;School of Manoeuvre;Medium;L324;x
230;Chief of Staff;Ernst Busch;45;NS;School of Fire Support;High;L33;x
231;Chief of Army;Günther von Kluge;42;PA;Decisive Battle Doctrine;Medium;L311;x
232;Chief of Army;Paul Hausser;44;NS;Armoured Spearhead Doctrine;Very High;L503;x
233;Chief of Navy;Wilhelm Marschall;41;NS;Open Seas Doctrine;High;L407;x
234;Chief of Navy;Walter Warzecha;42;PA;Indirect Approach Doctrine;Medium;L891;x
235;Chief of Air Force;Otto Dessloch;39;NS;Army Aviation Doctrine;High;L434;x
236;Chief of Air Force;Ulrich Grauert;36;FA;Air Superiority Doctrine;High;L439;x
237;Chief of Air Force;Hans-Jürgen Stumpff;44;NS;Army Aviation Doctrine;Very High;L471;x
238;Chief of Staff;Walther von Reichenau;41;NS;School of Fire Support;Very High;L334;x
239;Head of Military Intelligence;Ernst Wollweber;36;ST;Industrial Specialist;Very High;M27;x
240;Minister of Armament;Karl Dönitz;44;NS;Submarine Proponent;Very High;M32;x
241;Minister of Armament;Lutz von Schwerin-Krosigk;45;NS;Resource Industrialist;High;M241;x
242;Minister of Security;Paul Giesler;45;NS;Efficient Sociopath;Very High;M242;x
243;Minister of Security;Werner Naumann;45;NS;Compassionate Gentleman;Very High;M243;x
244;Minister of Security;Reinhard Heydrich;36;NS;Prince of Terror;Very High;M244;x
253;Minister of Armament;Alfred Hugenberg;36;PA;Resource Industrialist;High;M117;x
254;Minister of Security;Helmuth von Moltke;39;SC;Compassionate Gentleman;High;M246;x
247;Head of Military Intelligence;Hans Gisevius;39;SC;Dismal Enigma;Medium;M247;x
248;Minister of Security;Hans Dohnanyi;36;SC;Silent Lawyer;Medium;M248;x
249;Head of Military Intelligence;Hans Dohnanyi;36;SC;Political Specialist;Medium;M248;x
250;Minister of Security;Rudolf Diels;36;PA;Crime Fighter;Medium;M250;x
251;Minister of Armament;Gustav Krupp;36;FA;Tank Proponent;High;M251;x
252;Minister of Armament;Fritz Saukel;42;NS;Infantry Proponent;High;M252;x
255;Chief of Air Force;Hans Ulrich Rudel;49;FA;Air Superiority Doctrine;Medium;L464;x
