PAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
95092;Head of Government;Domingo Diaz Arosemena;48;SC;Silent Workhorse;High;M95091;x
95093;Minister of Security;Henrique de Obarrio;48;SC;Back Stabber;Medium;M95093;x
95094;Head of State;Daniel C. Pinzon;49;ML;Benevolent Gentleman;High;M95004;x
95095;Head of Government;Alciabides Arosemena;49;ML;Corporate Suit;High;M95095;x
95096;Head of State;Alciabides Arosemena;51;SC;Insignificant Layman;High;M95095;x
95097;Head of Government;Juan Remón;51;SC;Old General;High;M95007;x
95098;Foreign Minister;Pietro del Oramio;51;SC;Biased Intellectual;High;M95098;x
95099;Head of State;Juan Remón;52;SC;Resigned Generalissimo;High;M95007;x
95100;Minister of Security;Ernesto de la Guardia;52;SC;Compassionate Gentleman;Medium;M95100;x
95101;Chief of Staff;Henrique de Obarrio;52;SC;School of Mass Combat;Medium;M95093;x
