GUA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
46061;Head of Military Intelligence;Guillermo Flores Arendano;37;PA;Dismal Enigma;Medium;M46004;x
46062;Head of Military Intelligence;Manuel Arroyo;44;PA;Naval Intelligence Specialist;Medium;M46031;x
46063;Chief of Staff;Carlos Diaz de Leon;45;SD;School of Manoeuvre;Medium;M46063;x
46064;Chief of Staff;Manuel Orellana;44;LWR;School of Defence;Medium;M46012;x
46066;Chief of Staff;Jorge Ubico Castaneda;37;PA;School of Mass Combat;High;M46001;x
46067;Chief of Army;Jacopo Arbenz Guzman;44;LWR;Decisive Battle Doctrine;Medium;M46021;x
46068;Chief of Army;Carlos Diaz de Leon;45;SD;Armoured Spearhead Doctrine;Medium;M46063;x
46069;Chief of Army;Manuel Orellana;45;SL;Static Defence Doctrine;Medium;M46012;x
46070;Chief of Army;R. Buenaventure Pineda;45;SC;Guns and Butter Doctrine;Medium;M46010;x
46071;Chief of Army;Federico Ponce Vaides;37;PA;Decisive Battle Doctrine;Medium;M46007;x
46072;Chief of Navy;Tomas Mendoza Urribe;45;SD;Indirect Approach Doctrine;Medium;M46009;x
46073;Chief of Navy;Jorge Torriello Garrido;44;LWR;Power Projection Doctrine;High;M46011;x
46074;Chief of Navy;José Ezuira Abel;45;SC;Open Seas Doctrine;Medium;M46019;x
46076;Chief of Air Force;Francisco Javier Arana;44;LWR;Vertical Envelopment Doctrine;Very High;M46027;x
46077;Chief of Air Force;W. Tesch Orlando;45;SD;Air Superiority Doctrine;Medium;M46077;x
46079;Chief of Air Force;Miguel Garcia Granados;45;SC;Carpet Bombing Doctrine;Medium;M46079;x
46081;Chief of Staff;M. Ydigaras Fuentes;44;PA;School of Psychology;Medium;M46018;x
46082;Head of Government;Federico Ponce Vaides;44;PA;Old General;Very High;M46007;x
