SYR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
528048;Chief of Staff;Shaykh Muhammed al-Gawzi;36;SC;School of Fire Support;Medium;M528024;x
528049;Chief of Army;Fawzi al-Quawugji;36;PA;Static Defence Doctrine;Medium;M528049;x
528050;Chief of Army;Georges Catroux;41;SL;Decisive Battle Doctrine;Medium;L24029;x
528051;Chief of Army;Adib al-Shishakli;45;SL;Guns and Butter Doctrine;Medium;M528051;x
528052;Chief of Army;Bernard Duperier;36;SC;Elastic Defence Doctrine;Medium;M528052;x
528053;Chief of Navy;Shaykh Muhammed al-Gawzi;36;PA;Base Control Doctrine;Medium;M528024;x
528054;Chief of Navy;Omar Abrash;45;SL;Open Seas Doctrine;Medium;M528054;x
528055;Chief of Navy;Yves Morandat;36;SC;Decisive Naval Battle Doctrine;Medium;M528005;x
528056;Chief of Air Force;Hussein al-Zaim;36;PA;Air Superiority Doctrine;Medium;M528047;x
528057;Chief of Air Force;Henri Amiel;45;SL;Army Aviation Doctrine;Medium;M528007;x
528058;Chief of Air Force;Henri Amiel;36;SC;Vertical Envelopment Doctrine;Medium;M528007;x
528059;Minister of Armament;Amir Mustafa al-Shihabi;40;PA;laissez-faire capitalist;High;M528059;x
528060;Head of State;Hussein al-Zaim;49;SL;Resigned Generalissimo;High;M528047;x
528061;Head of State;Fawzi as Silu;51;SL;Barking Buffoon;High;M528061;x
528062;Head of State;Adib al-Shishakli;53;SL;Powerhungry Demagogue;High;M528051;x
528063;Head of Government;Khalid al Azm;48;SL;Flamboyant Tough Guy;High;M528063;x
528064;Head of Government;Hussein al-Zaim;49;SL;Old General;High;M528047;x
528065;Head of Government;Muhsin al Barazi;49;SL;Silent Workhorse;High;M528065;x
528066;Head of Government;Hassim al-Atassi;49;SL;Happy Amateur;High;M528012;x
528067;Head of Government;Nazim al Kudsi;50;SL;Ambitious Union Boss;High;M528067;x
528068;Head of Government;Hassan al Hakim;51;SL;Smiling Oilman;High;M528068;x
528069;Head of Government;Fawzi as Silu;51;SL;Old General;High;M528061;x
528070;Head of Government;Adib al-Shishakli;53;SL;Corporate Suit;High;M528051;x
528071;Chief of Staff;Fawzi as Silu;49;SL;School of Defence;Medium;M528061;x
528072;Minister of Armament;Khalid al Azm;46;SL;Resource Industrialist;Medium;M528063;x
528073;Foreign Minister;Muhsin al Barazi;39;SL;Apologetic Clerk;High;M528065;x
528074;Minister of Security;Nazim al Kudsi;43;SL;Silent Lawyer;Medium;M528067;x
528075;Minister of Armament;Hassan al Hakim;49;SL;Air to Ground Proponent;Medium;M528068;x
528076;Head of Military Intelligence;Sami Hinnawi;44;SL;Logistics Specialist;Medium;M528076;x
528077;Chief of Air Force;Khaleed al Razi;49;SL;Carpet Bombing Doctrine;Medium;M528077;x
