SWE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
7059;Minister of Security;Gustav Andersson-Rasjön;40;SL;Compassionate Gentleman;Medium;M7059;x
7060;Minister of Security;Axel T. Ädelsvärd;36;SL;Silent Lawyer;Very High;M7060;x
7061;Minister of Security;Anders Lindstedt;37;SD;Compassionate Gentleman;Very High;M7061;x
7063;Minister of Security;Peter G.A. Wijkman;38;ML;Back Stabber;Very High;M7063;x
7064;Minister of Security;Richard J. Sandler;39;SD;Prince of Terror;Very High;M7038;x
7065;Minister of Security;K.G. Westman;40;SL;Crime Fighter;Very High;M7003;x
7066;Minister of Security;Arvid G. Richert;40;SD;Man of the People;Very High;M7066;x
7068;Head of Military Intelligence;Helge Jung;42;SC;Political Specialist;Low;M7006;x
7069;Head of Military Intelligence;Erik Palmstierna;39;SC;Naval Intelligence Specialist;Medium;M7050;x
7070;Head of Military Intelligence;Åke Hammerskiöld;41;SL;Dismal Enigma;High;M7070;x
7072;Chief of Staff;Olof Thörnell;37;SC;School of Fire Support;Very High;M7072;x
7073;Chief of Staff;Axel Rappe;40;SC;school of manoeuvre;Low;M7073;x
7074;Chief of Staff;Samuel Åkerhielm;41;ML;School of Mass Combat;Medium;M7074;x
7075;Chief of Staff;Axel Bredberg;42;ML;School of Psychology;High;M7075;x
7076;Chief of Staff;Carl Gustav Ehrensvärd;44;SC;School of Manoeuvre;Medium;M7076;x
7077;Chief of Staff;Nils Swedlund;46;ML;School of Psychology;Very High;M7077;x
7079;Chief of Army;Per Sylvan;37;SC;Static Defence Doctrine;Medium;M7079;x
7080;Chief of Army;Olof Thörnell;40;SC;Guns and Butter Doctrine;Very High;M7072;x
7081;Chief of Army;Helge Jung;43;SD;Armoured Spearhead Doctrine;Medium;M7006;x
7082;Chief of Army;Archibald Douglas;43;PA;Decisive Battle Doctrine;Medium;M7017;x
7083;Chief of Army;Axel Rappe;43;SC;Elastic Defence Doctrine;Very Low;M7073;x
7084;Chief of Army;Bengt Nordenskiöld;43;SD;Decisive Battle Doctrine;Low;M7070;x
7085;Chief of Army;Axel Bredberg;43;SL;Static Defence Doctrine;High;M7075;x
7086;Chief of Navy;Erik Palmstierna;36;SD;Base Control Doctrine;Medium;M7050;x
7087;Chief of Navy;Gösta Ehrensvärd;42;ML;Decisive Naval Battle Doctrine;Medium;M7087;x
7088;Chief of Navy;Fabian Tamm;44;SC;Open Seas Doctrine;High;M7088;x
7089;Chief of Navy;Helge Strömbäck;45;SL;Indirect Approach Doctrine;High;M7089;x
7091;Chief of Air Force;Bengt Nordenskiöld;42;ML;Air Superiority Doctrine;High;M7070;x
7092;Chief of Air Force;Axel Ljungdahl;44;SL;Vertical Envelopment Doctrine;Very High;M7092;x
7011;Head of State;Martin Ekström;36;NS;Powerhungry Demagogue;High;M7011;x
7012;Head of Government;Martin Ekström;36;NS;Naive Optimist;High;M7011;x
7013;Foreign Minister;Erik von Rosen;36;NS;Ideological Crusader;Very High;M7013;x
7014;Minister of Armament;Arthur Lindén;36;NS;Laissez-Faire Capitalist;Medium;M7014;x
7015;Minister of Security;Sven Hedín;36;FA;Back Stabber;Very High;M7015;x
7016;Head of Military Intelligence;Hermann Nilsson-Ehle;36;NS;Technical Specialist;Very High;M7016;x
7017;Chief of Staff;Archibald Douglas;36;NS;School of Manoeuvre;High;M7017;x
7018;Chief of Army;Martin Ekström;36;NS;Decisive Battle Doctrine;Very High;M7011;x
7019;Chief of Navy;Charles de Champs;36;FA;Decisive Naval Battle Doctrine;Very High;M7009;x
7020;Chief of Air Force;Axel Gyllenkrok;36;PA;Army Aviation Doctrine;Low;M7020;x
7021;Head of State;Sven Linderot;36;ST;Insignificant Layman;High;M7021;x
7022;Head of Government;Sven Linderot;36;ST;Happy Amateur;High;M7021;x
7023;Foreign Minister;Hugo Sellén;36;ST;Ideological Crusader;Very High;M7023;x
7024;Minister of Armament;Hilding Hagberg;36;ST;Resource Industrialist;Very High;M7024;x
7025;Minister of Security;Karl Kilbom;36;LE;Crime Fighter;High;M7025;x
7026;Head of Military Intelligence;C.H. Hermansson;36;ST;Naval Intelligence Specialist;High;M7026;x
7027;Chief of Staff;Gunnar Johansson;36;ST;School of Mass Combat;Very High;unknown;x
7028;Chief of Army;Axel Pettersson;36;ST;Decisive Battle Doctrine;Very High;unknown;x
7029;Chief of Navy;Per M. Eriksson;36;ST;Decisive Naval Battle Doctrine;Very High;unknown;x
7030;Chief of Air Force;Krister Reuterswärd;36;LWR;Army Aviation Doctrine;Low;unknown;x
7093;Head of State;Gustav VI Adolf;50;SD;Benevolent Gentleman;High;M7093;x
7094;Minister of Armament;Per Edvin Sköld;49;SD;Infantry Proponent;High;M7041;x
7095;Head of State;Gustav VI Adolf;50;ML;Benevolent Gentleman;High;M7093;x
