HON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79076;Minister of Security;Augustin Espinoza Reyes;41;SD;Back Stabber;Medium;M79024;x
79077;Minister of Security;Jaime Herda Garcia;45;SD;Efficient Sociopath;Medium;M79070;x
79078;Minister of Security;Carlos Molina Dejonje;46;SD;Man of the People;Medium;M79069;x
79079;Head of Military Intelligence;Roberto Ortíz Almendares;37;SC;Dismal Enigma;Medium;M79015;x
79080;Head of Military Intelligence;Tiburcio Carias Andina;41;SC;Political Specialist;Medium;M79001;x
79081;Head of Military Intelligence;José Zuñiga Huete;37;SL;Naval Intelligence Specialist;High;M79032;x
79082;Head of Military Intelligence;Julio Lozano Díaz;41;SL;Dismal Enigma;High;M79042;x
79083;Head of Military Intelligence;Hernan Fernandez Silva;45;SL;Industrial Specialist;High;M79043;x
79084;Head of Military Intelligence;Vicente Tapia Lobo;37;LWR;Naval Intelligence Specialist;Medium;M79026;x
79085;Head of Military Intelligence;Enrique Doll Rojas;41;LWR;Technical Specialist;Medium;M79027;x
79086;Head of Military Intelligence;Raul Sanchez Banados;45;SD;Industrial Specialist;Medium;M79021;x
79088;Chief of Staff;Raimundo Stochler Garcia;41;SC;School of Defence;Very High;M79006;x
79089;Chief of Staff;Oswaldo López Arellano;37;SL;School of Manoeuvre;Medium;M79064;x
79090;Chief of Staff;Enrique Ortiz Pinel;45;SL;School of Fire Support;Medium;M79090;x
79091;Chief of Staff;Enrique Doll Rojas;37;LWR;School of Psychology;Medium;M79027;x
79092;Chief of Staff;Vicente Tapia Lobo;41;LWR;School of Manoeuvre;Medium;M79026;x
79094;Chief of Army;Juan Manuel Galvez;37;SC;Armoured Spearhead Doctrine;Medium;M79017;x
79095;Chief of Army;José Zuñiga Huete;37;SL;Decisive Battle Doctrine;High;M79032;x
79096;Chief of Army;Enrique Ortiz Pinel;41;SL;Armoured Spearhead Doctrine;Medium;M79090;x
79097;Chief of Army;Enrique Doll Rojas;37;LWR;Static Defence Doctrine;Medium;M79027;x
79098;Chief of Army;Francisco S. Tapio Toro;45;SD;Armoured Spearhead Doctrine;High;M79045;x
79100;Chief of Navy;Oswaldo López Arellano;37;SL;Decisive Naval Battle Doctrine;Medium;M79064;x
79101;Chief of Navy;Vicente Tapia Lobo;37;LWR;Decisive Naval Battle Doctrine;Medium;M79026;x
79102;Chief of Air Force;Didier Masson;37;SC;Air Superiority Doctrine;Medium;M79059;x
79106;Chief of Air Force;Miguel Ángel Sevilla;45;SD;Naval Aviation Doctrine;Medium;M79106;x
79107;Chief of Navy;Francisco S. Tapio Toro;45;SD;Base Control Doctrine;High;M79045;x
79108;Foreign Minister;Antonio Bermúdez Meza;36;PA;Ideological Crusader;High;M79108;x
79017;Chief of Staff;Juan Manuel Galvez;36;SC;School of Manoeuvre;Medium;M79017;x
79019;Chief of Navy;Carlos Vaupel Comeza;36;SC;Indirect Approach Doctrine;Medium;M79009;x
79029;Chief of Navy;Carlos Vaupel Comeza;36;LWR;Indirect Approach Doctrine;Medium;M79009;x
79109;Head of State;Juan Manuel Galvez;49;SC;Resigned Generalissimo;High;M79017;x
79110;Head of Government;Hernan Fernandez Silva;49;SC;Corporate Suit;High;M79043;x
