COS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
47068;Minister of Armament;Calufa Fallas Sinaja;47;SD;Submarine Proponent;High;M47068;x
47070;Minister of Armament;Chico Orlich Bolmarich;40;SL;Tank Proponent;High;M47058;x
47071;Minister of Armament;Roberto Brenes Mesen;44;SL;Infantry Proponent;Medium;M47056;x
47072;Minister of Armament;Tobias Zúñiaga Montúfar;47;SL;Air to Ground Proponent;High;M47033;x
47073;Minister of Armament;Juan Cortes Castro;36;SC;laissez-faire capitalist;Medium;M47073;x
47074;Minister of Armament;Otto Cortes Fernandez;38;SC;Administrative Genius;High;M47035;x
47075;Minister of Armament;Tobias Picado Cortes;41;SC;Battle Fleet Proponent;Very High;M47075;x
47076;Minister of Armament;Ignacio Mendéz Alino;36;PA;Corrupt Kleptocrat;High;M47014;x
47077;Minister of Armament;Luís Fernandéz Rodríguez;40;LE;Air to Ground Proponent;Medium;M47024;x
47078;Minister of Armament;Ignacio Mendéz Alino;47;LWR;Corrupt Kleptocrat;High;M47014;x
47079;Minister of Security;Calufa Fallas Sinaja;44;SD;Silent Lawyer;Medium;M47068;x
47080;Minister of Security;Jose Figueres Ferrer;47;SD;Man of the People;High;M47041;x
47082;Minister of Security;Isalino de Silva Londres;40;SL;Crime Fighter;Low;M47040;x
47083;Minister of Security;Tobias Zúñiaga Montúfar;44;SL;Silent Lawyer;High;M47033;x
47084;Minister of Security;Alejandro de Castro Lopez;47;SL;Man of the People;High;M47034;x
47085;Minister of Security;Adolfo Urribe Castro;36;SC;Compassionate Gentleman;Medium;M47044;x
47087;Minister of Security;Tobias Picado Cortes;46;SC;Prince of Terror;Very High;M47075;x
47088;Minister of Security;Alberto Marten Chavarria;36;PA;Crooked Kleptocrat;Very Low;M47015;x
47089;Minister of Security;Isalino de Silva Londres;40;LWR;Crime Fighter;Low;M47040;x
47090;Minister of Security;Carmen Lyra;47;LWR;Prince of Terror;Low;M47025;x
47091;Head of Military Intelligence;Jose Figueres Ferrer;44;SD;Political Specialist;Medium;M47041;x
47092;Head of Military Intelligence;Romualdo Jímenez Oreamurio;36;SL;Technical Specialist;High;M47001;x
47093;Head of Military Intelligence;Raúl Gundían;36;SL;Dismal Enigma;Medium;M47003;x
47094;Head of Military Intelligence;Enrique Díaz Toledo;44;SL;Logistics Specialist;Medium;M47066;x
47095;Head of Military Intelligence;Tobias Zúñiaga Montúfar;47;SL;Political Specialist;High;M47033;x
47096;Head of Military Intelligence;Benjamin Nuñez Vargas;36;SC;Logistics Specialist;High;M47096;x
47098;Head of Military Intelligence;Romualdo Pino Roja;46;SC;Dismal Enigma;Low;M47011;x
47099;Head of Military Intelligence;José Mendéz Alino;36;PA;Industrial Specialist;Medium;M47016;x
47100;Head of Military Intelligence;Hugo Montés Ramirez;40;LE;Logistics Specialist;Medium;M47100;x
47101;Head of Military Intelligence;Miguel Ramirez Alcantara;47;LWR;Dismal Enigma;Medium;M47026;x
47102;Chief of Staff;Felipe Abreu Castro;45;SD;School of Fire Support;High;M47102;x
47103;Chief of Staff;Jose Figueres Ferrer;47;SD;School of Mass Combat;High;M47103;x
47105;Chief of Staff;Alejandro de Castro Lopez;47;SL;School of Mass Combat;High;M47034;x
47107;Chief of Staff;Jorge Volio Jimenéz;44;SC;School of Manoeuvre;Medium;M47107;x
47109;Chief of Staff;Hugo Montés Ramirez;40;LE;School of Psychology;Medium;M47100;x
47110;Chief of Staff;Miguel Ramirez Alcantara;47;LWR;School of Fire Support;Medium;M47026;x
47112;Chief of Army;Jose Figueres Ferrer;47;SD;Decisive Battle Doctrine;High;M47103;x
47114;Chief of Army;Tobias Zúñiaga Montúfar;47;SL;Elastic Defence Doctrine;High;M47033;x
47116;Chief of Army;Don Arnaldo Zamora;40;SC;Guns and Butter Doctrine;Medium;M47111;x
47117;Chief of Army;Jorge Volio Jimenéz;44;SC;Armoured Spearhead Doctrine;High;M47107;x
47118;Chief of Army;Baptista E. Gutierrez;36;PA;Elastic Defence Doctrine;Medium;M47018;x
47119;Chief of Army;Hugo Montés Ramirez;40;LE;Decisive Battle Doctrine;Medium;M47100;x
47120;Chief of Army;Francisco Rosendo Arguello;47;LWR;Guns and Butter Doctrine;Medium;M47028;x
47121;Chief of Navy;Felipe Abreu Castro;44;SD;Power Projection Doctrine;High;M47102;x
47125;Chief of Navy;Manuel Mora Valverde;40;LE;Base Control Doctrine;Medium;M47021;x
47126;Chief of Navy;Hugo Siedler Mendoza;47;LWR;Indirect Approach Doctrine;Medium;M47029;x
47127;Chief of Air Force;Guillermo Macho Nuñez;44;SD;Air Superiority Doctrine;Medium;M47127;x
47129;Chief of Air Force;Carlos Uribé Alpoveda;36;SC;Carpet Bombing Doctrine;Medium;M47129;x
47131;Chief of Air Force;Manuel Mora Valverde;40;LE;Army Aviation Doctrine;Medium;M47021;x
47132;Chief of Air Force;Oscar Padilla Sellean;47;LWR;Naval Aviation Doctrine;Medium;M47030;x
47133;Head of State;Santos León Herrera;47;SC;Pig-headed Isolationist;High;M47133;x
47134;Head of Government;Santos León Herrera;47;SC;Corporate Suit;High;M47133;x
47030;Chief of Air Force;Oscar Padilla Sellean;36;LWR;Naval Aviation Doctrine;Medium;M47030;x
