NOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
14024;Minister of Armament;Henry Wilhelm Kristiansen;36;ST;Military Entrepreneur;High;M14024;x
14025;Minister of Security;Samuel Titlestad;36;LE;Prince of Terror;High;M14025;x
14026;Head of Military Intelligence;Asbjørn Sunde;36;ST;Political Specialist;Very High;M14026;x
14027;Chief of Staff;Arne Gauslå;36;LE;School of Defence;High;M14027;x
14028;Chief of Army;Arne Gauslå;36;LE;Elastic Defence Doctrine;Medium;M14027;x
14029;Chief of Navy;Skule Storheil;36;LWR;Decisive Naval Battle Doctrine;Medium;M14029;x
14030;Chief of Air Force;Henrik Norby;36;LWR;Carpet Bombing Doctrine;Medium;M14030;x
14096;Head of Government;Oscar F. Torp;51;SD;Smiling Oilman;High;M14051;x
14097;Minister of Armament;Nils Langhelle;51;SD;Resource Industrialist;High;M14097;x
14098;Minister of Security;Oscar C. Gundersen;46;SD;Silent Lawyer;High;M14098;x
