INO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
577027;Minister of Armament;Lukman Dan Sardjono;36;LE;Military Entrepreneur;High;M577027;x
577028;Minister of Security;D.W. Cokroaminoto;36;PA;Prince of Terror;Medium;M577028;x
577029;Minister of Security;Ngabehi van Jogakarta;46;SC;Man of the People;High;M577029;x
577030;Minister of Security;Arie Frederick Lasut;36;SD;Back Stabber;Medium;M577030;x
577031;Minister of Security;Adam Malik;45;SD;Compassionate Gentleman;Medium;M577031;x
577032;Minister of Security;S.M. Kartosuwirjo;36;LE;Efficient Sociopath;High;M577032;x
577033;Minister of Security;D.N. Aidit;45;LE;Silent Lawyer;High;M577033;x
577034;Head of Military Intelligence;Besar Sudirman;36;PA;Logistics Specialist;High;M577034;x
577035;Head of Military Intelligence;Dr. Cipto Mangunkusomo;38;PA;Technical Specialist;High;M577035;x
577036;Head of Military Intelligence;Mohammed Yamin;36;SD;Industrial Specialist;High;M577036;x
577037;Head of Military Intelligence;T.N. Supratman;36;LE;Political Specialist;Low;M577037;x
577038;Chief of Staff;Besar Sudirman;36;PA;School of Mass Combat;High;M577034;x
577039;Chief of Staff;Gerardus Berenschot;39;SC;School of Defence;Very High;L7801;x
577040;Chief of Staff;Hein Ter Poorten;41;SC;School of Fire Support;Very High;L7819;x
577041;Chief of Staff;Hamid II Pontiak;36;SD;School of Psychology;Low;M577041;x
577042;Chief of Staff;Tan Malaka;36;LE;School of Mass Combat;High;M577042;x
577043;Chief of Army;Abdul Harris Nasution;36;PA;Decisive Battle Doctrine;High;M577043;x
577044;Chief of Army;Hein Ter Poorten;39;SC;Elastic Defence Doctrine;Very High;L7819;x
577045;Chief of Army;Rudolph Bakker;41;SC;Armoured Spearhead Doctrine;Very High;L7800;x
577046;Chief of Army;Simon Spoor;45;SC;Decisive Battle Doctrine;Very High;L7817;x
577047;Chief of Army;Uyrip Sumoharjo;36;SD;Guns and Butter Doctrine;High;M577047;x
577048;Chief of Army;Tan Malaka;36;LWR;Decisive Battle Doctrine;High;M577042;x
577049;Chief of Navy;Amangwu IX Jogarta;36;PA;Open Seas Doctrine;High;M577049;x
577050;Chief of Navy;We Yohannes;36;SD;Indirect Approach Doctrine;Low;M577050;x
577051;Chief of Navy;Ahmad Alimin;36;LE;Decisive Naval Battle Doctrine;Low;M577051;x
577052;Chief of Air Force;Achmed Sukarno;36;PA;Naval Aviation Doctrine;High;M577011;x
577053;Chief of Air Force;Mohammed Jusf;42;PA;Air Superiority Doctrine;High;M577053;x
577054;Chief of Air Force;R.M. Suryo;36;SD;Vertical Envelopment Doctrine;High;M577054;x
577055;Chief of Air Force;I.M. Najoan;36;LE;Carpet Bombing Doctrine;Low;M577055;x
577056;Head of Government;Abdul Halim;50;PA;Naive Optimist;Very High;M577056;x
577057;Head of Government;Mohammed Natsir;50;PA;Corporate Suit;Very High;M577057;x
577058;Head of Government;Sukoman Wirjosandjojo;51;PA;Smiling Oilman;Very High;M577058;x
577059;Head of Government;Siswanto Wilopo;52;PA;Ambitious Union Boss;Very High;M577059;x
577060;Head of Government;Ali Sastromidjojo;53;PA;Silent Workhorse;Very High;M577060;x
577061;Foreign Minister;Muhammad Hatta;51;PA;The Cloak N Dagger Schemer;Medium;M577014;x
577062;Minister of Security;Abdul Halim;49;PA;Crime Fighter;Medium;M577056;x
577063;Chief of Staff;Wakil Pakmehasan;50;PA;School of Manoeuvre;Low;M577063;x
