RUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
4124;Chief of Staff;Petr Vrangel;36;FA;School of Manoeuvre;High;M4124;x
4125;Chief of Staff;Fyodor Trikhin;36;NS;School of Mass Combat;High;M4125;x
4126;Chief of Staff;Andrei Vlasov;36;NS;School of Fire Support;High;M4090;x
4127;Chief of Staff;Alexander Kolchak;70;PA;School of Defence;High;M4089;x
4128;Chief of Staff;Mikhail Tukachevsky;36;PA;School of Manoeuvre;High;M4128;x
4129;Chief of Staff;Feliks Romanovsky;36;SC;School of Fire Support;High;M4129;x
4130;Chief of Staff;Jevgenij von Rommel;36;SC;School of Manoeuvre;High;M4130;x
4131;Chief of Army;Alexander Egorov;36;FA;Armoured Spearhead Doctrine;Very High;M4131;x
4132;Chief of Army;Andrei Vlasov;36;NS;Elastic Defence Doctrine;Very High;M4090;x
4133;Chief of Army;Mikhail Tukachevsky;36;NS;Static Defence Doctrine;Very High;M4128;x
4134;Chief of Army;Petr Vrangel;36;PA;Decisive Battle Doctrine;Very High;M4124;x
4135;Chief of Army;Jevgenij von Rommel;36;PA;Armoured Spearhead Doctrine;Very High;M4130;x
4136;Chief of Army;Vasilij von Blücher;36;SC;Armoured Spearhead Doctrine;Very High;M4136;x
4137;Chief of Army;Igor Belov;36;SC;Static Defence Doctrine;Very High;M4137;x
4138;Chief of Navy;Petar Drozd;36;FA;Open Seas Doctrine;High;M4138;x
4139;Chief of Navy;Oleg Mychelkin;36;NS;Indirect Approach Doctrine;High;M4139;x
4141;Chief of Navy;Alexander Kolchak;70;PA;Power Projection Doctrine;High;M4089;x
4142;Chief of Navy;Konstantin Dushenov;36;PA;Base Control Doctrine;High;L10520;x
4143;Chief of Navy;Robert von Wirén;36;SC;Decisive Naval Battle Doctrine;High;M4143;x
4144;Chief of Navy;Edouard Galler;36;SC;Open Seas Doctrine;High;L10417;x
4148;Chief of Air Force;Nikolai Kharlamov;36;PA;Army Aviation Doctrine;High;L10472;x
4149;Chief of Air Force;Jurij Alksnis;36;PA;Vertical Envelopment Doctrine;High;M4146;x
4150;Chief of Air Force;Sergei Korenev;36;SC;Vertical Envelopment Doctrine;High;M4150;x
4151;Chief of Air Force;Jevgennij Smushkevich;36;SC;Air Superiority Doctrine;High;M4147;x
4152;Head of State;H.R.H. Vladimir Romanov;38;FA;Benevolent Gentleman;High;M4091;x
4162;Chief of Air Force;Alexander Kolchak;70;FA;Naval Aviation Doctrine;High;M4089;x
