CZE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
24145;Chief of Air Force;Jan Prokop;36;ST;Vertical Envelopment Doctrine;High;M24030;x
24146;Minister of Security;Otakar Eischer;36;NS;Compassionate Gentleman;Very High;M24087;x
24147;Head of Government;Klement Gottwald;45;ST;Backroom Backstabber;High;M24021;x
24148;Head of State;Edouard Benes;39;ML;Pig-headed Isolationist;High;M24001;x
24149;Head of Government;Karel Kalemcek;36;PA;Happy Amateur;High;M24048;x
24150;Head of State;Constantin von Econovec;45;NS;Autocratic Charmer;High;M24060;x
24024;Minister of Armament;Rudolf Slanský;36;ST;Theoretical Scientist;Medium;M24024;x
24026;Head of Military Intelligence;Zdenak Fierlinger;36;ST;Political Specialist;Very High;M24026;x
24151;Head of State;Antonin Zapotocky;53;ST;Pig-headed Isolationist;High;M24151;x
24152;Head of Government;Antonin Novotny;53;ST;Corporate Suit;High;M24152;x
24153;Foreign Minister;Viliam Sirocky;50;ST;Iron Fisted Brute;Medium;M24153;x
24154;Minister of Armament;Ludvik Svoboda;36;ST;Military Entrepreneur;Medium;M24027;x
24155;Minister of Armament;Alexej Cepicka;50;ST;Infantry Proponent;Medium;M24155;x
24156;Minister of Security;Vaclav Nosek;45;ST;Efficient Sociopath;Very High;M24156;x
24157;Head of Military Intelligence;Prokop Drtina;45;ST;Political Specialist;High;M24025;x
24158;Head of Military Intelligence;Alexej Cepicka;48;ST;Logistics Specialist;High;M24155;x
24159;Head of Military Intelligence;Stefan Rais;50;ST;Dismal Enigma;High;M24158;x
