NZL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
55060;Minister of Armament;J.E. Duigan;45;SC;Tank Proponent;High;M55060;x
55061;Minister of Security;Edward Blundell;38;SD;Silent Lawyer;High;M55061;x
55062;Minister of Security;Robert Semple;40;SD;Man of the People;High;M55062;x
55063;Minister of Security;James Allen;36;ML;Back Stabber;Very High;M55043;x
55064;Minister of Security;E.R. Drummond;43;ML;Efficient Sociopath;High;M55009;x
55065;Minister of Security;Gordon Coates;38;SC;Silent Lawyer;High;M55046;x
55066;Minister of Security;Adam Hamilton;39;SC;Crime Fighter;High;M55037;x
55067;Minister of Security;Sydney Holland;42;SC;Prince of Terror;Very High;M55039;x
55068;Minister of Security;Kenneth Folkes;45;SC;Compassionate Gentleman;Medium;M55006;x
55069;Head of Military Intelligence;Hugo Philpott;38;SD;Logistics Specialist;High;M55069;x
55070;Head of Military Intelligence;Tom Stanley;43;SD;Political Specialist;Low;M55021;x
55071;Head of Military Intelligence;Adam Hamilton;37;SC;Dismal Enigma;High;M55037;x
55072;Head of Military Intelligence;Ken MacKenzie;39;SC;Industrial Specialist;High;M55058;x
55073;Head of Military Intelligence;E.R. Drummond;42;SC;Naval Intelligence Specialist;High;M55009;x
55074;Head of Military Intelligence;J.E. Duigan;42;SC;Technical Specialist;High;M55060;x
55075;Chief of Staff;J.E. Duigan;37;ML;School of Manoeuvre;High;M55060;x
55076;Chief of Staff;Ronald Park;40;ML;School of Mass Combat;High;M55076;x
55077;Chief of Staff;Edward Puttick;41;ML;School of Defence;High;M55059;x
55078;Chief of Staff;William Stevens;42;ML;School of Fire Support;High;M55078;x
55079;Chief of Staff;N. Weir;46;ML;School of Psychology;High;M55079;x
55080;Chief of Army;Norris Stephen Falla;37;ML;Elastic Defence Doctrine;High;M55080;x
55081;Chief of Army;J.E. Duigan;37;ML;Armoured Spearhead Doctrine;High;M55060;x
55082;Chief of Army;J.C. Nichols;40;ML;Static Defence Doctrine;High;M55082;x
55083;Chief of Army;Edward Puttick;41;ML;Decisive Battle Doctrine;High;M55059;x
55084;Chief of Army;N. Weir;46;ML;Guns and Butter Doctrine;High;M55079;x
55085;Chief of Navy;H.E. Horan;38;ML;Open Seas Doctrine;High;M55085;x
55086;Chief of Navy;W.E. Parry;40;ML;Indirect Approach Doctrine;High;M55052;x
55087;Chief of Navy;Sir Frederick Field;42;ML;Decisive Naval Battle Doctrine;High;M55057;x
55088;Chief of Navy;W.H.Stratton;45;ML;Power Projection Doctrine;High;M55056;x
55089;Chief of Navy;G.W.G. Simpson;45;ML;Base Control Doctrine;High;M55089;x
55090;Chief of Air Force;W.H. Stratton;39;ML;Army Aviation Doctrine;High;M55056;x
55091;Chief of Air Force;H.D. McGregor;41;ML;Vertical Envelopment Doctrine;High;M55091;x
55092;Chief of Air Force;L.M. Isitt;43;ML;Naval Aviation Doctrine;High;M55050;x
55093;Chief of Air Force;Gordon H. Steege;44;ML;Air Superiority Doctrine;High;M55093;x
55094;Chief of Air Force;A. de Terrotte Neville;45;ML;Carpet Bombing Doctrine;High;M55055;x
55011;Head of State;T.C.A. Hislop;36;PA;Benevolent Gentleman;High;M55011;x
55012;Head of Government;A.E. Davy;36;PA;Happy Amateur;NA;M55012;x
55013;Foreign Minister;A.E. Davy;36;PA;Ideological Crusader;Very High;M55012;x
55014;Minister of Armament;A.J. Stallworthy;36;PA;Air to Sea Proponent;High;M55014;x
55015;Minister of Security;W.A. Veitch-Milne;36;PA;Prince of Terror;High;M55015;x
55016;Head of Military Intelligence;Arthur Dawes;36;PA;Naval Intelligence Specialist;High;M55016;x
55017;Chief of Staff;Seymour DeWitt;36;PA;School of Manoeuvre;High;M55017;x
55018;Chief of Army;Seymour DeWitt;36;PA;Elastic Defence Doctrine;High;M55017;x
55019;Chief of Navy;Trevor Handley;36;PA;Base Control Doctrine;High;M55019;x
55020;Chief of Air Force;Margaret Whittington;36;PA;Vertical Envelopment Doctrine;High;M55020;x
55021;Head of State;Tom Stanley;36;LE;Powerhungry Demagogue;High;M55021;x
55022;Head of Government;Victor Wilcox;36;LE;Happy Amateur;High;M55022;x
55023;Foreign Minister;Victor Wilcox;36;LE;Biased Intellectual;Very High;M55022;x
55024;Minister of Armament;Sid Scott;36;LWR;Theoretical Scientist;High;M55024;x
55025;Minister of Security;Gordon Watson;36;ST;Efficient Sociopath;High;M55025;x
55026;Head of Military Intelligence;Frederick Freeman;36;LWR;Technical Specialist;High;M55026;x
55027;Chief of Staff;Henry Colthorpe;36;ST;School of Psychology;High;M55027;x
55028;Chief of Army;Gordon Watson;36;ST;Guns and Butter Doctrine;High;M55025;x
55029;Chief of Navy;Eric Prendergast;36;LE;Decisive Naval Battle Doctrine;High;M55029;x
55030;Chief of Air Force;L.P. Peterson;36;ST;Air Superiority Doctrine;High;M55030;x
55095;Head of State;Willoughby Baron Norrie;52;ML;Weary Stiffneck;High;M55095;x
55096;Head of State;Willoughby Baron Norrie;52;SD;Weary Stiffneck;High;M55095;x
55097;Head of Government;Walter Nash;47;SD;Happy Amateur;High;M55004;x
55098;Foreign Minister;Frederick W. Doidge;49;SC;Biased Intellectual;Very High;M55098;x
55099;Foreign Minister;Thomas C. Webb;51;SC;Iron Fisted Brute;Very High;M55099;x
55100;Foreign Minister;Arnold H. Nordmeyer;50;SD;The Cloak N Dagger Schemer;Very High;M55100;x
55101;Minister of Security;Thomas L. MacDonald;51;SC;Efficient Sociopath;Medium;M55101;x
