LAT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
27048;Foreign Minister;Alfreds Valdmanis;41;NS;Iron Fisted Brute;Medium;M27038;x
27049;Foreign Minister;Oskars Dankers;41;NS;General Staffer;Medium;M27039;x
27050;Foreign Minister;Màrtiñs Prïmanis;44;NS;Ideological Crusader;Medium;M27050;x
27051;Foreign Minister;Vilhelms Munters;36;FA;Great Compromiser;Medium;M27051;x
27052;Foreign Minister;Jànis Kaminskis;45;PA;Iron Fisted Brute;Medium;M27041;x
27053;Foreign Minister;Reinhold K. Zariñs;36;SC;Apologetic Clerk;Medium;M27012;x
27054;Foreign Minister;Alfreds Bïlmanis;40;SC;Biased Intellectual;Medium;M27054;x
27055;Foreign Minister;Julijcs Lacis;36;LE;Great Compromiser;Medium;M27029;x
27056;Foreign Minister;Augusts Kirchensteins;40;LE;Ideological Crusader;Undying;M27021;x
27057;Foreign Minister;Arnolds Skrebers;45;ST;Great Compromiser;Medium;M27057;x
27058;Foreign Minister;Peteris Valeskalns;46;ST;Ideological Crusader;Medium;M27058;x
27059;Foreign Minister;Ernests Kreismanis;47;ST;The Cloak N Dagger Schemer;Very High;M27037;x
27060;Minister of Armament;Evalds Andersons;41;NS;Military Entrepreneur;High;M27060;x
27061;Minister of Armament;Jànis Skujevics;41;NS;Resource Industrialist;Medium;M27061;x
27062;Minister of Armament;Jànis Miezis;44;NS;Infantry Proponent;Very High;M27062;x
27063;Minister of Armament;Vilis Gulbis;36;FA;Air to Sea Proponent;Medium;M27005;x
27064;Minister of Armament;Kornelijs Veidnieks;38;FA;Air Superiority Proponent;Medium;M27064;x
27065;Minister of Armament;Jànis Kaminskis;39;FA;Resource Industrialist;Medium;M27041;x
27066;Minister of Armament;Alfreds Valdmanis;40;FA;Administrative Genius;Medium;M27038;x
27068;Minister of Armament;Petrus Apskalns;36;SC;Infantry Proponent;Medium;M27068;x
27069;Minister of Armament;Edgars Andersons;45;SC;Military Entrepreneur;Medium;M27014;x
27070;Minister of Armament;Roberts Dambïtis;36;LE;Resource Industrialist;Medium;M27070;x
27071;Minister of Armament;Kàrlis Karlsons;40;LE;Military Entrepreneur;Medium;M27024;x
27072;Minister of Armament;Aleksandrs Bulle;45;ST;laissez-faire capitalist;Medium;M27072;x
27073;Minister of Armament;Arnolds Tabaks;46;ST;Resource Industrialist;Medium;M27073;x
27074;Minister of Security;Alfreds Valdmanis;41;NS;Crime Fighter;Medium;M27038;x
27075;Minister of Security;Teodors Zvejnieks;41;NS;Efficient Sociopath;Low;M27075;x
27076;Minister of Security;Alberts Kviesis;43;NS;Man of the People;Low;M27001;x
27077;Minister of Security;Hermanis Apsitis;36;FA;Prince of Terror;Medium;M27006;x
27078;Minister of Security;Jànis Balodis;40;FA;Man of the People;Medium;M27007;x
27079;Minister of Security;Janis Andersons;45;PA;Crooked Kleptocrat;Low;M27033;x
27080;Minister of Security;Pauls Kalniñs;36;SC;Efficient Sociopath;High;M27011;x
27081;Minister of Security;Jazeps Rancans;45;SC;Man of the People;Very High;M27035;x
27082;Minister of Security;Jurijs Rabersz;36;LE;Compassionate Gentleman;Medium;M27082;x
27083;Minister of Security;Vilis Làcis;40;LE;Efficient Sociopath;Medium;M27025;x
27084;Minister of Security;Rodolfs Rocin;45;ST;Silent Lawyer;Medium;M27084;x
27085;Minister of Security;Andrejs Jablonskis;46;ST;Prince of Terror;Medium;M27085;x
27086;Head of Military Intelligence;Hans Heinrich Lohse;41;NS;Industrial Specialist;Medium;M27031;x
27087;Head of Military Intelligence;Erich Koch;43;NS;Logistics Specialist;Medium;M27087;x
27089;Head of Military Intelligence;Kàrlis Ulmanis;38;FA;Dismal Enigma;Undying;M27002;x
27091;Head of Military Intelligence;Felix Cielens;36;SC;Industrial Specialist;Medium;M27091;x
27092;Head of Military Intelligence;Fricis Celmins;40;SC;Dismal Enigma;Medium;M27016;x
27093;Head of Military Intelligence;Reinhold K. Zariñs;45;SC;Technical Specialist;Medium;M27012;x
27094;Head of Military Intelligence;Jurijs Rabersz;36;LE;Technical Specialist;Medium;M27082;x
27095;Head of Military Intelligence;Teodors Zvejnieks;45;ST;Naval Intelligence Specialist;Low;M27075;x
27096;Head of Military Intelligence;Vilis Làcis;46;ST;Logistics Specialist;Medium;M27025;x
27097;Chief of Staff;Konstantins Cakste;41;NS;School of Fire Support;Medium;M27097;x
27098;Chief of Staff;Arturs M. Silgailis;43;NS;School of Fire Support;High;M27098;x
27100;Chief of Staff;Krisjànis Berkis;39;FA;School of Manoeuvre;Medium;M27100;x
27101;Chief of Staff;Rudolfs Kociñs;45;PA;School of Psychology;Medium;M27101;x
27102;Chief of Staff;Verners Tefpers;36;SC;School of Manoeuvre;Medium;M27017;x
27103;Chief of Staff;Janis Berzins;36;LE;School of Mass Combat;Medium;M27027;x
27104;Chief of Staff;Roberts Dambïtis;38;LE;School of Fire Support;Medium;M27070;x
27105;Chief of Staff;Izglitibas Tautas;45;ST;School of Mass Combat;Medium;M27030;x
27106;Chief of Staff;Arturs Sprogis;46;ST;School of Fire Support;High;M27106;x
27107;Chief of Army;Otto Hellmich;41;NS;Elastic Defence Doctrine;Medium;M27107;x
27109;Chief of Army;Fricis Celmins;37;FA;Elastic Defence Doctrine;Medium;M27016;x
27110;Chief of Army;Rudolfs Kociñs;45;PA;Elastic Defence Doctrine;Medium;M27101;x
27113;Chief of Army;Janis Berzins;36;LE;Decisive Battle Doctrine;Medium;M27027;x
27114;Chief of Army;Roberts Dambïtis;38;LE;Guns and Butter Doctrine;Medium;M27070;x
27115;Chief of Army;Arturs Sprogis;45;ST;Decisive Battle Doctrine;High;M27106;x
27116;Chief of Army;Roberts Osis;46;ST;Guns and Butter Doctrine;Medium;M27046;x
27117;Chief of Navy;Konstantins Cakste;41;NS;Base Control Doctrine;Medium;M27097;x
27120;Chief of Navy;Janis Andersons;36;SC;Base Control Doctrine;Low;M27033;x
27121;Chief of Navy;Augusts Kirchensteins;36;LE;Open Seas Doctrine;Medium;M27021;x
27122;Chief of Navy;Julijcs Lacis;40;LE;Indirect Approach Doctrine;Medium;M27029;x
27123;Chief of Navy;Teodors Zvejnieks;45;ST;Power Projection Doctrine;Low;M27075;x
27124;Chief of Air Force;Konstantins Cakste;41;NS;Army Aviation Doctrine;Medium;M27097;x
27127;Chief of Air Force;Rudolfs Bangerskis;45;PA;Army Aviation Doctrine;Low;M27008;x
27128;Chief of Air Force;Jucums Vacietis;36;SC;Air Superiority Doctrine;Medium;M27126;x
27129;Chief of Air Force;Edgars Andersons;45;SC;Vertical Envelopment Doctrine;Medium;M27014;x
27130;Chief of Air Force;Izglitibas Tautas;36;LE;Naval Aviation Doctrine;Medium;M27030;x
