VEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
38048;Minister of Security;Cesar Zumeta;39;PA;Compassionate Gentleman;Medium;M38048;x
38049;Minister of Security;Alejandro Armas;41;SC;Prince of Terror;Medium;M38049;x
38050;Minister of Security;Antonio J. Diaz Martinez;43;ML;Crime Fighter;Medium;M38050;x
38051;Minister of Security;Romulo Gallegos Freire;45;SD;Man of The People;Medium;M38051;x
38052;Minister of Security;José Sanguino Cárdenas;46;LWR;Compassionate Gentleman;Medium;M38052;x
38053;Minister of Security;Concepcion Quijada Gonzalez;46;SD;Silent Lawyer;Medium;M38053;x
38054;Minister of Security;Adolfo Gonzalez Aquilar;47;LWR;Efficient Sociopath;Medium;M38054;x
38055;Minister of Security;Isidoro Ruiz Tuerro;47;ML;Prince of Terror;Medium;M38011;x
38056;Head of Military Intelligence;Diogenes Escalante;36;PA;Industrial Specialist;Medium;M38056;x
38057;Head of Military Intelligence;Antonio Casas Gonzalez;39;SC;Naval Intelligence Specialist;Medium;M38057;x
38058;Head of Military Intelligence;Pedro Alcántara Laya;41;SC;Industrial Specialist;Medium;M38058;x
38059;Head of Military Intelligence;Pedro P. Azpurua;42;ML;Technical Specialist;Medium;M38059;x
38060;Head of Military Intelligence;Luis Monsalvo Mareno;45;SD;Logistics Specialist;Medium;M38060;x
38061;Head of Military Intelligence;Robert Letts Sanchez;46;ML;Technical Specialist;Medium;M38061;x
38062;Head of Military Intelligence;Jovito Villalba;47;LWR;Political Specialist;Medium;M38021;x
38063;Chief of Staff;Antonio Casas Gonzalez;38;SC;School of Psychology;Medium;M38057;x
38064;Chief of Staff;Carlos Garcia Mendoza;41;SC;School of Mass Combat;Medium;M38064;x
38065;Chief of Staff;Gustavo Gonzalez Lopez;43;ML;School of Manoeuvre;Medium;M38065;x
38066;Chief of Staff;Raúl Leoni Otero;45;SD;School of Psychology;Medium;M38027;x
38067;Chief of Army;Victor Sanchez Croes;40;PA;Armoured Spearhead Doctrine;Medium;M38028;x
38068;Chief of Army;Tomas Contreras Villalobos;41;SC;Decisive Battle Doctrine;Low;M38019;x
38069;Chief of Army;Carlos Delgado Chalbaud;45;ML;Guns and Butter Doctrine;Medium;L270004;x
38070;Chief of Army;Nelson Verde Graterol;47;SD;Armoured Spearhead Doctrine;Medium;M38070;x
38071;Chief of Navy;Pedro Beauperthuy Urich;39;SC;Power Projection Doctrine;Medium;M38004;x
38072;Chief of Navy;Carlos Molina Talavayo;41;SC;Decisive Naval Battle Doctrine;Medium;M38042;x
38073;Chief of Navy;Luis Alvárez Santiago;42;ML;Open Seas Doctrine;Medium;M38073;x
38074;Chief of Navy;Carlos Ramos Díaz;45;ML;Indirect Approach Doctrine;Medium;M38040;x
38075;Chief of Navy;Antonio Casas Gonzalez;47;SD;Base Control Doctrine;Medium;M38057;x
38076;Chief of Air Force;Roberto de Luca Varesano;39;PA;Air Superiority Doctrine;Medium;M38020;x
38077;Chief of Air Force;Guillermo Griffiths Escardo;41;SC;Army Aviation Doctrine;Medium;M38077;x
38078;Chief of Air Force;Miguel Díaz Fraile;45;ML;Carpet Bombing Doctrine;Medium;M38041;x
38079;Chief of Air Force;Tomas Contreras Villalobos;46;LWR;Naval Aviation Doctrine;Medium;M38019;x
38080;Chief of Air Force;José Polares Pavon;47;SD;Air Superiority Doctrine;Medium;M38080;x
38081;Foreign Minister;Pedro Itriago Chacín;36;PA;Biased Intellectual;Medium;M38081;x
38011;Head of State;Isidoro Ruiz Tuerro;36;PA;Resigned Generalissimo;High;M38011;x
38012;Head of Government;Isidoro Ruiz Tuerro;36;PA;Old General;High;M38011;x
38013;Foreign Minister;Ernesto Mayz Villanella;36;PA;The Cloak N Dagger Schemer;Medium;M38013;x
38014;Minister of Armament;Ricardo Mendez Moreno;36;PA;Infantry Proponent;Medium;M38014;x
38015;Minister of Security;Jesús Alcantara Borrego;36;PA;Back Stabber;Medium;M38015;x
38016;Head of Military Intelligence;Carlos Casanova Leal;36;PA;Naval Intelligence Specialist;Medium;M38016;x
38017;Chief of Staff;Bernardo Jose Montilla;36;PA;School of Fire Support;Medium;M38017;x
38018;Chief of Army;Pedro Elías Guiterrez;36;PA;Elastic Defence Doctrine;Medium;M38018;x
38019;Chief of Navy;Tomas Contreras Villalobos;36;FA;Indirect Approach Doctrine;Low;M38019;x
38021;Head of State;Jovito Villalba;36;LWR;Powerhungry Demagogue;High;M38021;x
38022;Head of Government;Manuel Diaz Rodriguez;36;LWR;Naive Optimist;High;M38022;x
38023;Foreign Minister;Pedro Leon Castro;36;LWR;Biased Intellectual;Medium;M38023;x
38024;Minister of Armament;Manuel Diaz Rodriguez;36;LWR;Air to Sea Proponent;Medium;M38022;x
38025;Minister of Security;Francisco Pelliser;36;LWR;Crime Fighter;Medium;M38025;x
38026;Head of Military Intelligence;Pedro Leon Castro;36;LWR;Dismal Enigma;Medium;M38023;x
38030;Chief of Air Force;Humberto S. Torres Vilera;36;LWR;Naval Aviation Doctrine;Medium;M38030;x
38082;Head of State;Romulo Gallegos Freire;48;SD;Popular Figurehead;Medium;M38051;x
38083;Head of State;Carlos Delgado Chalbaud;48;SC;Resigned Generalissimo;Medium;L270004;x
38084;Head of State;German Suarez Flamerich;50;SC;Insignificant Layman;Medium;M38084;x
38085;Head of State;Marcos Perez Jimenez;52;PA;Barking Buffoon;Medium;L270021;x
38086;Head of Government;Luis Felipe Llovera Paez;48;SC;old airmarshal;High;M38086;x
38087;Head of Government;Marcos Perez Jimenez;48;PA;Old General;High;L270021;x
38088;Foreign Minister;German Suarez Flamerich;48;SC;Biased Intellectual;Medium;M38084;x
38089;Foreign Minister;Antonio Casas Gonzalez;52;PA;General Staffer;Medium;M38057;x
38090;Chief of Army;Marcos Perez Jimenez;48;SC;Elastic Defence Doctrine;Medium;L270021;x
38091;Chief of Army;Wolfgang Larrazabal Ugueto;52;PA;Armoured Spearhead Doctrine;Medium;L270011;x
