PRU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
39082;Minister of Security;Guillermo Landa Arisueño;44;ML;Man of the People;Medium;M39082;x
39083;Minister of Security;Augusto Leguia Swayne;45;SL;Man of the People;High;M39034;x
39084;Minister of Security;Juan Cortés Azar;45;ML;Back Stabber;Medium;M39025;x
39085;Minister of Security;Maximó Silva;45;SD;Crime Fighter;Medium;M39085;x
39086;Minister of Security;Juan F. Guabloche Rodrígues;46;ML;Prince of Terror;Medium;M39086;x
39087;Minister of Security;Ildefonso Ballón Beltrán;47;SD;Efficient Sociopath;Medium;M39087;x
39088;Head of Military Intelligence;Horacio Patiño Cruzatti;36;SC;Naval Intelligence Specialist;Medium;M39088;x
39089;Head of Military Intelligence;Alberto Ayala y Lacroix;36;SD;Dismal Enigma;Medium;M39089;x
39090;Head of Military Intelligence;Benigno Ballón Farfán;39;SC;Dismal Enigma;Medium;M39075;x
39091;Head of Military Intelligence;Juan Bautista de Lavalle;42;SC;Industrial Specialist;Medium;M39091;x
39092;Head of Military Intelligence;Alfredo Alvarez Calderón;43;SC;Technical Specialist;Medium;M39092;x
39093;Head of Military Intelligence;Miguel Montero y Tirado;39;SD;Political Specialist;Medium;M39093;x
39094;Head of Military Intelligence;Jorge T. de la Flor;44;ML;Industrial Specialist;Medium;M39094;x
39095;Head of Military Intelligence;Enrique Torres Gonzalez;45;SL;Political Specialist;Medium;M39095;x
39096;Head of Military Intelligence;Juan F. Guabloche Rodrígues;45;ML;Dismal Enigma;Medium;M39086;x
39097;Head of Military Intelligence;Riccardo Barrea Laos;45;SD;Technical Specialist;Medium;M39097;x
39098;Head of Military Intelligence;Armando Montes de Peralta;46;ML;Logistics Specialist;Medium;M39026;x
39099;Head of Military Intelligence;Bernardo Palacios y Montecinos;47;SD;Technical Specialist;Medium;M39016;x
39102;Chief of Staff;Luis Sánchez Cerro;39;SC;School of Mass Combat;Medium;M39102;x
39103;Chief of Staff;Bernardo Palacios y Montecinos;39;SD;School of Fire Support;Medium;M39016;x
39104;Chief of Staff;Riccardo P. Godoy;44;ML;School of Manoeuvre;Medium;M39104;x
39106;Chief of Staff;Fortunato Quesada Larrea;45;ML;School of Defence;Medium;M39106;x
39107;Chief of Staff;Juan Poncé Diaz;45;SD;School of Psychology;Medium;M39027;x
39108;Chief of Staff;Alberto Hurtado Abadia;47;SD;School of Defence;Medium;M39108;x
39110;Chief of Army;Oscar Gilardi;36;SD;Static Defence Doctrine;Low;M39006;x
39111;Chief of Army;Luis Saenz Diaz;39;SC;Elastic Defence Doctrine;Medium;M39111;x
39112;Chief of Army;Eloy G. Ureta;39;SD;Guns and Butter Doctrine;Medium;M39036;x
39113;Chief of Army;Eduardo Montero Rojas;44;ML;Armoured Spearhead Doctrine;Medium;M39113;x
39115;Chief of Army;Vladimiro Lopéz Trigoso;45;ML;Decisive Battle Doctrine;Medium;M39028;x
39116;Chief of Army;Rafael Escardo;47;SD;Elastic Defence Doctrine;Low;M39048;x
39119;Chief of Navy;Alberto Roque Saldías;39;SC;Indirect Approach Doctrine;Medium;M39069;x
39120;Chief of Navy;Manuel R. Nieto;39;SD;Open Seas Doctrine;Medium;M39120;x
39121;Chief of Navy;José de la Riva Agüero;41;SC;Base Control Doctrine;Medium;M39011;x
39122;Chief of Navy;Nicolas Lindley Lopez;44;ML;Decisive Naval Battle Doctrine;Low;M39019;x
39124;Chief of Navy;Luis Navarreté;45;ML;Power Projection Doctrine;High;M39124;x
39125;Chief of Navy;Juan Poncé Diaz;45;SD;Base Control Doctrine;Medium;M39027;x
39126;Chief of Navy;Felipe Tudela;47;SD;Open Seas Doctrine;Medium;M39013;x
39129;Chief of Air Force;Victor Solano;39;SC;Army Aviation Doctrine;High;M39129;x
39130;Chief of Air Force;Romulo Frias;39;SD;Air Superiority Doctrine;High;M39130;x
39131;Chief of Air Force;Manuel Montero y Tirada;43;SC;Naval Aviation Doctrine;Medium;M39131;x
39132;Chief of Air Force;Fernando M. Quesada Blanco;44;ML;Carpet Bombing Doctrine;Medium;M39020;x
39134;Chief of Air Force;Luis Navarreté;45;ML;Naval Aviation Doctrine;High;M39124;x
39135;Chief of Air Force;Alberto Lopez Flores;45;SD;Vertical Envelopment Doctrine;Medium;M39030;x
39136;Chief of Air Force;Eduardo Cantabria Gomez;47;SD;Army Aviation Doctrine;Medium;M39023;x
39137;Head of Government;Alberto Rey de Castro;39;SC;Old General;High;M39137;x
39138;Head of Government;José Alcamora;47;ML;Corporate Suit;High;M39138;x
39139;Foreign Minister;Cesar de la Fuente;36;SC;General Staffer;Medium;L260004;x
39011;Head of State;José de la Riva Agüero;36;FA;Stern Imperialist;High;M39011;x
39012;Head of Government;José de la Riva Agüero;36;FA;Old Admiral;High;M39011;x
39013;Foreign Minister;Felipe Tudela;36;FA;The Cloak N Dagger Schemer;Medium;M39013;x
39021;Head of State;Lodovico Rovino Morales;36;ST;Benevolent Gentleman;High;M39021;x
39022;Head of Government;Lodovico Rovino Morales;36;ST;old airmarshal;High;M39021;x
39023;Foreign Minister;Eduardo Cantabria Gomez;36;LE;Great Compromiser;Medium;M39023;x
39140;Head of State;Manuel Odria Amoretti;48;PA;Resigned Generalissimo;High;L260017;x
39141;Head of Government;Alberto Roque Saldías;47;SC;Old Admiral;High;M39069;x
39142;Head of Government;Armando Reveredo Iglesias;48;ML;old airmarshal;High;M39142;x
39143;Head of Government;Alberto Zenon Agüero;48;PA;Old General;High;L260016;x
39144;Chief of Staff;Alberto Zenon Agüero;48;SC;School of Psychology;Medium;L260016;x
39145;Chief of Staff;Nicolas Lindley Lopez;50;PA;School of Manoeuvre;Medium;L260036;x
39146;Chief of Army;Manuel Odria Amoretti;48;SC;Elastic Defence Doctrine;Medium;L260017;x
39147;Chief of Army;Riccardo Perez Godoy;50;PA;Armoured Spearhead Doctrine;Medium;L260020;x
39148;Minister of Armament;Armando Reveredo Iglesias;50;SC;Military Entrepreneur;Medium;M39142;x
39149;Minister of Security;Rocas Sanchez Mapás;51;PA;Efficient Sociopath;Low;M39149;x
