DOM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
49056;Minister of Armament;Ignacio Bajordo;40;PA;Administrative Genius;High;M49056;x
49057;Minister of Armament;Rafél Trujillo;42;PA;Corrupt Kleptocrat;Very High;M49001;x
49058;Minister of Armament;Luis Amiamo Tio;46;PA;Corrupt Kleptocrat;Low;M49058;x
49059;Minister of Armament;Jesus de Galindez;38;SC;laissez-faire capitalist;Medium;M49013;x
49060;Minister of Armament;Rafael Bonelly Fondeur;42;SC;Infantry Proponent;Medium;M49042;x
49061;Minister of Armament;Jorge Balaguer;46;SC;Administrative Genius;Low;M49014;x
49062;Minister of Armament;Francisco Cutricos;38;SD;Corrupt Kleptocrat;Low;M49024;x
49063;Minister of Armament;Mario Imbert McGregor;46;SD;Resource Industrialist;Medium;M49026;x
49064;Minister of Security;Jacinto Bienvenido Peynado;38;PA;Crooked Kleptocrat;High;M49002;x
49066;Minister of Security;Donald Reid Cabral;44;PA;Compassionate Gentleman;Low;M49066;x
49067;Minister of Security;Hector Trujillo;46;PA;Crooked Kleptocrat;High;M49067;x
49068;Minister of Security;Rafael Espaillat;38;SC;Efficient Sociopath;Medium;M49035;x
49069;Minister of Security;Alberto Garcia Vienda;42;SC;Silent Lawyer;Medium;M49015;x
49071;Minister of Security;Antonio Leyba Pou;38;LWR;Man of the People;Medium;M49025;x
49073;Head of Military Intelligence;Manuel de Jesús Troncoso;40;PA;Naval Intelligence Specialist;Medium;M49004;x
49074;Head of Military Intelligence;Jorge Balaguer;42;PA;Logistics Specialist;Medium;M49014;x
49075;Head of Military Intelligence;Hector Trujillo;46;PA;Political Specialist;High;M49067;x
49076;Head of Military Intelligence;Alberto Garcia Vienda;38;SC;Logistics Specialist;Low;M49015;x
49077;Head of Military Intelligence;Francisco Prats Ramirez;38;LWR;Industrial Specialist;High;M49037;x
49078;Head of Military Intelligence;Mario Imbert McGregor;46;SD;Dismal Enigma;Medium;M49026;x
49080;Chief of Staff;Manuel Peña Battle;46;PA;School of Defence;Very High;M49049;x
49081;Chief of Staff;Jesus da Costa-Ruiz;38;SC;School of Mass Combat;Medium;M49006;x
49082;Chief of Staff;Victor Viñas Roman;38;SD;School of Fire Support;Medium;M49027;x
49084;Chief of Army;Domingo de los Santos Ortiz;38;SC;Armoured Spearhead Doctrine;Low;M49018;x
49085;Chief of Army;Victor Viñas Roman;38;SD;Decisive Battle Doctrine;Medium;M49027;x
49087;Chief of Navy;Honoracio Yuna Robles;40;PA;Open Seas Doctrine;High;M49087;x
49088;Chief of Navy;Rafél Trujillo;42;PA;Base Control Doctrine;Very High;M49088;x
49090;Chief of Navy;Edgar Martinez;38;LWR;Indirect Approach Doctrine;Very Low;M49029;x
49092;Chief of Air Force;Julio Ortega Frier;42;PA;Army Aviation Doctrine;Medium;M49047;x
49094;Chief of Air Force;Diego Trabajo Rúiz;42;SC;Carpet Bombing Doctrine;High;M49094;x
49095;Chief of Air Force;Frank Feliz Miranda;36;LWR;Naval Aviation Doctrine;Medium;M49030;x
49096;Head of State;Rafél Trujillo;42;PA;Barking Buffoon;High;M49001;x
49097;Chief of Air Force;Edgar Martinez;41;LWR;Air Superiority Doctrine;High;M49029;x
49021;Head of State;Juan Bosch;36;LWR;Die-hard Reformer;High;M49021;x
49022;Head of Government;Jesus de Galindez;36;LWR;Flamboyant Tough Guy;High;M49013;x
49098;Head of State;Hector Trujillo;52;PA;Insignificant Layman;High;M49067;x
