BEL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
15110;Chief of Army;Raoul van Overstraeten;38;SC;Guns and Butter Doctrine;Very High;M15110;x
15111;Chief of Army;Yvan Gérard;40;ML;Elastic Defence Doctrine;Very High;M15111;x
15112;Chief of Army;Charles Bastin;39;SD;Static Defence Doctrine;Very High;M15112;x
15113;Chief of Army;Jules Pire;43;SD;Armoured Spearhead Doctrine;Very High;M15051;x
15114;Chief of Navy;Fritz Conrad;36;NS;Indirect Approach Doctrine;Very High;M15018;x
15115;Chief of Air Force;Fritz Löb;36;NS;Army Aviation Doctrine;Very High;M15019;x
15116;Chief of Air Force;Jules Iserentant;37;SC;Air Superiority Doctrine;Very High;M15116;x
15117;Minister of Security;Auguste De Schrijver;36;SC;Compassionate Gentleman;Very High;M15117;x
15118;Head of State;Leopold III;37;ML;Benevolent Gentleman;NA;M15001;x
15119;Minister of Armament;Guy Bouthillier;41;SD;Theoretical Scientist;Very High;M15119;x
15120;Minister of Armament;Emile Francqui;36;ML;Laissez-Faire Capitalist;Very High;M15120;x
15121;Minister of Armament;Albert-Edouard Janssen;38;ML;Resource Industrialist;Very High;M15121;x
15122;Minister of Armament;Charles Pomaret;38;SD;Infantry Proponent;Very High;M15122;x
15123;Minister of Armament;Charles Régnier;36;SC;Air Superiority Proponent;Very High;M15123;x
15124;Minister of Armament;Edmond Rubbens;36;SC;Resource Industrialist;Very High;M15124;x
15125;Minister of Armament;Albert Wauters;39;SD;Military Entrepreneur;Very High;M15125;x
15126;Minister of Security;Antoine Delfosse;42;ML;Compassionate Gentleman;Very High;M15126;x
15127;Minister of Security;Victor Maistriau;37;ML;Silent Lawyer;Very High;M15127;x
15128;Minister of Armament;Louis Franck;36;SC;Resource Industrialist;Very High;M15128;x
15129;Minister of Armament;Hendrik Heyman;36;SC;Air to Ground Proponent;Very High;M15129;x
15130;Minister of Armament;Maurice Lippens;36;ML;Resource Industrialist;Very High;M15130;x
15131;Minister of Security;Philippe Van Isacker;36;SC;Crime Fighter;Very High;M15131;x
15132;Head of Government;Frans Van Cauwelaert;36;SC;Naive Optimist;Very High;M15132;x
15133;Foreign Minister;Frans Van Cauwelaert;36;SC;Ideological Crusader;Very High;M15132;x
15134;Head of State;Leopold III;36;PA;Benevolent Gentleman;Very High;M15001;x
15020;Head of State;Joseph Jacquemotte;36;LE;Weary Stiffneck;NA;M15020;x
15021;Head of Government;Joseph Jacquemotte;36;LE;Political Protege;NA;M15020;x
15022;Foreign Minister;War van Overstraeten;36;LE;Biased Intellectual;Very High;M15118;x
15023;Minister of Armament;Abraham Leon;36;LE;Resource Industrialist;Very High;M15023;x
15024;Minister of Security;Adhemar Hennaut;36;LE;Crime Fighter;Very High;unknown;x
15025;Head of Military Intelligence;Julien Lahaut;36;LE;Political Specialist;Very High;M15024;x
15026;Chief of Staff;Georges Vereecken;36;LE;School of Mass Combat;Very High;unknown;x
15027;Chief of Army;Georges Vereecken;36;LE;Elastic Defence Doctrine;Very High;unknown;x
15028;Chief of Navy;Georges Vereecken;36;LE;Undistinguished Suit;Very High;unknown;x
15029;Chief of Air Force;Georges Vereecken;36;LE;Undistinguished Suit;Very High;unknown;x
15135;Head of State;Leopold III;36;SL;Benevolent Gentleman;Very High;M15001;x
15136;Head of State;Karel;36;SL;Benevolent Gentleman;Very High;M15031;x
15137;Minister of Armament;Cyriel Van Overbergh;37;SC;Theoretical Scientist;High;M15137;x
15138;Head of Government;Georges Theunis;36;SC;Naive Optimist;High;M15138;x
15139;Minister of Armament;Georges Theunis;36;SC;Laissez-Faire Capitalist;High;M15138;x
15140;Minister of Armament;Gustaaf Sap;36;SC;Military Entrepreneur;High;M15140;x
15141;Head of Government;Joris Van Severen;36;FA;Flamboyant Tough Guy;Very High;M15141;x
15142;Head of Government;Charles Somville;36;FA;Flamboyant Tough Guy;Very High;M15142;x
15143;Foreign Minister;Emiel Thiers;36;FA;Great Compromiser;Very High;M15143;x
15144;Foreign Minister;Ward Hermans;36;FA;Biased Intellectual;Very High;M15144;x
15145;Foreign Minister;Pol Le Roy;36;FA;Ideological Crusader;Very High;M15145;x
15146;Minister of Armament;René Lambrichts;37;FA;Administrative Genius;Very High;M15146;x
15147;Minister of Armament;Joris Van Severen;36;FA;Military Entrepreneur;Very High;M15141;x
15148;Minister of Armament;Charles Somville;36;FA;Resource Industrialist;Very High;M15142;x
15149;Minister of Security;René Lambrichts;37;FA;Efficient Sociopath;Very High;M15146;x
15150;Minister of Security;Emiel Thiers;36;FA;Compassionate Gentleman;Very High;M15143;x
15151;Minister of Security;Jan Rijckoort;36;FA;Man of the People;Very High;M15151;x
15152;Minister of Security;Ward Hermans;36;FA;Silent Lawyer;Very High;M15144;x
15153;Head of Military Intelligence;Joris Van Severen;36;FA;Logistics Specialist;Very High;M15141;x
15154;Head of Military Intelligence;Jan Rijckoort;36;FA;Political Specialist;Very High;M15151;x
15155;Chief of Staff;Joris Van Severen;36;FA;School of Psychology;Very High;M15141;x
15156;Minister of Armament;Alexandre Galopin;36;ML;Administrative Genius;Very High;M15156;x
15158;Head of State;Boudewijn I;50;SL;Autocratic Charmer;High;M15158;x
15159;Head of State;Boudewijn I;50;ML;Autocratic Charmer;High;M15158;x
15160;Head of Government;Jean Duvieusart;50;SC;Political Protege;NA;M15070;x
15161;Head of Government;Joseph Pholien;50;SC;Backroom Backstabber;NA;M15079;x
15162;Head of Government;Jean van Houtte;53;SC;Naive Optimist;NA;M15162;x
15163;Minister of Armament;B.E.M. de Fraiteur;46;SL;Military Entrepreneur;High;M15101;x
15165;Minister of Armament;Etienne de Greef;50;ML;Resource Industrialist;High;M15165;x
15167;Minister of Security;Albert de Vleeschauwer;49;SC;Silent Lawyer;Very High;M15069;x
15168;Minister of Security;Maurice Brasseur;50;ML;Man of the People;Very High;M15168;x
15169;Minister of Security;Ludovic Moyersoen;52;SC;Prince of Terror;Very High;M15169;x
15170;Minister of Armament;Auguste Buisseret;49;SC;Laissez-Faire Capitalist;Very High;M15087;x
15171;Minister of Armament;Oscar Behogne;49;ML;Resource Industrialist;High;M15171;x
15172;Minister of Armament;Léon-Eli Troclet;47;SD;Resource Industrialist;Very High;M15172;x
15173;Minister of Armament;B.E.M. de Fraiteur;70;SL;Infantry Proponent;High;M15101;x
15174;Minister of Security;Pierre Vermeylen;47;SL;Silent Lawyer;Very High;M15102;x
15175;Minister of Armament;Jean van Houtte;50;SC;Laissez-Faire Capitalist;Very High;M15162;x
