FLA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
510089;Minister of Security;Reimond Tollenaere;39;NS;Prince of Terror;Very High;M15082;x
510090;Minister of Security;Richard Jungclaus;41;NS;Efficient Sociopath;Very High;M510047;x
510091;Minister of Security;Seraf Trio;40;NS;Man of the People;Very High;M510073;x
510092;Minister of Security;Walter Lampaert;41;NS;Crime Fighter;Very High;M510052;x
510093;Head of State;Leopold III;36;SC;Benevolent Gentleman;Very High;M15001;x
510094;Head of Government;Frans Van Cauwelaert;36;SC;Naive Optimist;Very High;M15132;x
510095;Foreign Minister;Frans Van Cauwelaert;36;SC;Ideological Crusader;Very High;M15132;x
510096;Head of State;Leopold III;36;PA;Benevolent Gentleman;Very High;M15001;x
510097;Head of Government;Staf de Clercq;36;PA;Flamboyant Tough Guy;Very High;M15033;x
510098;Foreign Minister;Staf de Clercq;36;PA;Biased Intellectual;Very High;M15033;x
510099;Foreign Minister;August Borms;36;FA;Ideological Crusader;Very High;M510099;x
510100;Foreign Minister;Clemens De Landtsheer;36;SC;Ideological Crusader;Very High;M510100;x
510101;Head of State;Camille Huysmans;36;SD;Benevolent Gentleman;Very High;M15038;x
510102;Head of Government;Camille Huysmans;36;SD;Happy Amateur;NA;M15038;x
510103;Head of Government;Achille Van Acker;39;SD;Corporate Suit;NA;M15041;x
510104;Minister of Armament;Hendrik de Man;36;SL;Administrative Genius;Very High;M15056;x
510105;Minister of Armament;Franz de Voghel;45;ML;Laissez-Faire Capitalist;Very High;M15067;x
510106;Minister of Armament;Albert de Vleeschauwer;46;SC;Resource Industrialist;Very High;M15069;x
510107;Minister of Security;Albert Janssen;36;SC;Compassionate Gentleman;Very High;M15071;x
510108;Minister of Security;Paul Hymans;36;SL;Compassionate Gentleman;Very High;M15073;x
510109;Minister of Security;Adolphe Van Glabbeke;45;SC;Man of the People;Very High;M15086;x
510110;Minister of Security;Paul Struye;47;SC;Man of the People;Very High;M15090;x
510111;Head of Military Intelligence;Herman Vos;44;SD;Political Specialist;Very High;M15099;x
510112;Head of Military Intelligence;Pierre Vermeylen;47;SC;Technical Specialist;Very High;M15102;x
510113;Chief of Staff;Oscar Michiels;40;SC;School of Mass Combat;Very High;M15107;x
510114;Chief of Army;Raoul van Overstraeten;38;SC;Guns and Butter Doctrine;Very High;M15110;x
510115;Minister of Armament;Edmond Rubbens;36;SC;Resource Industrialist;Very High;M15124;x
510116;Minister of Armament;Albert Wauters;39;SD;Military Entrepreneur;Very High;M15125;x
510117;Minister of Armament;Louis Franck;36;SC;Resource Industrialist;Very High;M15128;x
510118;Minister of Armament;Hendrik Heyman;36;SC;Air to Ground Proponent;Very High;M15129;x
510119;Minister of Armament;Maurice Lippens;36;ML;Resource Industrialist;Very High;M15130;x
510120;Minister of Security;Philippe Van Isacker;36;SC;Crime Fighter;Very High;M15131;x
510121;Minister of Armament;Cyriel Van Overbergh;37;SC;Theoretical Scientist;High;M15137;x
510122;Minister of Armament;Gustaaf Sap;36;SC;Military Entrepreneur;High;M15140;x
510123;Chief of Navy;G. Timmermans;36;SC;Indirect Approach Doctrine;Very High;M15009;x
510124;Chief of Air Force;L.F.E. Wouters;36;SC;Vertical Envelopment Doctrine;Very High;M15010;x
