USA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
6091;Minister of Armament;Frederick Vinson;45;ML;Resource Industrialist;Very High;M6091;x
6092;Minister of Armament;Louis Johnson;45;ML;Battle Fleet Proponent;High;M6092;x
6093;Minister of Armament;Norman H. Davis;46;ML;laissez-faire capitalist;Very High;M6093;x
6094;Minister of Armament;William D. Pelley;36;FA;Air to Sea Proponent;Very High;M6094;x
6095;Minister of Armament;Francis Townsend;40;PA;Resource Industrialist;Very High;M6095;x
6096;Minister of Armament;Henry Ford;40;PA;Administrative Genius;Very High;M6014;x
6097;Minister of Armament;William F. Lemke;44;PA;Theoretical Scientist;High;M6097;x 
6098;Minister of Armament;Wyndham Mortimer;36;LWR;Resource Industrialist;Low;M6098;x
6099;Minister of Armament;Elizabeth Gurley Flynn;38;ST;Battle Fleet Proponent;Very High;M6099;x
6100;Minister of Armament;Upton Sinclair;40;ST;Air to Ground Proponent;High;M6100;x 
6101;Minister of Armament;Lemart Harris;44;LWR;Resource Industrialist;Very High;M6101;x
6102;Minister of Armament;Walther Reuther;46;LWR;Resource Industrialist;Very High;M6102;x
6104;Minister of Security;Victor Selden Clark;40;SL;Compassionate Gentleman;Very High;M6104;x
6105;Minister of Security;Henry Chalmers;44;SD;Man of the People;Very High;M6105;x
6106;Minister of Security;Francis B. Biddle;44;SL;Prince of Terror;Very High;M6106;x
6107;Minister of Security;Frank Murphy;36;ML;Crime Fighter;Very High;M6107;x
6108;Minister of Security;Robert H. Jackson;39;ML;Silent Lawyer;Very High;M6108;x
6110;Minister of Security;Hugh Simons Gibson;44;ML;Compassionate Gentleman;Very High;M6110;x
6111;Minister of Security;Fritz Kuhn;36;FA;Prince of Terror;Medium;M6011;x
6112;Minister of Security;Dr. Samuel Green;40;FA;Man of the People;Medium;M6054;x
6113;Minister of Security;Samuel Roper;44;PA;Back Stabber;Medium;M6113;x
6114;Minister of Security;William Aalto;36;LWR;Back Stabber;Medium;M6114;x
6115;Minister of Security;Charles Chaplin;37;LWR;Man of the People;Medium;M6115;x
6116;Minister of Security;Raymond Charles Moley;39;LE;Prince of Terror;Low;M6116;x
6117;Minister of Security;John Abt;40;LE;Efficient Sociopath;Medium;M6029;x
6118;Minister of Security;Daniel Hoan;42;LWR;Silent Lawyer;Medium;M6025;x
6119;Minister of Security;Jessica Smith;44;LE;Compassionate Gentleman;Medium;M6119;x
6120;Head of Military Intelligence;Henry J. Kaiser;42;SL;Industrial Specialist;High;M6082;x
6123;Head of Military Intelligence;Adolf Berle;39;SL;Political Specialist;Very High;M6123;x
6124;Head of Military Intelligence;Vincent Astor;37;SL;Dismal Enigma;Very High;M6124;x
6125;Head of Military Intelligence;J. Edgar Hoover;44;SL;Political Specialist;Very High;M6005;x
6126;Head of Military Intelligence;Sidney Souers;45;SD;Naval Intelligence Specialist;Very High;M6126;x
6127;Head of Military Intelligence;Roscoe H. Hillenkoetter;47;SL;Dismal Enigma;Very High;M6127;x
6128;Head of Military Intelligence;William J. Donovan;40;ML;Political Specialist;High;M6128;x
6130;Head of Military Intelligence;Hoyt S. Vandenberg;42;ML;Technical Specialist;High;M6130;x
6131;Head of Military Intelligence;Henry Cabot Lodge;44;ML;Dismal Enigma;High;M6131;x
6132;Head of Military Intelligence;Dr. Hiram W. Evans;36;FA;Political Specialist;High;M6132;x
6133;Head of Military Intelligence;Dr. James A. Colescott;40;FA;Political Specialist;High;M6016;x
6134;Head of Military Intelligence;Harry Haywood;36;LE;Dismal Enigma;High;M6026;x
6136;Chief of Staff;George C. Marshall;39;SL;School of Fire Support;High;M6064;x
6137;Chief of Staff;Dwight D. Eisenhower;42;ML;School of Manoeuvre;High;M6137;x
6140;Chief of Staff;Parker Sage;36;FA;School of Defence;High;M6017;x
6141;Chief of Staff;Hans Amlie;36;ST;School of Defence;High;M6027;x
6143;Chief of Army;David McKenzie Key;40;SD;Static Defence Doctrine;High;M6143;x
6144;Chief of Army;George C. Marshall;39;SL;Decisive Battle Doctrine;High;M6064;x
6145;Chief of Army;Omar N. Bradley;44;SD;Armoured Spearhead Doctrine;High;M6145;x
6147;Chief of Army;Dwight D. Eisenhower;42;ML;Guns and Butter Doctrine;High;M6137;x
6148;Chief of Army;Kenneth Althaus;36;NS;Armoured Spearhead Doctrine;High;M6018;x
6149;Chief of Army;Oliver Law;36;ST;Decisive Battle Doctrine;High;M6149;x
6150;Chief of Army;Steve Nelson;40;ST;Static Defence Doctrine;High;M6150;x
6151;Chief of Army;Robert Merriman;44;ST;Armoured Spearhead Doctrine;High;M6028;x
6153;Chief of Navy;Frank Knox;40;SL;Base Control Doctrine;High;M6048;x
6154;Chief of Navy;Charles Edison;40;SD;Open Seas Doctrine;High;M6154;x
6155;Chief of Navy;James V. Forrestal;44;SL;Decisive Naval Battle Doctrine;High;M6155;x
6156;Chief of Navy;Chester W. Nimitz;41;SL;Power Projection Doctrine;High;M6156;x
6157;Chief of Navy;William C. Bullitt;47;SL;Base Control Doctrine;High;M6157;x
6158;Chief of Navy;William H. Standley;36;SL;Base Control Doctrine;High;M6158;x
6159;Chief of Navy;Harold R. Stark;39;SL;Open Seas Doctrine;High;M6159;x
6160;Chief of Navy;Andrew J. Higgins;43;ML;Base Control Doctrine;High;M6160;x
6161;Chief of Navy;Henry J. Kaiser;40;ML;Open Seas Doctrine;High;M6082;x
6162;Chief of Navy;William D. Leahy;36;ML;Decisive Naval Battle Doctrine;Very High;M6162;x
6163;Chief of Navy;Ernest J. King;41;ML;Power Projection Doctrine;High;M6163;x
6164;Chief of Navy;Dr. James A. Colescott;36;NS;Open Seas Doctrine;High;M6016;x
6165;Chief of Navy;John Abt;36;ST;Base Control Doctrine;Medium;M6029;x
6167;Chief of Air Force;Henry H. Arnold;38;ML;Carpet Bombing Doctrine;High;M6167;x
6171;Chief of Air Force;Leroy Grumman;44;ML;Naval Aviation Doctrine;High;M6080;x
6172;Chief of Air Force;Charles Lindbergh;36;FA;Air Superiority Doctrine;High;M6020;x
6173;Chief of Air Force;Nathan B. Forrest III;40;NS;Army Aviation Doctrine;High;M6173;x
6174;Chief of Air Force;Martin J. Monti;43;FA;Naval Aviation Doctrine;High;M6174;x
6175;Chief of Air Force;John Abt;36;ST;Army Aviation Doctrine;Medium;M6029;x
6176;Chief of Staff;William D. Leahy;41;ML;School of Manoeuvre;Very High;M6162;x
6177;Minister of Armament;Averell H. Harriman;46;SD;Resource Industrialist;High;M6177;x
6178;Chief of Navy;Thomas C. Hart;40;ML;Decisive Naval Battle Doctrine;Medium;L60417;x
6179;Chief of Air Force;Carl A. Spaatz;42;ML;Army Aviation Doctrine;Very High;L60557;x
6180;Chief of Air Force;Ira C. Eaker;44;SL;Carpet Bombing Doctrine;Very High;L60506;x
6181;Chief of Staff;Douglas MacArthur;36;ML;School of Psychology;High;L60250;x
6182;Chief of Army;Douglas MacArthur;36;ML;Elastic Defence Doctrine;High;L60250;x
6183;Chief of Navy;Robert L. Ghormley;36;ML;Open Seas Doctrine;Very High;L60406;x
6184;Head of Military Intelligence;Frank B. Rowlett;36;SL;Naval Intelligence Specialist;High;M6184;x
6024;Minister of Armament;Joseph P. Lash;36;LWR;Resource Industrialist;Very High;M6024;x
6185;Head of Government;Fritz Kuhn;36;FA;Naive Optimist;High;M6011;x
6186;Head of State;William F. Lemke;36;PA;Barking Buffoon;Medium;M6097;x 
6187;Head of Government;Dennis Lawrence;36;SC;Happy Amateur;Medium;M6187;x
6188;Minister of Security;Gerald K. Smith;36;PA;Back Stabber;Low;M6040;x
6189;Head of State;Charles Lindbergh;40;PA;Pig-headed Isolationist;Very High;M6020;x
6190;Head of Government;Robert E. Wood;40;PA;Silent Workhorse;Very High;M6190;x
6191;Minister of Security;Gerald B. Winrod;40;PA;Efficient Sociopath;Very High;M6191;x
6192;Chief of Staff;Robert E. Wood;36;PA;School of Defence;High;M6190;x
6193;Chief of Staff;Walter Bedell-Smith;42;SL;School of Fire Support;Very High;L60031;x
6194;Chief of Army;Mark Clark;45;SL;Decisive Battle Doctrine;Very High;L60098;x
6195;Chief of Staff;Joe L. Collins;45;SL;School of Manoeuvre;Very High;L60105;x
6196;Chief of Army;Joseph Stilwell;44;SL;Decisive Battle Doctrine;Very High;L60341;x
6197;Chief of Navy;William Halsey;44;SL;Power Projection Doctrine;Very High;L60414;x
6198;Minister of Armament;Dean Acheson;44;SL;laissez-faire capitalist;Very High;M6198;x
6199;Minister of Armament;Harold Ickes;36;SL;Resource Industrialist;Very High;M6199;x
6200;Minister of Security;Archibald MacLeish;39;LWR;Man of the People;Medium;M6200;x
6201;Foreign Minister;Archibald MacLeish;39;LWR;Biased Intellectual;Medium;M6200;x
6202;Minister of Security;Burton K. Wheeler;36;PA;Efficient Sociopath;Medium;M6202;x
6203;Foreign Minister;Thomas Connally;41;SL;Ideological Crusader;High;M6203;x
6204;Minister of Security;Charles E. Hughes;36;SC;Efficient Sociopath;Medium;M6204;x
6205;Minister of Security;Hugo Black;37;SL;Compassionate Gentleman;High;M6205;x
6206;Minister of Armament;Robert F. Wagner;36;SL;laissez-faire capitalist;Very High;M6206;x
6207;Minister of Armament;Henry L. Stimson;40;SL;Infantry Proponent;Very High;M6061;x
6208;Head of State;Dwight D. Eisenhower;52;ML;Resigned Generalissimo;High;M6208;x
6209;Head of State;Adlai Stevenson;52;SL;Benevolent Gentleman;High;M6209;x
6210;Head of Government;Earl Warren;48;ML;Naive Optimist;High;M6210;x
6211;Head of Government;Richard M. Nixon;52;ML;Backroom Backstabber;High;M6211;x
6212;Head of Government;John Sparkman;52;SL;Corporate Suit;High;M6212;x
6213;Foreign Minister;Dean Acheson;49;SL;Biased Intellectual;High;M6072;x
6214;Foreign Minister;Allen Tate;48;ML;Apologetic Clerk;High;M6214;x
6215;Foreign Minister;John Foster Dulles;52;ML;Iron Fisted Brute;High;M6215;x
6216;Foreign Minister;Culbert Levy Olson;52;SL;Great Compromiser;High;M6216;x
6217;Minister of Armament;John W. Snyder;48;SL;Theoretical Scientist;High;M6217;x
6218;Minister of Armament;Joseph Bracken Lee;48;ML;Infantry Proponent;High;M6218;x
6219;Minister of Armament;George M. Humphrey;52;ML;Administrative Genius;High;M6219;x
6220;Minister of Armament;Herbert R. O'Connor;52;SL;Submarine Proponent;High;M6220;x
6221;Minister of Security;Julius A. Krug;48;SL;Silent Lawyer;Very High;M6221;x
6222;Minister of Security;Oscar L. Chapman;51;SL;Man of the People;Very High;M6222;x
6223;Minister of Security;Gordon J. Knight;48;ML;Back Stabber;Very High;M6223;x
6224;Minister of Security;Douglas McKay;52;ML;Prince of Terror;Very High;M6224;x
6225;Minister of Security;Frank J. Lausche;52;SL;Compassionate Gentleman;Very High;M6225;x
6226;Head of Military Intelligence;Walter Bedell-Smith;50;SL;Logistics Specialist;Very High;L60031;x
6227;Head of Military Intelligence;John Howard Pyle;48;ML;Industrial Specialist;Very High;M6227;x
6228;Head of Military Intelligence;Allen W. Dulles;52;ML;Dismal Enigma;Very High;M6228;x
6229;Head of Military Intelligence;William Preston Lane;52;SL;Industrial Specialist;Very High;M6229;x
6230;Chief of Staff;Omar N. Bradley;48;ML;School of Mass Combat;High;M6145;x
6231;Chief of Army;J. Lawton Collins;48;ML;Decisive Battle Doctrine;High;L60105;x
6232;Chief of Navy;Louis E.Denfeld;48;ML;Open Seas Doctrine;High;M6232;x
6233;Chief of Navy;Forrest P. Sherman;49;ML;Indirect Approach Doctrine;High;L60464;x
6234;Chief of Navy;William R. Fechteler;51;ML;Power Projection Doctrine;High;L60402;x
6235;Chief of Air Force;Hoyt Vandenberg;48;ML;Vertical Envelopment Doctrine;Medium;M6235;x
6236;Head of State;Douglas MacArthur;52;SC;Resigned Generalissimo;Medium;L60250;x
6237;Head of Military Intelligence;Charles Willoughby;52;PA;Dismal Enigma;High;M6237;x
6238;Minister of Security;Joseph McCarthy;52;ML;Man of the People;High;M6238;x
6239;Head of Government;Joseph McCarthy;52;ML;Political Protege;High;M6238;x
6240;Foreign Minister;Christian A. Herter;59;ML;Apologetic Clerk;High;M6240;x
6241;Head of State;Richard M. Nixon;60;ML;Ruthless Powermonger;High;M6211;x
6242;Head of State;John F. Kennedy;60;SL;Autocratic Charmer;High;M6242;x
6243;Head of Government;Henry Cabot Lodge jr.;60;ML;Political Protege;High;M6243;x
6244;Head of Government;Lyndon B. Johnson;60;SL;Ambitious Union Boss;High;M6244;x
6245;Head of Government;Estes Kefauver;56;SL;Backroom Backstabber;High;M6245;x
6246;Foreign Minister;Strom Thurmond;60;SC;Iron Fisted Brute;High;M6051;x
6247;Foreign Minister;Dean Rusk;60;SL;Ideological Crusader;High;M6247;x
6248;Minister of Armament;Robert B. Anderson;56;ML;Resource Industrialist;High;M6248;x
6249;Minister of Armament;Robert A. Lovett;56;SL;Military Entrepreneur;High;M6249;x
6250;Minister of Armament;C. Douglas Dillon;60;SL;Submarine Proponent;High;M6250;x
6251;Minister of Armament;Nelson A. Rockefeller;60;ML;laissez-faire capitalist;High;M6251;x
6252;Head of Military Intelligence;Peter C. Reilly;56;SL;Political Specialist;Very High;M6252;x
6253;Head of Military Intelligence;John A. McCone;60;SL;Technical Specialist;Very High;M6253;x
6254;Head of State;Lyndon B. Johnson;63;SL;Stern Imperialist;High;M6244;x
6255;Head of Government;Hubert Humphrey;63;SL;Silent Workhorse;High;M6255;x
6256;Chief of Staff;Arthur W. Radford;54;ML;School of Psychology;High;M6256;x
6257;Chief of Staff;Nathan F. Twining;57;ML;School of Fire Support;High;L60560;x
6258;Chief of Staff;Lyman L. Lemnitzer;60;SL;School of Mass Combat;High;L60244;x
6259;Chief of Staff;Maxwell D. Taylor;62;SL;School of Manoeuvre;High;L60348;x
6260;Chief of Army;Matthew B. Ridgway;53;ML;Guns and Butter Doctrine;High;L60311;x
6261;Chief of Army;Maxwell D. Taylor;55;ML;Elastic Defence Doctrine;High;L60348;x
6262;Chief of Army;Lyman L. Lemnitzer;59;ML;Armoured Spearhead Doctrine;High;L60244;x
6263;Chief of Army;George H. Decker;60;SL;Decisive Battle Doctrine;High;L60127;x
6264;Chief of Army;Earle G. Wheeler;62;SL;Static Defence Doctrine;High;L60368;x
6265;Chief of Navy;Robert B. Carney;53;ML;Indirect Approach Doctrine;High;M6265;x
6266;Chief of Navy;Arleigh A. Burke;55;ML;Decisive Naval Battle Doctrine;High;L60386;x
6267;Chief of Navy;George W. Anderson;61;SL;Open Seas Doctrine;High;L60380;x
6268;Chief of Navy;David L. McDonald;63;SL;Power Projection Doctrine;High;M6268;x
6269;Chief of Air Force;Nathan F. Twining;53;ML;Air Superiority Doctrine;Medium;L60560;x
6270;Chief of Air Force;Thomas D. White;57;ML;Army Aviation Doctrine;Medium;L60370;x
6271;Chief of Air Force;Curtis LeMay;61;SC;Carpet Bombing Doctrine;Medium;L60532;x
