JAP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
5085;Minister of Armament;Kishi Nobusuke;42;PA;Theoretical Scientist;Medium;M5085;x
5086;Minister of Armament;Toyoda Teijiro;43;PA;Air to Ground Proponent;Medium;M5061;x
5087;Minister of Armament;Sakonji Seizo;44;PA;Submarine Proponent;Medium;M5087;x
5088;Minister of Armament;Terauchi Hisaichi;46;PA;Tank Proponent;High;M5039;x
5089;Minister of Armament;Yonai Mitsumasa;47;PA;Battle Fleet Proponent;High;M5036;x
5090;Minister of Armament;Shoda Kazue;36;FA;Military Entrepreneur;High;M5090;x
5091;Minister of Armament;Kobayashi Ichizo;41;FA;Resource Industrialist;High;M5083;x
5092;Minister of Armament;Tojo Hideki;42;FA;Infantry Proponent;Medium;M5042;x
5093;Minister of Armament;Nakajima Chikuhei;45;FA;Air to Sea Proponent;Medium;M5093;x
5094;Minister of Armament;Kato Sotomatsu;43;FA;Tank Proponent;Medium;M5094;x
5095;Minister of Armament;Tokuda Kyuichi;36;LWR;Resource Industrialist;Low;M5014;x
5096;Minister of Security;Yamamoto Tatsuo;36;SD;Compassionate Gentleman;High;M5096;x
5097;Minister of Security;Goto Fumio;41;SD;Silent Lawyer;High;M5005;x
5098;Minister of Security;Kimura Kozaemon;45;SD;Man of the People;High;M5098;x
5099;Minister of Security;Kawarada Kakichi;36;SC;Man of the People;High;M5099;x
5100;Minister of Security;Obara Naoshi;39;SC;Back Stabber;Medium;M5100;x
5101;Minister of Security;Omura Seiichi;45;SC;Silent Lawyer;Very High;M5101;x
5102;Minister of Security;Horikiri Zenjiro;45;SC;Crime Fighter;Medium;M5102;x
5103;Minister of Security;Yamazaki Iwao;45;SC;Man of the People;Medium;M5103;x
5105;Minister of Security;Ushio Shigenosuke;36;PA;Crime Fighter;Very High;M5105;x
5106;Minister of Security;Suetsugu Nobumasa;37;PA;Silent Lawyer;Medium;M5106;x
5107;Minister of Security;Baba Eiichi;37;PA;Prince of Terror;Medium;M5107;x
5108;Minister of Security;Kido Koichi;38;PA;Crime Fighter;Medium;M5108;x
5110;Minister of Security;Yasui Eiji;41;PA;Crooked Kleptocrat;High;M5110;x
5111;Minister of Security;Kobayashi Seizo;42;PA;Man of the People;High;M5111;x
5112;Minister of Security;Tanabe Harumichi;43;PA;Man of the People;Medium;M5112;x
5113;Minister of Security;Yusawa Michio;44;PA;Silent Lawyer;Medium;M5113;x
5114;Minister of Security;Abe Genki;46;PA;Silent Lawyer;Medium;M5114;x
5115;Minister of Security;Fujie Keisuke;36;FA;Prince of Terror;Medium;M5115;x
5116;Minister of Security;Nakajima Kesago;37;FA;Man of the People;Medium;M5116;x
5117;Minister of Security;Tanaka Seiichi;38;FA;Back Stabber;Medium;M5117;x
5118;Minister of Security;Hirabayashi Morito;39;FA;Silent Lawyer;Medium;M5118;x
5119;Minister of Security;Hiranuma Kiichiro;40;FA;Prince of Terror;Medium;M5041;x
5120;Minister of Security;Teshima Fusataro;40;FA;Crime Fighter;Medium;M5120;x
5121;Minister of Security;Kodama Hideo;41;FA;Silent Lawyer;Low;M5109;x
5122;Minister of Security;Nakamura Aketo;41;FA;Crime Fighter;Medium;M5122;x
5123;Minister of Security;Tojo Hideki;42;FA;Prince of Terror;Medium;M5042;x
5124;Minister of Security;Kato Hakujiro;43;FA;Man of the People;Medium;M5124;x
5125;Minister of Security;Odachi Shigeo;44;FA;Man of the People;Medium;M5125;x
5126;Minister of Security;Iimura Jo;45;FA;Crime Fighter;Medium;M5126;x
5127;Minister of Security;Nosaka Sanzo;36;LE;Man of the People;Very High;M5015;x
5128;Head of Military Intelligence;Nosako Sanzo;37;SD;Industrial Specialist;Low;M5011;x
5129;Head of Military Intelligence;Katayama Tetsu;45;SD;Naval Intelligence Specialist;Medium;M5027;x
5130;Head of Military Intelligence;Ugaki Kazushige;36;SC;Political Specialist;Medium;M5028;x
5131;Head of Military Intelligence;Machida Chuji;36;SC;Technical Specialist;High;M5004;x
5132;Head of Military Intelligence;Ogawa Gotaro;36;SC;Dismal Enigma;Medium;M5072;x
5133;Head of Military Intelligence;Horikiri Zenjiro;42;SC;Logistics Specialist;Medium;M5102;x
5134;Head of Military Intelligence;Takasu Shiro;36;PA;Industrial Specialist;Medium;M5134;x
5135;Head of Military Intelligence;Nomura Naokuni;37;PA;Naval Intelligence Specialist;Medium;M5135;x
5136;Head of Military Intelligence;Kano Jigoro;38;PA;Dismal Enigma;Medium;M5136;x
5137;Head of Military Intelligence;Oka Takazumi;38;PA;Logistics Specialist;Medium;M5137;x
5138;Head of Military Intelligence;Maeda Minoru;40;PA;Technical Specialist;Medium;M5138;x
5139;Head of Military Intelligence;Suzuki Kantaro;45;PA;Political Specialist;Medium;M5037;x
5141;Head of Military Intelligence;Honma Masaharu;37;FA;Dismal Enigma;Medium;M5141;x
5142;Head of Military Intelligence;Higuchi Kiichiro;38;FA;Logistics Specialist;Medium;M5142;x
5143;Head of Military Intelligence;Araki Sadao;39;FA;Naval Intelligence Specialist;Medium;M5143;x
5144;Head of Military Intelligence;Tsuchihashi Yuitsu;40;FA;Technical Specialist;Medium;M5144;x
5145;Head of Military Intelligence;Koiso Kuniaki;43;FA;Industrial Specialist;Medium;M5043;x
5146;Head of Military Intelligence;Miyamoto Kenji;36;LE;Industrial Specialist;Medium;M5012;x
5147;Chief of Staff;Tasuku Nakazawa;37;SD;School of Psychology;Very Low;M5147;x
5148;Chief of Staff;Osamura Kajika;47;SD;School of Fire Support;Very Low;M5148;x
5149;Chief of Staff;Hirotsugu Hayashida;36;SC;School of Fire Support;Very Low;M5149;x
5150;Chief of Staff;Kanichiro Tashiro;36;SC;School of Psychology;Very Low;M5150;x
5151;Chief of Staff;Kazuo Tanigawa;45;SC;School of Mass Combat;Very Low;M5151;x
5153;Chief of Staff;Abe Nobuyuki;41;PA;School of Fire Support;Medium;M5035;x
5154;Chief of Staff;Mikawa Gunichi;45;PA;School of Psychology;Medium;M5154;x
5155;Chief of Staff;Sugiyama Hajime;36;FA;School of Defence;Medium;M5155;x
5156;Chief of Staff;Tojo Hideki;41;FA;School of Psychology;Medium;M5042;x
5157;Chief of Staff;Umezu Yoshijiro;44;FA;School of Fire Support;Medium;M5157;x
5158;Chief of Staff;Ryonosuke Kusaka;36;LWR;School of Defence;Medium;M5017;x
5159;Chief of Army;Imai Takeo;37;SD;Elastic Defence Doctrine;Medium;M5018;x
5160;Chief of Army;Inanba Satoru;36;SC;Guns and Butter Doctrine;Medium;M5160;x
5161;Chief of Army;Tsuchihashi Yuitsu;45;SC;Decisive Battle Doctrine;Medium;M5144;x
5163;Chief of Army;Fujioka Takeo;41;PA;Elastic Defence Doctrine;Very Low;M5163;x
5164;Chief of Army;Aotsu Kikutara;45;PA;Guns and Butter Doctrine;Very Low;M5164;x
5165;Chief of Army;Sugiyama Hajime;36;FA;Decisive Battle Doctrine;Medium;M5155;x
5166;Chief of Army;Tojo Hideki;41;FA;Elastic Defence Doctrine;Medium;M5042;x
5167;Chief of Army;Umezu Yoshijiro;44;FA;Guns and Butter Doctrine;Medium;M5157;x
5169;Chief of Navy;Kawai Akira;37;SD;Open Seas Doctrine;Medium;M5019;x
5170;Chief of Navy;Shimada Shigetaro;36;SC;Open Seas Doctrine;Medium;M5170;x
5171;Chief of Navy;Toyoda Soemu;44;FA;Decisive Naval Battle Doctrine;Medium;M5171;x
5172;Chief of Navy;Fujita Hisanori;36;PA;Decisive Naval Battle Doctrine;Medium;M5172;x
5173;Chief of Navy;Nagano Osami;41;PA;Power Projection Doctrine;Medium;M5173;x
5175;Chief of Navy;Oikawa Koshiro;44;PA;Base Control Doctrine;Medium;M5175;x
5179;Chief of Air Force;Fukui Yoshi;36;SD;Air Superiority Doctrine;Medium;M5020;x
5180;Chief of Air Force;Inoue Shigeyoshi;36;SC;Naval Aviation Doctrine;Medium;M5180;x
5181;Chief of Air Force;Tsukahara Nishizou;41;SC;Air Superiority Doctrine;Medium;M5181;x
5183;Chief of Air Force;Oikawa Koshiro;36;PA;Naval Aviation Doctrine;Medium;M5175;x
5184;Chief of Air Force;Higashikuni Naruhiko;37;PA;Carpet Bombing Doctrine;Medium;M5038;x
5185;Chief of Air Force;Toyoda Teijiro;38;PA;Vertical Envelopment Doctrine;Medium;M5061;x
5188;Chief of Air Force;Wada Misao;45;PA;Vertical Envelopment Doctrine;Medium;M5182;x
5189;Chief of Air Force;Hata Shunroku;36;FA;Army Aviation Doctrine;Medium;M5189;x
5191;Chief of Air Force;Tojo Hideki;38;FA;Army Aviation Doctrine;Medium;M5042;x
5192;Chief of Air Force;Yamashita Tomoyuki;40;FA;Carpet Bombing Doctrine;Medium;M5192;x
5193;Chief of Air Force;Doihara Kenji;41;FA;Naval Aviation Doctrine;Medium;M5193;x
5194;Chief of Air Force;Anami Korechika;42;FA;Vertical Envelopment Doctrine;Medium;M5194;x
5195;Chief of Air Force;Ushiroku Jun;43;FA;Army Aviation Doctrine;Medium;M5195;x
5196;Chief of Air Force;Sugawara Michio;44;FA;Air Superiority Doctrine;Medium;M5196;x
5197;Chief of Air Force;Kawabe Masakazu;45;PA;Army Aviation Doctrine;Medium;M5197;x
5199;Foreign Minister;Tojo Hideki;42;FA;General Staffer;Medium;M5042;x
5200;Chief of Navy;Yamamoto Isoroku;38;FA;Power Projection Doctrine;Very High;M5010;x
5201;Chief of Navy;Koga Mineichi;43;FA;Decisive Naval Battle Doctrine;Very High;L101243;x
5202;Chief of Navy;Ozawa Jisaburo;37;PA;Open Seas Doctrine;High;L101273;x
5203;Head of Government;Konoe Fumimaro;40;PA;Flamboyant Tough Guy;High;M5034;x
5206;Foreign Minister;Suzuki Kantaro;45;PA;Biased Intellectual;High;M5037;x
5207;Head of State;Hirohito;36;SD;Benevolent Gentleman;High;M5001;x
5208;Head of State;Hirohito;36;ML;Benevolent Gentleman;High;M5001;x
5209;Head of Government;Ashida Hitoshi;48;SL;Smiling Oilman;High;M5046;x
5210;Minister of Security;Ishibashi Tanzan;48;SC;Silent Lawyer;Medium;M5210;x
5211;Head of Government;Ishibashi Tanzan;56;SC;Silent Workhorse;High;M5210;x
5212;Head of Government;Kishi Nobusuke;57;SC;Backroom Backstabber;High;M5085;x
5213;Head of Government;Ikeda Hayato;60;SC;Corporate Suit;High;M5213;x
5214;Head of Government;Suehiro Nishio;60;SD;Flamboyant Tough Guy;High;M5214;x
5215;Foreign Minister;Kanichiro Kubota;54;SD;Iron Fisted Brute;Medium;M5215;x
5216;Foreign Minister;Kishi Nobusuke;56;SC;Ideological Crusader;Medium;M5085;x
5217;Foreign Minister;Fujiyama Aiichiro;57;SC;Apologetic Clerk;Medium;M5217;x
5218;Foreign Minister;Kosaka Zentaro;60;SC;Biased Intellectual;Medium;M5218;x
5219;Foreign Minister;Ohira Masayoshi;62;SC;The Cloak N Dagger Schemer;Medium;M5219;x
5220;Minister of Armament;Ikeda Hayato;50;SC;Infantry Proponent;High;M5213;x
5221;Minister of Armament;Mukai Tadaharu;52;SC;Strategic Air Proponent;High;M5221;x
5222;Minister of Armament;Ichimada Hisato;54;SC;Submarine Proponent;High;M5222;x
5223;Minister of Armament;Sato Eisaku;58;SC;Administrative Genius;High;M5223;x
5224;Minister of Armament;Mizuta Mikio;60;SC;Resource Industrialist;High;M5224;x
5225;Minister of Armament;Tanaka Kakuei;62;SC;Corrupt Kleptocrat;High;M5225;x
5226;Minister of Armament;Suehiro Nishio;57;SD;Military Entrepreneur;Medium;M5214;x
5227;Minister of Armament;Usami Makoto;60;SD;Theoretical Scientist;Medium;M5227;x
5228;Minister of Security;Ohashi Takeo;50;SC;Crooked Kleptocrat;Medium;M5228;x
5229;Minister of Security;Kimura Tokutaro;51;SC;Efficient Sociopath;Medium;M5229;x
5230;Minister of Security;Inukai Takeru;52;SC;Back Stabber;Medium;M5230;x
5231;Minister of Security;Nakamura Umekichi;54;SC;Compassionate Gentleman;Medium;M5231;x
5232;Minister of Security;Ueki Koshiro;57;SC;Silent Lawyer;Medium;M5232;x
5233;Minister of Security;Hanamura Shiro;57;SD;Prince of Terror;Medium;M5233;x
5234;Minister of Security;Morinaga Teiichiro;60;SD;Crime Fighter;Medium;M5234;x
5235;Head of Military Intelligence;Koto Ryogoro;54;SC;Political Specialist;Medium;M5235;x
5236;Head of Military Intelligence;Ohara Naoshi;57;SC;Technical Specialist;Medium;M5236;x
5237;Head of Military Intelligence;Hanamura Shiro;57;SD;Dismal Enigma;Medium;M5233;x
