LIT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
28077;Minister of Armament;Leonas Bistras;41;SC;laissez-faire capitalist;Medium;M28077;x
28078;Minister of Armament;Gintare Klumbyte;45;SC;Corrupt Kleptocrat;Medium;M28078;x
28079;Minister of Armament;Vytautas Martinaitis;38;ST;Submarine Proponent;Medium;M28079;x
28080;Minister of Armament;Mecislovas Gedvilas;40;ST;Theoretical Scientist;Medium;M28024;x
28081;Minister of Armament;Icikas Meskupas-Adomas;41;ST;Corrupt Kleptocrat;Medium;M28081;x
28082;Minister of Armament;Antonas Sanrkiene;45;ST;Air to Sea Proponent;Medium;M28082;x
28083;Minister of Security;Kazys Skirpa;38;NS;Prince of Terror;Medium;M28032;x
28084;Minister of Security;Wilhelm Kube;41;NS;Man of the People;Medium;M28084;x
28085;Minister of Security;Mykolas Slezevicius;38;FA;Prince of Terror;Medium;M28085;x
28086;Minister of Security;Vladas Mironas;39;FA;Efficient Sociopath;High;M28044;x
28087;Minister of Security;Valdemaras Vytautas-Carneckis;39;FA;Crime Fighter;Medium;M28004;x
28088;Minister of Security;Jurgis Wintelaichuite;40;PA;Crooked Kleptocrat;Medium;M28088;x
28089;Minister of Security;Jonas Endrasius;41;PA;Back Stabber;Medium;M28089;x
28090;Minister of Security;Micislovas Reinys;45;PA;Efficient Sociopath;Medium;M28090;x
28091;Minister of Security;Pranas Dovydaitis;38;SC;Silent Lawyer;Medium;M28091;x
28092;Minister of Security;Linas Brodovskis;40;SC;Efficient Sociopath;Medium;M28015;x
28093;Minister of Security;Mykolas Filipavicius;45;SC;Compassionate Gentleman;Medium;M28093;x
28094;Minister of Security;Domas Rocius;38;ST;Efficient Sociopath;Medium;M28094;x
28095;Minister of Security;Povilas Pakarklis;40;ST;Silent Lawyer;Medium;M28025;x
28096;Minister of Security;Antanas Snieckus;41;ST;Crime Fighter;Medium;M28041;x
28097;Minister of Security;Juozas Kupcinkas;45;ST;Compassionate Gentleman;Medium;M28097;x
28098;Minister of Security;Jurgis Terleckas;46;ST;Prince of Terror;Medium;M28098;x
28099;Head of Military Intelligence;Pranciskis Misiunas;38;NS;Logistics Specialist;Medium;M28042;x
28100;Head of Military Intelligence;Theodor von Renteln;41;NS;Dismal Enigma;High;M28033;x
28101;Head of Military Intelligence;Juozas Tubelis;38;FA;Logistics Specialist;Medium;M28002;x
28102;Head of Military Intelligence;Juozas Baltakis;39;FA;Political Specialist;Medium;M28102;x
28103;Head of Military Intelligence;Franciskus Ivinskis;40;PA;Logistics Specialist;High;M28103;x
28104;Head of Military Intelligence;Kasimiras Zilenskiene;41;PA;Industrial Specialist;High;M28048;x
28105;Head of Military Intelligence;Juozas Alsauskas;45;PA;Naval Intelligence Specialist;High;M28105;x
28106;Head of Military Intelligence;Jupozas Maciusnas;38;SC;Political Specialist;Medium;M28011;x
28107;Head of Military Intelligence;Jurgis Saulys;41;SC;Technical Specialist;Medium;M28107;x
28108;Head of Military Intelligence;Atanas Ceponis;45;SC;Dismal Enigma;Medium;M28108;x
28109;Head of Military Intelligence;Vincentas Leskien;38;ST;Industrial Specialist;Medium;M28109;x
28110;Head of Military Intelligence;Vytautas Ambrazas;40;ST;Political Specialist;Medium;M28110;x
28111;Head of Military Intelligence;Chaimas Aizenas;41;ST;Dismal Enigma;Medium;M28111;x
28112;Head of Military Intelligence;Pranas Zibertas;45;ST;Technical Specialist;Medium;M28026;x
28113;Chief of Staff;Petras Kubiliunas;38;NS;School of Mass Combat;Medium;M28043;x
28114;Chief of Staff;Jonas Cernius;36;FA;School of Manoeuvre;High;M28014;x
28115;Chief of Staff;Stasys Rastikis;38;FA;School of Fire Support;Medium;M28008;x
28117;Chief of Staff;Jonas Zemaitis;45;PA;School of Psychology;High;M28036;x
28118;Chief of Staff;Juoza Barzda-Bradauskas;38;SC;School of Psychology;Medium;M28017;x
28119;Chief of Staff;Azuolas Jakus;45;SC;School of Mass Combat;Medium;M28119;x
28120;Chief of Staff;Antanas Snieckus;38;ST;School of Fire Support;Medium;M28027;x
28121;Chief of Staff;Aleksandras Guzevicius;41;ST;School of Defence;Medium;M28030;x
28122;Chief of Army;Albinas Cepas-Cepauskas;38;NS;Armoured Spearhead Doctrine;Medium;M28122;x
28123;Chief of Army;Petras Plechavicius;41;NS;Elastic Defence Doctrine;Medium;M28071;x
28124;Chief of Army;Jonas Galvydis-Bykauskas;38;FA;Static Defence Doctrine;Medium;M28007;x
28126;Chief of Army;Gedrivius Palionis;45;PA;Decisive Battle Doctrine;Medium;M28126;x
28127;Chief of Army;Kazys Musteikis;38;SC;Guns and Butter Doctrine;Medium;M28125;x
28128;Chief of Army;Anatolijus Kairys;40;SC;Static Defence Doctrine;High;M28019;x
28129;Chief of Army;Adolfas Ramanasukas-Vanagas;45;SC;Elastic Defence Doctrine;Medium;M28018;x
28130;Chief of Army;Antanas Snieckus;38;ST;Armoured Spearhead Doctrine;Medium;M28027;x
28131;Chief of Army;Jurgis Terleckas;41;ST;Guns and Butter Doctrine;Medium;M28098;x
28132;Chief of Navy;Azuolas Kuschat;38;NS;Power Projection Doctrine;Medium;M28056;x
28135;Chief of Navy;Jurgis Saulys;38;SC;Indirect Approach Doctrine;Medium;M28107;x
28136;Chief of Navy;Anatolijus Kairys;41;SC;Base Control Doctrine;Medium;M28019;x
28137;Chief of Navy;Vladas Karvelis;38;ST;Indirect Approach Doctrine;Medium;M28029;x
28138;Chief of Navy;Mecislovas Gedvilas;41;ST;Base Control Doctrine;Medium;M28024;x
28139;Chief of Air Force;Kazys Skirpa;38;NS;Army Aviation Doctrine;Medium;M28032;x
28142;Chief of Air Force;Juozas Ambrazevicius;38;SC;Carpet Bombing Doctrine;Medium;M28020;x
28143;Chief of Air Force;Mykolas Filipavicius;45;SC;Air Superiority Doctrine;Medium;M28093;x
28144;Chief of Air Force;Aleksandras Guzevicius;38;ST;Vertical Envelopment Doctrine;Medium;M28030;x
28145;Chief of Air Force;Juozas Baukarskas;45;ST;Army Aviation Doctrine;Medium;M28145;x
