PER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
53046;Foreign Minister;Ibrahim Alam;40;FA;The Cloak N Dagger Schemer;Medium;M53046;x
53047;Foreign Minister;Amari Jawad;40;FA;Biased Intellectual;Medium;M53047;x
53048;Foreign Minister;Ali Zohayli;41;SL;The Cloak N Dagger Schemer;Medium;M53036;x
53049;Foreign Minister;Mohammed Said Maraghei;42;SC;Great Compromiser;High;M53038;x
53051;Foreign Minister;Nusrullah Intizam;44;SL;Biased Intellectual;Medium;M53051;x
53052;Foreign Minister;Anushirvan Sepahbody;45;PA;Apologetic Clerk;Medium;M53052;x
53053;Foreign Minister;Abul Qasim Najm;45;SC;The Cloak N Dagger Schemer;Medium;M53053;x
53054;Foreign Minister;Ahmeed Qawan as Saltana;46;SC;Ideological Crusader;High;M53037;x
53055;Foreign Minister;Mohammed Mossadeq;46;SL;The Cloak N Dagger Schemer;Medium;M53013;x
53056;Minister of Armament;Reza Mizani;37;PA;Resource Industrialist;Medium;M53006;x
53057;Minister of Armament;Mirza Riza Arfa Dowleh;37;PA;Infantry Proponent;Medium;M53057;x
53058;Minister of Armament;Alfred Rudolph Zimmermann;38;SC;laissez-faire capitalist;Medium;M53014;x
53059;Minister of Armament;Ahmad Khan Nakhjavan;38;PA;Air to Sea Proponent;High;M53004;x
53060;Minister of Armament;Ahmad Mira Khosravani;39;PA;Submarine Proponent;High;M53009;x
53061;Minister of Armament;Abdolreza Afkhami;39;FA;Military Entrepreneur;Medium;M53008;x
53062;Minister of Armament;Mohammed Nakhjavani;40;FA;Tank Proponent;Medium;M53062;x
53063;Minister of Armament;Morteza Yazdi;40;FA;Air Superiority Proponent;Medium;M53024;x
53064;Minister of Armament;Sayyid al-Din Tabataba'i;41;SC;Battle Fleet Proponent;Medium;M53012;x
53065;Minister of Armament;Zoka Dowleh;43;SL;Theoretical Scientist;Medium;M53065;x
53066;Minister of Armament;Mohammed Bahrami;44;SC;Strategic Air Proponent;Medium;M53026;x
53067;Minister of Armament;Zoka Dowleh;45;PA;Tank Proponent;Medium;M53065;x
53068;Minister of Armament;Ja'fer Pishevari;45;SC;Resource Industrialist;Medium;M53023;x
53069;Minister of Armament;Anushirvan Sepahbody;46;SC;Administrative Genius;Medium;M53052;x
53070;Minister of Security;Soleiman Mirza;36;PA;Crime Fighter;Medium;M53022;x
53071;Minister of Security;Mirza Riza Arfa Dowleh;36;PA;Back Stabber;Medium;M53057;x
53072;Minister of Security;Ali Mansour;38;PA;Man of the People;Medium;M53034;x
53073;Minister of Security;Hussein Khan Ala;39;FA;Silent Lawyer;Medium;M53073;x
53074;Minister of Security;Mohammed Bahrami;41;SC;Compassionate Gentleman;Medium;M53026;x
53075;Minister of Security;Eraj Eskandari;42;SL;Prince of Terror;Medium;M53025;x
53076;Minister of Security;Edward G.V.S. Lord Derby;41;SC;Efficient Sociopath;Medium;M53076;x
53077;Minister of Security;Mehdi Manjarani;45;PA;Prince of Terror;Medium;M53077;x
53078;Minister of Security;Abolhassan Hakimi;45;SC;Back Stabber;Medium;M53078;x
53079;Minister of Security;Hossein Arfazni;46;SC;Silent Lawyer;Medium;M53079;x
53080;Head of Military Intelligence;Muhammed Reza Pahlavi;37;PA;Political Specialist;Medium;M53011;x
53081;Head of Military Intelligence;Dinshah Irani;38;PA;Technical Specialist;Medium;M53021;x
53082;Head of Military Intelligence;Alfred Rudolph Zimmermann;39;FA;Industrial Specialist;Medium;M53014;x
53083;Head of Military Intelligence;Ahmad Matin-Daftary;41;FA;Naval Intelligence Specialist;Medium;M53033;x
53084;Head of Military Intelligence;Ali Sepahbodi Qajar;41;SC;Dismal Enigma;Medium;M53084;x
53085;Head of Military Intelligence;Sir Neville Grantleigh;41;SL;Industrial Specialist;Medium;M53085;x
53086;Head of Military Intelligence;Abdol Hossein Sardarie;45;PA;Dismal Enigma;Medium;M53086;x
53087;Head of Military Intelligence;Abdollah Entezam;45;SC;Technical Specialist;Medium;M53087;x
53088;Head of Military Intelligence;Ovassaq al-Doleh Noorie;45;SC;Naval Intelligence Specialist;Medium;M53088;x
53089;Head of Military Intelligence;Mohammed Mossadeq;46;SL;Logistics Specialist;Medium;M53013;x
53090;Chief of Staff;Ali Akbar Deiva;39;PA;School of Psychology;Medium;M53005;x
53091;Chief of Staff;Hassan Majid Firooz;39;FA;School of Defence;Medium;M53028;x
53092;Chief of Staff;Reza Mizani;41;SC;School of Mass Combat;Medium;M53006;x
53093;Chief of Staff;Ali Khan Nakziam;43;SL;School of Manoeuvre;Medium;M53027;x
53094;Chief of Staff;Mohammed Reza Pahlavi;45;PA;School of Defence;Medium;M53011;x
53095;Chief of Staff;Hossein Afkhami;45;SC;School of Fire Support;Medium;M53017;x
53096;Chief of Army;Mir Afkhami;38;PA;Guns and Butter Doctrine;Medium;M53018;x
53097;Chief of Army;Hassan Majid Firooz;39;FA;Static Defence Doctrine;Medium;M53028;x
53098;Chief of Army;Azram Mir Ghani;41;SC;Elastic Defence Doctrine;Medium;M53098;x
53099;Chief of Army;Mohammed Nakhjavani;45;PA;Armoured Spearhead Doctrine;Medium;M53062;x
53100;Chief of Army;Hedayat Gilanshah;45;SC;Decisive Battle Doctrine;Medium;M53100;x
53101;Chief of Navy;Reza Mizani;38;PA;Base Control Doctrine;Medium;M53006;x
53102;Chief of Navy;Schapur Khisrabadi;39;FA;Open Seas Doctrine;Medium;M53102;x
53103;Chief of Navy;Mohammed Mir Mohanna;41;SC;Power Projection Doctrine;Medium;M53029;x
53104;Chief of Navy;Ahmad Khan Nakhjaavan;45;PA;Decisive Naval Battle Doctrine;Medium;M53004;x
53105;Chief of Navy;Mohammed Moini;45;SC;Indirect Approach Doctrine;Medium;M53020;x
53106;Chief of Air Force;Sadegh Khan Koopal;37;PA;Army Aviation Doctrine;High;M53106;x
53107;Chief of Air Force;Mohammed Nakhjavani;39;FA;Air Superiority Doctrine;Medium;M53062;x
53108;Chief of Air Force;Mohammed Moini;41;SC;Vertical Envelopment Doctrine;Medium;M53020;x
53109;Chief of Air Force;Mohammed Mir Mohanna;45;SC;Naval Aviation Doctrine;Medium;M53029;x
53110;Chief of Air Force;Hedayat Gilanshah;46;PA;Carpet Bombing Doctrine;Medium;M53100;x
53015;Minister of Security;Mohammed Ali Foroughi;36;SC;Crime Fighter;Medium;M53015;x
53021;Head of State;Dinshah Irani;36;ST;Stern Imperialist;High;M53021;x
53022;Head of Government;Soleiman Mirza;36;ST;Happy Amateur;High;M53022;x
53023;Foreign Minister;Ja'fer Pishevari;36;ST;Iron Fisted Brute;Medium;M53023;x
53026;Head of Military Intelligence;Mohammed Bahrami;36;ST;Political Specialist;Medium;M53026;x
53111;Head of Government;Abdol Hossein Hajir;48;ML;Happy Amateur;High;M53111;x
53112;Head of Government;Mohammed Said Maraghei;48;ML;Flamboyant Tough Guy;High;M53038;x
53113;Head of Government;Ali Mansour;50;SC;Political Protege;High;M53034;x
53114;Head of Government;Ali Razmara;50;PA;old airmarshal;High;M53114;x
53115;Head of Government;Hussein Khan Ala;51;PA;Backroom Backstabber;High;M53073;x
53116;Head of Government;Mohammed Mossadeq;51;SL;Smiling Oilman;High;M53013;x
53117;Head of Government;Fazlollah Zahedi;53;PA;Old General;High;M53117;x
53118;Foreign Minister;Abdol Hossein Hajir;51;ML;Ideological Crusader;Medium;M53111;x
53119;Chief of Staff;Ali Razmara;53;PA;School of Psychology;Medium;M53114;x
53120;Chief of Air Force;Ali Razmara;49;PA;Army Aviation Doctrine;Medium;M53114;x
53121;Chief of Army;Fazlollah Zahedi;51;PA;Guns and Butter Doctrine;Medium;M53117;x
