POR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
9032;Head of Government;Bento Gonçalves;36;LE;Happy Amateur;High;M9031;x
9033;Foreign Minister;H. Barrilao Ruas;36;LWR;Ideological Crusader;Very Low;M9033;x
9035;Minister of Security;Álvaro Cunhal;36;LE;Man of the People;High;M9035;x
9036;Head of Military Intelligence;Antonio Sergo;36;LWR;Industrial Specialist;Medium;M9036;x
9037;Chief of Staff;Jose A.P. Rebelo;36;LE;School of Psychology;Very High;M9037;x
9038;Chief of Army;Jose A.P. Rebelo;36;LWR;Guns and Butter Doctrine;Very High;M9037;x
9039;Chief of Navy;Bento Gonçalves;36;LE;Power Projection Doctrine;Very High;M9031;x
9040;Chief of Air Force;Antonio Sergo;36;LWR;Carpet Bombing Doctrine;Medium;M9036;x
9080;Head of State;Francisco Craveiro Lopes;51;PA;Resigned Generalissimo;High;M9080;x
9081;Foreign Minister;Paulo Cunha;50;PA;Apologetic Clerk;Very High;M9081;x
