ROM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
22135;Chief of Army;Costin Ionascu;38;SL;Static Defence Doctrine;High;M22135;x
22136;Chief of Army;Gheorghe Mihail;38;PA;Decisive Battle Doctrine;Medium;M22136;x
22138;Chief of Army;Gheorghe Tatarescu;39;SC;Guns and Butter Doctrine;Medium;M22138;x
22139;Chief of Army;Ilie Steflea;40;FA;Guns and Butter Doctrine;High;M22139;x
22142;Chief of Army;Constantin Sanatescu;44;PA;Elastic Defence Doctrine;High;M22049;x
22143;Chief of Army;Nicolae Radescu;44;SC;Decisive Battle Doctrine;High;M22050;x
22144;Chief of Army;Damian Rascu;45;ST;Armoured Spearhead Doctrine;Medium;M22028;x
22145;Chief of Army;Alexandru Ioanitiu;38;NS;Armoured Spearhead Doctrine;Medium;M22018;x
22147;Chief of Navy;Horia Macellariu;38;PA;Indirect Approach Doctrine;High;M22019;x
22150;Chief of Navy;Ioan Georgescu;43;FA;Indirect Approach Doctrine;Medium;M22150;x
22151;Chief of Navy;Nicolae Sova;44;PA;Base Control Doctrine;High;M22151;x
22152;Chief of Navy;Nicolai Duca di Silvania;44;SC;Open Seas Doctrine;High;M22152;x
22153;Chief of Navy;Gheorghe Iliesca;45;ST;Power Projection Doctrine;Medium;M22029;x
22155;Chief of Air Force;Gheorghe Jienescu;38;PA;Army Aviation Doctrine;High;M22020;x
22158;Chief of Air Force;Ermil Gheorghiu;40;FA;Air Superiority Doctrine;Medium;M22158;x
22159;Chief of Air Force;Paul Teodorescu;44;PA;Carpet Bombing Doctrine;Medium;M22159;x
22160;Chief of Air Force;Gheorghe Vasiliu;44;SC;Naval Aviation Doctrine;Low;M22160;x
22161;Chief of Air Force;Emanoil Ionescu;45;ST;Army Aviation Doctrine;High;M22030;x
22162;Head of State;Petru Groza;36;ST;Powerhungry Demagogue;High;M22022;x
22163;Foreign Minister;Simon Bughici;52;ST;Apologetic Clerk;Very High;M22163;x
