BUL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
19148;Chief of Air Force;Georgi Drenikov;44;SC;Carpet Bombing Doctrine;Medium;M19148;x
19149;Chief of Air Force;Vasil Vylkov;44;LWR;Vertical Envelopment Doctrine;Medium;M19149;x
19150;Chief of Air Force;Zakhari Zakhariev;39;ST;Vertical Envelopment Doctrine;Medium;M19150;x
19151;Head of State;Vergil Dimov;45;PA;Insignificant Layman;High;M19100;x
19152;Head of State;Vergil Dimov;47;SC;Insignificant Layman;High;M19100;x
19153;Head of State;Georgi Kulichev;45;LWR;Popular Figurehead;Very High;M19073;x
19154;Head of Government;Vergil Dimov;45;PA;Silent Workhorse;High;M19100;x
19155;Head of Government;Vergil Dimov;47;SC;Silent Workhorse;High;M19100;x
19156;Head of Government;Georgi Kulichev;46;LWR;Happy Amateur;Very High;M19073;x
19019;Chief of Navy;Georgi Petsov;36;SC;Base Control Doctrine;Medium;M19019;x
19033;Foreign Minister;Vasil Kolarov;36;ST;Ideological Crusader;High;M19031;x
19038;Chief of Army;Tsvjatko Radojnov;36;ST;Decisive Battle Doctrine;High;M19038;x
19157;Head of State;Vulko Chervenkov;49;ST;Stern Imperialist;High;M19103;x
19158;Head of Government;Vasil Kolarov;49;ST;Flamboyant Tough Guy;High;M19031;x
19166;Head of Government;Vulko Chervenkov;50;ST;Happy Amateur;High;M19103;x
19159;Foreign Minister;Vladimir Poptomov;49;ST;Iron Fisted Brute;High;M19159;x
19160;Foreign Minister;Mincho Neychev;50;ST;The Cloak N Dagger Schemer;High;M19114;x
19161;Minister of Armament;Georgi Damyanov;46;ST;Tank Proponent;High;M19161;x
19162;Minister of Armament;Petur Panchevski;49;ST;Military Entrepreneur;High;M19162;x
19163;Minister of Security;Rusi Hristozov;49;ST;Back Stabber;High;M19163;x
19164;Minister of Security;Georgi Chankov;51;ST;Crooked Kleptocrat;High;M19164;x
19165;Head of Military Intelligence;Petko Kunin;50;ST;Industrial Specialist;Medium;M19165;x
