SCH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
17028;Chief of Army;Emil Frey;36;LWR;Armoured Spearhead Doctrine;Medium;M17024;x
17029;Chief of Navy;Hermann Hessel-Lorenz;36;LWR;Indirect Approach Doctrine;Medium;M17023;x
17030;Chief of Air Force;Josef Wiktor Widmann;36;LWR;Naval Aviation Doctrine;Medium;M17021;x
17111;Head of State;Ernst Nobs;49;SD;Benevolent Gentleman;High;M17074;x
17112;Head of State;Max Petitpierre;50;SL;Popular Figurehead;High;M17054;x
17113;Head of Government;Oskar Leimgruber;44;SC;Smiling Oilman;High;M17113;x
17114;Head of Government;Charles Oser;51;SL;Corporate Suit;High;M17114;x
17115;Minister of Armament;Karl Kobelt;44;ML;Infantry Proponent;Very High;M17040;x
17116;Minister of Security;Philipp Etter;39;SL;Crime Fighter;Very High;M17033;x
17117;Head of Government;Ernst Nobs;49;SD;Happy Amateur;Very High;M17074;x
17118;Head of Government;Max Petitpierre;50;SL;Political Protege;Very High;M17054;x
17119;Head of Government;Eduard von Steiger;51;SC;Corporate Suit;Very High;M17039;x
