IRQ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
91057;Head of Government;Arshad al Umari;46;LWR;Happy Amateur;High;M91027;x
91058;Foreign Minister;Ragheb Nashashibi;36;SC;Biased Intellectual;Medium;M91045;x
91059;Foreign Minister;Taha Pasha al Hashimi;40;PA;Ideological Crusader;High;M91044;x
91060;Foreign Minister;Moussa al Alami;41;SC;Great Compromiser;Low;M91043;x
91061;Foreign Minister;Azam Pasha;36;PA;Apologetic Clerk;Medium;M91046;x
91062;Foreign Minister;Tawfiq al Suweidi;37;PA;Apologetic Clerk;Low;M91056;x
91064;Foreign Minister;Ali Jawdat;39;PA;The Cloak N Dagger Schemer;Medium;M91064;x
91065;Foreign Minister;Jamil al Midfai;40;PA;Apologetic Clerk;Medium;M91047;x
91066;Foreign Minister;Salih Jabr;41;PA;Ideological Crusader;Medium;M91050;x
91067;Foreign Minister;Abdallah al Damluji;42;PA;Iron Fisted Brute;Medium;M91067;x
91068;Foreign Minister;Abd al Illah al Hafiz;42;PA;Great Compromiser;Medium;M91068;x
91069;Foreign Minister;Nasrat al Farisi;43;PA;Iron Fisted Brute;Medium;M91069;x
91070;Foreign Minister;Tahsin al Askari;43;PA;Ideological Crusader;Medium;M91070;x
91071;Foreign Minister;Mahmud Subhi al Daftari;43;PA;Apologetic Clerk;High;M91071;x
91072;Foreign Minister;Arshad al Umari;44;PA;General Staffer;Low;M91027;x
91073;Foreign Minister;Ahmad Abdul Baqi;46;PA;The Cloak N Dagger Schemer;Medium;M91073;x
91074;Foreign Minister;Muhammed Fadelfomali;46;PA;Biased Intellectual;Medium;M91074;x
91075;Foreign Minister;Rashid Ali al Gaylani;36;FA;The Cloak N Dagger Schemer;High;M91011;x
91076;Foreign Minister;Ali Mahmud al Shaykh;40;FA;Great Compromiser;Medium;M91019;x
91077;Foreign Minister;Haj Amini al Husseini;40;FA;Ideological Crusader;High;M91013;x
91078;Foreign Minister;Musa Bey al Shahbandar;41;FA;Biased Intellectual;Medium;M91078;x
91080;Foreign Minister;Naji al Asil;36;PA;Ideological Crusader;Medium;M91080;x
91081;Foreign Minister;Hikmet Suleyman;36;PA;Great Compromiser;Medium;M91054;x
91082;Foreign Minister;Tawfiq al Suweidi;46;LWR;Apologetic Clerk;Low;M91056;x
91083;Foreign Minister;Ali Mumtaz;46;LWR;General Staffer;Medium;M91083;x
91084;Foreign Minister;Muhammed Fadelfomali;46;LWR;Biased Intellectual;Medium;M91074;x
91085;Foreign Minister;Yahya Hamudeh;47;LWR;Iron Fisted Brute;High;M91021;x
91086;Minister of Armament;Abdel Latif Salah;36;SC;Resource Industrialist;High;M91086;x
91087;Minister of Armament;Moussa al Alami;41;SC;laissez-faire capitalist;High;M91043;x
91088;Minister of Armament;Elie Mosseri;46;SC;Administrative Genius;Medium;M91088;x
91089;Minister of Armament;Nuri as Said;36;PA;Infantry Proponent;Medium;M91003;x
91090;Minister of Armament;Ya'goub Farraj;38;PA;laissez-faire capitalist;High;M91090;x
91091;Minister of Armament;Jamil al Midfai;41;PA;Theoretical Scientist;Medium;M91047;x
91092;Minister of Armament;Robert H. Brand;42;PA;Air to Ground Proponent;High;M91092;x
91093;Minister of Armament;Jamal Husseini;43;PA;Air Superiority Proponent;High;M91093;x
91094;Minister of Armament;Tawfiq al Suweidi;44;PA;Submarine Proponent;Low;M91056;x
91095;Minister of Armament;Ali Abn Hussein;46;PA;Corrupt Kleptocrat;High;M91005;x
91096;Minister of Armament;Abdullah;46;PA;Military Entrepreneur;Medium;M91028;x
91097;Minister of Armament;Amir al Jahed;36;FA;Military Entrepreneur;Medium;M91097;x
91098;Minister of Armament;Yahya al Najif;37;FA;Submarine Proponent;Medium;M91098;x
91099;Minister of Armament;Azam Pasha;41;FA;Infantry Proponent;Medium;M91046;x
91100;Minister of Armament;Fawsi al Kaukji;40;FA;Corrupt Kleptocrat;Medium;M91014;x
91101;Minister of Armament;Khaled al Dalabeeh;36;LWR;Theoretical Scientist;Medium;M91030;x
91102;Minister of Armament;Anwar Khatib;46;LWR;Strategic Air Proponent;Medium;M91024;x
91104;Minister of Security;Ghulam Ali Allana;40;SC;Compassionate Gentleman;Medium;M91104;x
91105;Minister of Security;Ragheb Nashashibi;46;SC;Crime Fighter;Medium;M91045;x
91106;Minister of Security;Kamel Erekat;36;PA;Crooked Kleptocrat;Medium;M91106;x
91107;Minister of Security;Ahmad Abdul Baqi;37;PA;Man of the People;Medium;M91073;x
91108;Minister of Security;Suleiman al Taji;39;PA;Prince of Terror;Medium;M91108;x
91109;Minister of Security;Robert H. Brand;41;PA;Silent Lawyer;Medium;M91092;x
91110;Minister of Security;John Sanderson-Haldane;44;PA;Crime Fighter;Medium;M91110;x
91111;Minister of Security;Nuri as Said;46;PA;Efficient Sociopath;Medium;M91003;x
91112;Minister of Security;Jamil al Midfai;36;FA;Crooked Kleptocrat;Low;M91047;x
91113;Minister of Security;Ali Rassakh;37;FA;Man of the People;Medium;M91113;x
91114;Minister of Security;Ahmed Amir Badi;40;FA;Efficient Sociopath;Medium;M91114;x
91115;Minister of Security;Rashid Ali al Gaylani;41;FA;Prince of Terror;High;M91011;x
91116;Minister of Security;Haj Amini al Husseini;41;FA;Efficient Sociopath;High;M91013;x
91117;Minister of Security;Anwar Khatib;36;LWR;Man of the People;Medium;M91024;x
91118;Minister of Security;Hikmet Suleyman;41;LWR;Compassionate Gentleman;Medium;M91054;x
91120;Head of Military Intelligence;Mohammed al Azir;41;SC;Logistics Specialist;Medium;M91120;x
91121;Head of Military Intelligence;Taha Pasha al Hashimi;46;SC;Dismal Enigma;High;M91044;x
91122;Head of Military Intelligence;Emil Ghoury;36;PA;Technical Specialist;Medium;M91122;x
91123;Head of Military Intelligence;Jamil al Midfai;38;PA;Political Specialist;Medium;M91047;x
91124;Head of Military Intelligence;John Bagot Glubb;41;PA;Logistics Specialist;Medium;M91124;x
91125;Head of Military Intelligence;John Sanderson-Haldane;41;PA;Dismal Enigma;Medium;M91110;x
91126;Head of Military Intelligence;Francis P. Walters;44;PA;Industrial Specialist;Medium;M91126;x
91127;Head of Military Intelligence;Abdullah;45;PA;Political Specialist;Medium;M91028;x
91128;Head of Military Intelligence;Nuri as Said;47;PA;Logistics Specialist;Medium;M91003;x
91129;Head of Military Intelligence;Rifai al Fadel;36;FA;Political Specialist;Medium;M91129;x
91130;Head of Military Intelligence;Rashid Ali al-Gaylani;40;FA;Dismal Enigma;Medium;M91011;x
91131;Head of Military Intelligence;Azam Pasha;40;FA;Logistics Specialist;Medium;M91046;x
91132;Head of Military Intelligence;Fawsi al Kaukji;46;FA;Industrial Specialist;Medium;M91014;x
91133;Head of Military Intelligence;Taha al Ahmani;36;LWR;Industrial Specialist;Medium;M91029;x
91134;Head of Military Intelligence;Abdallah Mumtaz;40;LWR;Technical Specialist;Medium;M91026;x
91135;Head of Military Intelligence;Suleiman al Taji;41;LWR;Political Specialist;Medium;M91108;x
91136;Head of Military Intelligence;Rifai al Fadel;46;LWR;Dismal Enigma;Medium;M91129;x
91137;Chief of Staff;Frederic Peake;36;SC;School of Fire Support;Low;M91008;x
91138;Chief of Staff;John Bagot Glubb;41;SC;School of Psychology;Low;M91124;x
91140;Chief of Staff;Nuri as-Said;37;PA;School of Mass Combat;Medium;M91003;x
91143;Chief of Staff;Fawsi al Kaukji;36;FA;School of Fire Support;Medium;M91014;x
91144;Chief of Staff;Bakr Sidqi;36;LWR;School of Defence;Low;M91007;x
91145;Chief of Staff;Arshad al Umari;39;LWR;School of Fire Support;Medium;M91027;x
91147;Chief of Army;John Bagot Glubb;46;PA;Decisive Battle Doctrine;High;M91124;x
91148;Chief of Army;Ghazi I ibn Faysal;36;PA;Guns and Butter Doctrine;High;M91001;x
91149;Chief of Army;Nuri as Said;39;PA;Armoured Spearhead Doctrine;Medium;M91003;x
91151;Chief of Army;Amir al Illah;44;PA;Static Defence Doctrine;Medium;M91035;x
91152;Chief of Army;Faysal II ibn Ghazi;45;PA;Static Defence Doctrine;High;M91039;x
91153;Chief of Army;Fawsi al Kaukji;36;FA;Static Defence Doctrine;Medium;M91014;x
91154;Chief of Army;Abdullah;41;FA;Elastic Defence Doctrine;Medium;M91028;x
91155;Chief of Army;Arshad al Umari;36;LWR;Guns and Butter Doctrine;Medium;M91027;x
91157;Chief of Navy;Hamdi al Pachachi;36;PA;Decisive Naval Battle Doctrine;Low;M91049;x
91159;Chief of Navy;Jamil al Midfai;46;PA;Indirect Approach Doctrine;Medium;M91047;x
91160;Chief of Navy;Ali Mahmud al Shaykh;36;FA;Indirect Approach Doctrine;Medium;M91019;x
91162;Chief of Navy;Taha al Ahmani;36;LWR;Decisive Naval Battle Doctrine;Medium;M91029;x
91164;Chief of Air Force;Alan Rawlinson;41;SC;Army Aviation Doctrine;Medium;M91164;x
91165;Chief of Air Force;Amir al Illah;36;PA;Air Superiority Doctrine;Medium;M91035;x
91166;Chief of Air Force;Abdullah al-Tell;40;PA;Naval Aviation Doctrine;Medium;M91166;x
91168;Chief of Air Force;Jamil al Midfai;44;PA;Carpet Bombing Doctrine;Medium;M91047;x
91169;Chief of Air Force;Faysal II ibn Ghazi;46;PA;Vertical Envelopment Doctrine;High;M91039;x
91170;Chief of Air Force;Fahmi Sa'id;36;FA;Air Superiority Doctrine;Medium;M91020;x
91171;Chief of Air Force;Khaled al Dalabeeh;36;LWR;Vertical Envelopment Doctrine;Medium;M91030;x
91172;Head of State;Rashid Ali al-Gaylani;41;FA;Powerhungry Demagogue;High;M91011;x
91173;Chief of Navy;Rashid Ali al-Gaylani;46;FA;Power Projection Doctrine;Medium;M91011;x
91174;Head of Government;Hikmet Suleyman;36;PA;Naive Optimist;High;M91054;x
91175;Head of Government;Rashid Ali al Gaylani;40;PA;Smiling Oilman;High;M91011;x
91176;Head of Government;Jamil al Midfai;41;PA;Smiling Oilman;High;M91047;x
91177;Head of Government;Nuri as Said;41;PA;Ambitious Union Boss;High;M91003;x
91178;Head of Government;Nuri as Said;46;PA;Flamboyant Tough Guy;High;M91003;x
91011;Head of State;Rashid Ali al-Gaylani;36;FA;Powerhungry Demagogue;High;M91011;x
91012;Head of Government;Rashid Ali al-Gaylani;36;FA;Smiling Oilman;High;M91011;x
91021;Head of State;Yahya Hamudeh;36;ST;Barking Buffoon;High;M91021;x
91022;Head of Government;Yahya Hamudeh;36;ST;Backroom Backstabber;High;M91021;x
91179;Head of Government;Muhammad as Sadr;48;PA;Naive Optimist;High;M91179;x
91180;Head of Government;Muzahim al Bayyaji;48;SC;Corporate Suit;High;M91180;x
91181;Head of Government;Ali Jawdat;49;PA;Backroom Backstabber;High;M91064;x
91182;Head of Government;Tawfiq al Suweidi;50;PA;Ambitious Union Boss;High;M91056;x
91183;Head of Government;Nurreddin Mahmud;52;PA;Old General;High;M91183;x
91184;Head of Government;Mustafa al Umari;52;ML;Silent Workhorse;High;M91184;x
91185;Head of Government;Muhamed Fadhel al-Jamali;53;SC;Happy Amateur;High;M91185;x
91186;Head of Military Intelligence;Nurreddin Mahmud;45;PA;Logistics Specialist;Medium;M91183;x
91187;Head of State;Faysal II ibn Ghazi;46;SC;Benevolent Gentleman;High;M91039;x
