From;To;Type;Through;Comment
# Rivers in Yugoslavia;;;;
##############################################################################;;;;
454;453;River;0;Sava
454;386;River;0;Sava
454;385;River;0;Sava
455;385;River;0;Sava
455;383;River;0;Sava
455;382;River;0;Sava
459;382;River;0;Sava
382;383;River;0;Una
381;383;River;0;Una
386;453;River;0;Bosna
386;452;River;0;Bosna
387;452;River;0;Bosna
389;452;River;0;Bosna
453;418;River;0;Morava
##############################################################################;;;;
# Rivers in Bulgaria;;;;
##############################################################################;;;;
419;420;River;0;Iskur
##############################################################################;;;;
# American Rivers;;;;
##############################################################################;;;;
729;730;river;0;gila
798;566;River;0;athabasca
567;570;River;0;athabasca
613;614;River;0;Ohio
613;629;River;0;Ohio
629;628;River;0;Ohio
628;640;River;0;Ohio
640;627;River;0;Ohio
641;627;River;0;Ohio
641;626;River;0;Ohio
683;675;River;0;Mississippi
694;693;River;0;Mississippi
693;624;River;0;Mississippi
624;691;River;0;Mississippi
691;625;River;0;Mississippi
691;626;River;0;Mississippi
626;689;River;0;Mississippi
626;687;River;0;Mississippi
687;641;River;0;Mississippi
687;673;River;0;Mississippi
673;685;River;0;Mississippi
685;674;River;0;Mississippi
674;684;River;0;Mississippi
684;675;River;0;Mississippi
675;682;River;0;Mississippi
682;679;River;0;Mississippi
681;679;River;0;Mississippi
680;679;River;0;Mississippi
687;689;River;0;Missouri
689;688;River;0;Missouri
688;690;River;0;Missouri
690;792;River;0;Missouri
690;789;River;0;Missouri
789;692;River;0;Missouri
789;788;River;0;Missouri
788;787;River;0;Missouri
787;698;River;0;Missouri
698;699;River;0;Missouri
699;700;River;0;Missouri
700;701;River;0;Missouri
700;703;River;0;Missouri
703;702;River;0;Missouri
702;775;River;0;Missouri
775;774;River;0;Missouri
774;772;River;0;Missouri
772;773;River;0;Missouri
684;683;River;0;Arkansas
683;686;River;0;Arkansas
683;793;River;0;Arkansas
793;713;River;0;Arkansas
793;712;River;0;Arkansas
712;792;River;0;Arkansas
792;711;River;0;Arkansas
711;791;River;0;Arkansas
791;710;River;0;Arkansas
791;709;River;0;Arkansas
709;707;River;0;Arkansas
713;712;River;0;Canadian
712;719;River;0;Canadian
712;720;River;0;Canadian
682;681;River;0;Red
682;715;River;0;Red
715;683;River;0;Red
715;714;River;0;Red
714;719;River;0;Red
716;748;River;0;Brazos
716;717;River;0;Brazos
717;715;River;0;Brazos
717;721;River;0;Brazos
748;749;River;0;Rio Grande
748;747;River;0;Rio Grande
747;717;River;0;Rio Grande
717;745;River;0;Rio Grande
745;746;River;0;Rio Grande
745;718;River;0;Rio Grande
718;742;River;0;Rio Grande
718;741;River;0;Rio Grande
741;723;River;0;Rio Grande
723;727;River;0;Rio Grande
723;726;River;0;Rio Grande
726;724;River;0;Rio Grande
726;725;River;0;Rio Grande
726;708;River;0;Rio Grande
737;739;River;0;Colorado
739;736;River;0;Colorado
736;729;River;0;Colorado
736;730;River;0;Colorado
730;735;River;0;Colorado
730;734;River;0;Colorado
730;731;River;0;Colorado
731;728;River;0;Colorado
731;708;River;0;Colorado
708;732;River;0;Colorado
706;708;River;0;Colorado
765;762;River;0;San Francisco Bay
763;762;River;0;San Joaquin
765;764;River;0;Sacramento
765;763;River;0;Sacramento #Oi!
782;783;River;0;Columbia
782;784;River;0;Columbia
784;781;River;0;Columbia
781;778;River;0;Columbia
781;779;River;0;Columbia
780;779;River;0;Columbia
780;555;River;0;Columbia
778;779;River;0;Snake
778;776;River;0;Snake
778;777;River;0;Snake
777;769;River;0;Snake
769;771;River;0;Snake
771;770;River;0;Snake
647;676;River;0;Chattahoochee
676;669;River;0;Chattahoochee
641;642;River;0;Tennessee
641;640;River;0;Tennessee
642;673;River;0;Tennessee
673;671;River;0;Tennessee
671;672;River;0;Tennessee
604;607;River;0;Delaware
604;605;River;0;Delaware
604;608;River;0;Delaware
608;603;River;0;Delaware
603;610;River;0;Delaware
610;602;River;0;Delaware
602;601;River;0;Hudson
602;599;River;0;Hudson
599;598;River;0;Hudson
598;597;River;0;Hudson
597;592;River;0;Hudson
550;549;River;0;Yukon
646;644;River;0;Savannah
633;606;River;0;Potomac
632;606;River;0;Potomac
631;606;River;0;Potomac
##############################################################################;;;;
# Mexican rivers;;;;
##############################################################################;;;;
755;756;River;0;Usumacinta
##############################################################################;;;;
# The Nile;;;;
##############################################################################;;;;
904;902;River;0;Nile
904;903;River;0;Nile
905;903;River;0;Nile
905;904;River;0;Nile
905;1024;River;0;Nile
905;4;River;0;Nile
906;904;River;0;Nile
1023;1024;River;0;Nile
1027;1024;River;0;Nile
1027;1026;River;0;Nile
1029;1026;River;0;Nile
1029;1028;River;0;Nile
1032;1028;River;0;Nile
1032;1031;River;0;Nile
1032;1066;River;0;Nile
1042;1044;River;0;Nile
1043;1044;River;0;Nile
1045;1044;River;0;Nile
1046;1044;River;0;Nile
1065;1041;River;0;Nile
1065;1044;River;0;Nile
1066;1031;River;0;Nile
1066;1041;River;0;Nile
1068;1066;River;0;Nile
1068;1065;River;0;Nile
1069;1065;River;0;Nile
##############################################################################;;;;
# Congo River;;;;
##############################################################################;;;;
1095;1096;River;0;Congo
1095;1097;River;0;Congo
1095;1142;River;0;Congo
1075;1142;River;0;Congo
1075;1074;River;0;Congo
1076;1074;River;0;Congo
1076;1071;River;0;Congo
1078;1071;River;0;Congo
1070;1071;River;0;Congo
1071;1074;River;0;Congo
1074;1073;River;0;Congo
1143;1073;River;0;Congo
1143;1144;River;0;Congo
1127;1144;River;0;Congo
1127;1128;River;0;Congo
1142;1074;River;0;Congo
1098;1074;River;0;Congo
1098;1143;River;0;Congo
1127;1098;River;0;Congo
##############################################################################;;;;
# Niger River;;;;
##############################################################################;;;;
1011;1008;River;0;Niger
1010;1007;River;0;Niger
1007;1011;River;0;Niger
1007;1009;River;0;Niger
1007;999;River;0;Niger
1005;999;River;0;Niger
1005;998;River;0;Niger
997;998;River;0;Niger
997;976;River;0;Niger
978;976;River;0;Niger
978;977;River;0;Niger
994;977;River;0;Niger
994;979;River;0;Niger
994;986;River;0;Niger
1010;1009;River;0;Niger
1012;1009;River;0;Niger
1012;1145;River;0;Niger
1012;1085;River;0;Niger
1085;1087;River;0;Niger
1087;1086;River;0;Niger
994;990;River;0;Niger
990;991;River;0;Niger
1139;1138;River;0;Rovuma
1139;1133;River;0;Rovuma
##############################################################################;;;;
# Minor African Rivers;;;;
##############################################################################;;;;
1130;1133;River;0;Zambezi
1130;1131;River;0;Zambezi
1125;1131;River;0;Zambezi
1125;1126;River;0;Zambezi
1124;1126;River;0;Zambezi
1124;1099;River;0;Zambezi
1105;1099;River;0;Zambezi
1104;1099;River;0;Zambezi
1113;1121;River;0;Limpopo
1122;1123;River;0;Limpopo
1121;1123;River;0;Limpopo
1121;1124;River;0;Limpopo
1112;1121;River;0;Limpopo
1109;1115;River;0;Orange
1109;1114;River;0;Orange
1110;1114;River;0;Orange
1113;1114;River;0;Orange
1120;1114;River;0;Orange
1102;1108;River;0;Kunene
1102;1103;River;0;Kunene
1101;1103;River;0;Kunene
1096;1101;River;0;Kwanza
1097;1101;River;0;Kwanza
984;980;River;0;Senegal
981;973;River;0;Senegal
981;974;River;0;Senegal
984;974;River;0;Senegal
984;985;River;0;Senegal
980;985;River;0;Senegal
980;986;River;0;Senegal
985;986;River;0;Senegal
##############################################################################;;;;
# Southeast Asian Rivers;;;;
##############################################################################;;;;######
1326;1306;River;0;Red
1326;1328;River;0;Red
1304;1306;River;0;Mekong
1303;1306;River;0;Mekong
1330;1306;River;0;Mekong
1329;1330;River;0;Mekong
1331;1329;River;0;Mekong
1331;1332;River;0;Mekong
1332;1341;River;0;Mekong
1341;1336;River;0;Mekong
1340;1336;River;0;Mekong
1337;1340;River;0;Mekong
1339;1337;River;0;Mekong
1337;1338;River;0;Mekong
1305;1294;River;0;Mekong
1305;1295;River;0;Mekong
#1305;1304;River;0;Mekong
1343;1345;River;0;Chao Phraya
1343;1344;River;0;Chao Phraya
1353;1351;River;0;Johore Strait
1352;1353;River;0;Johore Strait
1304;1301;River;0;Salween
1301;1303;River;0;Salween
1302;1303;River;0;Salween
1302;1344;River;0;Salween
1302;1346;River;0;Salween
1298;1299;River;0;Irrawaddy
1297;1299;River;0;Irrawaddy
1297;1300;River;0;Irrawaddy
1297;1296;River;0;Irrawaddy
1296;1290;River;0;Irrawaddy
1296;1292;River;0;Irrawaddy
1300;1301;River;0;Sittang
1299;1301;River;0;Sittang
1299;1302;River;0;Sittang
##############################################################################;;;;
# Chinese Rivers;;;;
##############################################################################;;;;
1530;1374;River;0;Songhua
1530;1379;River;0;Songhua
1376;1372;River;0;Tumen
1378;1376;River;0;Tumen
1376;1377;River;0;Tumen
1377;1391;River;0;Yalu
1391;1394;River;0;Yalu
1394;1393;River;0;Yalu
1396;1395;River;0;Liao
1227;1226;River;0;Yellow
1362;1361;River;0;Yellow
1213;1214;River;0;Yellow
1213;1216;River;0;Yellow
1213;1223;River;0;Yellow
1223;1224;River;0;Yellow
1224;1228;River;0;Yellow
1227;1224;River;0;Yellow
1226;1269;River;0;Yellow
1226;1270;River;0;Yellow
1226;1271;River;0;Yellow
1271;1225;River;0;Yellow
1209;1271;River;0;Yellow
1209;1272;River;0;Yellow
1272;1208;River;0;Yellow
1272;1439;River;0;Yellow
1272;1273;River;0;Yellow
1273;1274;River;0;Yellow
1273;1276;River;0;Yellow
1276;1440;River;0;Yellow
1276;1440;River;0;Wei
1276;1440;River;0;Wei
1276;1440;River;0;Wei
1276;1440;River;0;Wei
1269;1226;River;0;Wei
1269;1270;River;0;Wei
1270;1278;River;0;Wei
1270;1277;River;0;Wei
1275;1277;River;0;Wei
1217;1219;River;0;Huai
1217;1220;River;0;Huai
1220;1218;River;0;Huai
1218;1221;River;0;Huai
1219;1237;River;0;Yangtze
1236;1219;River;0;Yangtze
1236;1220;River;0;Yangtze
1235;1220;River;0;Yangtze
1235;1221;River;0;Yangtze
1221;1234;River;0;Yangtze
1233;1234;River;0;Yangtze
1233;1252;River;0;Yangtze
1232;1252;River;0;Yangtze
1232;1253;River;0;Yangtze
1255;1232;River;0;Yangtze
1260;1255;River;0;Yuan
1232;1260;River;0;Yangtze
1231;1260;River;0;Yangtze
1266;1260;River;0;Yangtze
1266;1264;River;0;Yangtze
1265;1264;River;0;Yangtze
1265;1263;River;0;Yangtze
1280;1263;River;0;Yangtze
1280;1362;River;0;Yangtze
1281;1362;River;0;Yangtze
1282;1362;River;0;Yangtze
1282;1308;River;0;Yangtze
1282;1307;River;0;Yangtze
1282;1293;River;0;Yangtze
1282;1283;River;0;Yangtze
1313;1316;River;0;Pearl
1317;1316;River;0;West
1317;1313;River;0;West
1313;1318;River;0;West
1318;1311;River;0;West
1311;1319;River;0;West
1319;1310;River;0;West
1310;1309;River;0;West
1309;1364;River;0;West
1309;1308;River;0;West
1308;1327;River;0;West
#1306;1327;River;0;Red
1294;1293;River;0;Mekong
##############################################################################;;;;
# Indian Rivers;;;;
##############################################################################;;;;
1457;1285;River;0;Ganges
1457;1456;River;0;Ganges
1457;1472;River;0;Ganges
1459;1472;River;0;Ganges
1459;1471;River;0;Ganges
1460;1471;River;0;Ganges
1470;1471;River;0;Ganges
1470;1460;River;0;Yamuna
1470;1469;River;0;Yamuna
1285;1456;River;0;Brahmaputra
1284;1285;River;0;Brahmaputra
1284;1286;River;0;Brahmaputra
1284;1287;River;0;Brahmaputra
1878;1287;River;0;Brahmaputra
1878;1877;River;0;Brahmaputra
1466;1464;River;0;Narmada
1467;1464;River;0;Narmada
1467;1463;River;0;Narmada
1508;1461;River;0;Godavari
1508;1462;River;0;Godavari
1507;1462;River;0;Godavari
1508;1509;River;0;Krishna
1507;1509;River;0;Krishna
1507;1510;River;0;Krishna
1507;1511;River;0;Krishna
1507;1512;River;0;Krishna
1480;1494;River;0;Indus
1480;1481;River;0;Indus
1480;1482;River;0;Indus
1478;1482;River;0;Indus
1475;1482;River;0;Indus
1475;1483;River;0;Indus
##############################################################################;;;;
# Middle Eastern Rivers;;;;
##############################################################################;;;;
1823;1825;River;0;Tigris
1824;1825;River;0;Tigris
1824;1789;River;0;Tigris
1824;1866;River;0;Tigris
1790;1866;River;0;Tigris
1790;1865;River;0;Tigris
1864;1865;River;0;Tigris
1864;1860;River;0;Tigris
1823;1824;River;0;Euphrates
1806;1824;River;0;Euphrates
1806;1790;River;0;Euphrates
1791;1790;River;0;Euphrates
1791;1864;River;0;Euphrates
1791;1861;River;0;Euphrates
1792;1861;River;0;Euphrates
1863;1861;River;0;Euphrates
1862;1861;River;0;Euphrates
1862;1854;River;0;Euphrates
1798;1802;River;0;Jordan
1797;1802;River;0;Jordan
1797;1796;River;0;Jordan
1796;404;River;0;Jordan
##############################################################################;;;;
# Rivers in Turkey ;;;;
##############################################################################;;;;
437;438;River;0;Menderes
440;449;River;0;Kizil
448;449;River;0;Kizil
448;447;River;0;Kizil
442;447;River;0;Kizil
446;447;River;0;Kizil
##############################################################################;;;;
# Siberian Rivers;;;;
##############################################################################;;;;
1530;1368;River;0;Amur
1374;1368;River;0;Amur
1374;1367;River;0;Amur
1374;1370;River;0;Amur
1374;1373;River;0;Amur
1527;1366;River;0;Amur
1527;1368;River;0;Amur
1529;1368;River;0;Amur
1529;1530;River;0;Amur
1528;1530;River;0;Amur
1523;1530;River;0;Amur
1523;1381;River;0;Amur
1522;1381;River;0;Amur
1522;1382;River;0;Amur
1383;1382;River;0;Amur
1165;1166;River;0;Kolyma
1165;1167;River;0;Kolyma
1165;1524;River;0;Kolyma
1413;1414;River;0;Lena
1412;1414;River;0;Lena
1412;1162;River;0;Lena
1412;1163;River;0;Lena
1411;1163;River;0;Lena
1409;1163;River;0;Lena
1164;1163;River;0;Lena
1164;1160;River;0;Lena
1164;1158;River;0;Lena
1165;1158;River;0;Lena
1409;1164;River;0;Lena
1409;1410;River;0;Lena
1156;1157;River;0;Yenisei
1156;1531;River;0;Yenisei
1156;1532;River;0;Yenisei
1157;1531;River;0;Yenisei
1532;1531;River;0;Yenisei
1532;1533;River;0;Yenisei
1532;1537;River;0;Yenisei
1532;1563;River;0;Yenisei
1532;1161;River;0;Yenisei
1161;1159;River;0;Yenisei
1161;1163;River;0;Yenisei
1414;1416;River;0;Yenisei
1414;1415;River;0;Yenisei
1415;1563;River;0;Yenisei
1560;1563;River;0;Yenisei
1560;1562;River;0;Yenisei
1538;1562;River;0;Yenisei
1538;1563;River;0;Yenisei
1537;1563;River;0;Yenisei
1560;1538;River;0;Yenisei
1560;1561;River;0;Yenisei
1560;1559;River;0;Yenisei
1154;1155;River;0;Ob
1564;1155;River;0;Ob
1598;1155;River;0;Ob
1541;1155;River;0;Ob
1541;1535;River;0;Ob
1540;1535;River;0;Ob
1540;1539;River;0;Ob
1540;1545;River;0;Ob
1564;1598;River;0;Ob
1597;1598;River;0;Ob
1597;1596;River;0;Ob
1597;1594;River;0;Ob
1596;1594;River;0;Ob
1541;1594;River;0;Ob
1541;1552;River;0;Ob
1542;1552;River;0;Ob
1548;1552;River;0;Ob
1548;1553;River;0;Ob
1551;1553;River;0;Ob
1551;1554;River;0;Ob
1551;1556;River;0;Ob
1557;1556;River;0;Ob
1556;1423;River;0;Ob
1422;1423;River;0;Ob
1432;1423;River;0;Ob
1586;1587;River;0;Syrdariya
1586;1582;River;0;Syrdariya
1586;1426;River;0;Syrdariya
1488;1426;River;0;Syrdariya
1584;1585;River;0;Amu Darya
1490;1585;River;0;Amu Darya
1490;1489;River;0;Amu Darya
1490;1487;River;0;Amu Darya
1491;1487;River;0;Amu Darya
##############################################################################;;;;
# Eastern Europe;;;;
##############################################################################;;;;
1569;1579;River;0;Emba
1579;1578;River;0;Emba
1578;1580;River;0;Emba
1838;1847;River;0;Volga
1838;1837;River;0;Volga
1838;1833;River;0;Volga
1836;1833;River;0;Volga
1834;1833;River;0;Volga
1834;164;River;0;Volga
1834;163;River;0;Volga
1835;163;River;0;Volga
1835;159;River;0;Volga
1835;1832;River;0;Volga
1829;1832;River;0;Volga
1829;1831;River;0;Volga
1829;1830;River;0;Volga
1828;1830;River;0;Volga
1830;1781;River;0;Volga
1778;1781;River;0;Volga
1778;1780;River;0;Volga
1776;1780;River;0;Volga
1776;1775;River;0;Volga
1776;166;River;0;Volga
168;166;River;0;Volga
167;166;River;0;Volga
178;166;River;0;Volga
178;177;River;0;Volga
178;172;River;0;Volga
176;172;River;0;Volga
174;176;River;0;Volga
174;175;River;0;Volga
288;175;River;0;Volga
288;182;River;0;Volga
288;286;River;0;Volga
258;256;River;0;Don
258;257;River;0;Don
269;257;River;0;Don
269;270;River;0;Don
268;270;River;0;Don
268;271;River;0;Don
271;161;River;0;Don
162;161;River;0;Don
160;161;River;0;Don
160;267;River;0;Don
264;267;River;0;Don
264;265;River;0;Don
263;265;River;0;Don
263;261;River;0;Don
263;262;River;0;Don
283;262;River;0;Don
283;282;River;0;Don
281;282;River;0;Don
258;269;River;0;Donets
258;259;River;0;Donets
258;260;River;0;Donets
249;260;River;0;Donets
249;248;River;0;Donets
251;234;River;0;Dnieper
251;235;River;0;Dnieper
235;250;River;0;Dnieper
235;246;River;0;Dnieper
236;246;River;0;Dnieper
236;245;River;0;Dnieper
237;245;River;0;Dnieper
237;239;River;0;Dnieper
238;239;River;0;Dnieper
240;239;River;0;Dnieper
240;241;River;0;Dnieper
240;273;River;0;Dnieper
272;273;River;0;Dnieper
272;274;River;0;Dnieper
220;274;River;0;Dnieper
220;275;River;0;Dnieper
219;275;River;0;Dnieper
285;275;River;0;Dnieper
238;240;River;0;Pripet
227;240;River;0;Pripet
226;240;River;0;Pripet
226;225;River;0;Pripet
562;225;River;0;Pripet
562;222;River;0;Pripet
153;154;River;0;Northern Dvina
165;154;River;0;Northern Dvina
165;1771;River;0;Northern Dvina
1840;1771;River;0;Northern Dvina
255;256;River;0;Kuban
255;257;River;0;Kuban
1843;257;River;0;Kuban
1843;270;River;0;Kuban
1843;1842;River;0;Kuban
1843;1846;River;0;Kuban
##############################################################################;;;;
# Western Europe;;;;
##############################################################################;;;;
336;344;River;0;Tago
337;344;River;0;Tago
338;344;River;0;Tago
338;343;River;0;Tago
345;346;River;0;Guadiana
344;346;River;0;Guadiana
346;343;River;0;Zújar
346;347;River;0;Guadalquivir
346;351;River;0;Guadalquivir
355;356;River;0;Ebro
355;330;River;0;Ebro
340;330;River;0;Ebro
335;336;River;0;Douro
335;337;River;0;Douro
325;323;River;0;Garonne
325;324;River;0;Garonne
327;324;River;0;Garonne
327;359;River;0;Garonne
363;364;River;0;Rhône
363;528;River;0;Rhône
528;361;River;0;Rhône
319;528;River;0;Rhône
528;529;River;0;Rhône
527;529;River;0;Rhône
35;59;River;0;Loire
36;59;River;0;Loire
59;58;River;0;Loire
58;60;River;0;Loire
58;61;River;0;Loire
57;61;River;0;Loire
61;62;River;0;Loire
62;320;River;0;Loire
320;318;River;0;Loire
320;319;River;0;Loire
360;319;River;0;Loire
60;61;River;0;Cher
61;321;River;0;Cher
39;41;River;0;Seine
40;41;River;0;Seine
41;56;River;0;Seine
56;54;River;0;Seine
56;55;River;0;Seine
54;55;River;0;Marne
53;55;River;0;Marne
55;63;River;0;Aube
63;64;River;0;Aube
56;63;River;0;Yonne
63;62;River;0;Yonne
44;53;River;0;Escaut
44;52;River;0;Escaut
45;52;River;0;Escaut
45;51;River;0;Escaut
45;50;River;0;Escaut
45;46;River;0;Escaut
64;70;River;0;Meuse
48;77;River;0;IJssel
47;78;River;0;Leeuwarden
20;17;River;0;Thames
20;19;River;0;Thames
22;19;River;0;Thames
##############################################################################;;;;
# Minor Western European Rivers;;;;
##############################################################################;;;;
36;58;River;0;Sarthe
319;529;River;0;Saône
318;529;River;0;Saône
316;529;River;0;Saône
527;530;River;0;Leman Lake
46;47;River;0;Meuse
48;49;River;0;Meuse
49;77;River;0;Meuse
49;76;River;0;Meuse
49;66;River;0;Meuse
50;66;River;0;Meuse
50;68;River;0;Meuse
65;68;River;0;Meuse
68;64;River;0;Meuse
70;64;River;0;Meuse
64;72;River;0;Meuse
71;73;River;0;Main
74;314;River;0;Main
82;313;River;0;Main
83;313;River;0;Main
83;312;River;0;Main
##############################################################################;;;;
# South American Rivers;;;;
##############################################################################;;;;
810;870;River;0;Orinoco
810;869;River;0;Orinoco
811;869;River;0;Orinoco
869;868;River;0;Orinoco
876;878;River;0;Amazon
876;826;River;0;Amazon
872;826;River;0;Amazon
872;825;River;0;Amazon
872;824;River;0;Amazon
820;824;River;0;Amazon
820;823;River;0;Amazon
823;821;River;0;Yavari
819;821;River;0;Ucayali
818;821;River;0;Ucayali
816;821;River;0;Ucayali
830;821;River;0;Ucayali
818;819;River;0;Putumayo
819;817;River;0;Putumayo
817;813;River;0;Putumayo
824;825;River;0;Madeira
823;825;River;0;Madeira
811;868;River;0;Meta
867;868;River;0;Meta
871;873;River;0;Essequibo
820;872;River;0;Negro
820;821;River;0;Solimões
818;816;River;0;Marañon
828;825;River;0;Madre de Dios
828;827;River;0;Madre de Dios
827;825;River;0;Guaporé
833;825;River;0;Guaporé
827;833;River;0;Manoré
825;826;River;0;Tapajós
826;878;River;0;Xingu
877;879;River;0;Pará
879;878;River;0;Tocantins
878;883;River;0;Araguaia
879;880;River;0;Gurupi
883;884;River;0;São Francisco
883;882;River;0;São Francisco
880;882;River;0;São Francisco
881;882;River;0;São Francisco
884;886;River;0;Paraná
884;887;River;0;Paraná
883;887;River;0;Paraná
887;835;River;0;Paraná
847;835;River;0;Paraná
847;846;River;0;Paraná
850;846;River;0;Paraná
850;844;River;0;Paraná
850;851;River;0;Paraná
850;667;River;0;Paraná
847;887;River;0;Paranapanema
844;846;River;0;Paraguay
837;846;River;0;Paraguay
837;835;River;0;Paraguay
